probe_id	direction	delta_beta	gene_nearest	functional_region	normal_mean_beta	normal_n	tumor_mean_beta	tumor_n	gse_tumor_vs_normal_delta	label_sanity_pass
cg17326769	hypermethylated	0.6599893583046211	HCK	TSS1500	0.15626767410256412	39	0.452274066875	80	0.2960063927724359	True
cg03161803	hypermethylated	0.6332914641175624	AL009179.2	TSS1500	0.169827419	40	0.5572341787499999	80	0.38740675974999994	True
cg06958563	hypermethylated	0.5824612088864216	LINC00461	TSS200	0.1239025725	40	0.35397202607594935	79	0.23006945357594935	True
cg08159989	hypermethylated	0.5640708426634471	KLHDC8A	TSS200	0.3725652225	40	0.6213731454545455	77	0.24880792295454546	True
cg01518607	hypermethylated	0.5562609577506679	AL021808.1	TSS200	0.22432676975	40	0.554294481772152	79	0.329967712022152	True
cg22399133	hypermethylated	0.556008674940756	CRYGD	5UTR_1stExon	0.20678666525000003	40	0.5251964593749999	80	0.3184097941249999	True
cg13879483	hypermethylated	0.5534298073529028	USP44	TSS1500	0.09424118975	40	0.3992824156962025	79	0.3050412259462025	True
cg18661205	hypermethylated	0.549303498211882	PCDHB18P	TSS200	0.138299588	40	0.38241969462500003	80	0.24412010662500003	True
cg14979301	hypermethylated	0.5403949407225881	AC008875.3	TSS1500	0.18231365824999998	40	0.453385600125	80	0.27107194187500006	True
cg25200152	hypermethylated	0.5401853491525698	AC245100.5	TSS1500	0.21882798799999997	40	0.4741635696202532	79	0.2553355816202532	True
cg20197130	hypomethylated	-0.5511281589079186	LINC00944	5UTR_1stExon	0.7388856075000001	40	0.48817302835443044	79	-0.25071257914556966	True
cg13894852	hypomethylated	-0.5500729204081802	EIF4EP2	TSS200	0.591623875	40	0.5323211965000001	80	-0.05930267849999993	True
cg12041100	hypomethylated	-0.4896818344100115	RAPGEFL1	TSS1500	0.49008991	40	0.46612267875	80	-0.02396723125	True
cg13782274	hypomethylated	-0.4883111303948628	KCNQ2	5UTR_1stExon	0.7102200099999999	40	0.465021040125	80	-0.2451989698749999	True
cg15300436	hypomethylated	-0.4747588317735207	MYT1L-AS1	TSS1500	0.5285611605263159	38	0.3493347978205128	78	-0.17922636270580306	True
cg04519387	hypomethylated	-0.4696420221688908	OVOL1	TSS1500	0.6665265	40	0.5304102164556962	79	-0.13611628354430383	True
cg09094964	hypomethylated	-0.4594087629838803	LINC00940	TSS1500	0.8027415675	40	0.48248302038461544	78	-0.3202585471153846	True
cg02721693	hypomethylated	-0.4557004498806998	SHCBP1L	TSS200	0.5780634174999999	40	0.32510653375	80	-0.2529568837499999	True
cg17098965	hypomethylated	-0.4486071779222021	ZNF217	5UTR_1stExon	0.5470935475	40	0.2151040675	80	-0.33198948000000006	True
cg04388226	hypomethylated	-0.4481843591525855	LINC02393	TSS200	0.6149729125	40	0.43046314912500006	80	-0.1845097633749999	True
