probe_id	tumor_mean_beta	normal_mean_beta	tumor_mean_m	normal_mean_m	delta_beta	delta_m	tumor_n	normal_n	test_statistic	p_value	fdr	abs_delta_beta	direction	gene	chrom	chromStart	chromEnd	strand	probe_missing_fraction
cg17154724	0.09917053863079879	0.6939180558344286	-4.5191593	1.4518816	-0.5947475172036297	-5.9710407	137	642	-29.973445691992726	2.916158406142989e-74	7.219252292847373e-72	0.5947475172036297	hypomethylated	DNM3	chr1	171841181	171841183	+	0.001282051282051282
cg27429080	0.11446209371525005	0.7021393107476636	-4.3597035	1.4708335	-0.5876772170324135	-5.830537	137	642	-28.218458708951104	1.507032623454061e-67	2.731112037564046e-65	0.5876772170324135	hypomethylated	DNM3	chr1	171841159	171841161	+	0.001282051282051282
cg07205203	0.24656781283291904	0.8330052815365829	-1.9850744	2.6157918	-0.5864374687036639	-4.6008663	132	627	-29.15656073810819	1.3866496936254579e-66	2.3995484867520215e-64	0.5864374687036639	hypomethylated	AC092164.1	chr2	28717533	28717535	+	0.026923076923076925
cg27500148	0.33283308822743213	0.8826529353069109	-1.2502745	3.3951373	-0.5498198470794788	-4.645412	137	643	-23.233273931559935	4.124004026646516e-53	3.5072875318300427e-51	0.5498198470794788	hypomethylated	AC110749.1,RPL23	chr17	38855237	38855239	+	0.0
cg13488570	0.08208398749358463	0.6286813311777071	-4.8822083	0.8155921	-0.5465973436841225	-5.6978006	137	643	-32.1561473345552	1.5868993694711242e-72	3.615745027394305e-70	0.5465973436841225	hypomethylated	SKI	chr1	2290813	2290815	-	0.0
cg19081101	0.32297975303482834	0.868651202905958	-1.3802586	3.2418845	-0.5456714498711297	-4.622143	137	642	-24.794186904806043	6.002591290300106e-58	6.606830323429024e-56	0.5456714498711297	hypomethylated	CHI3L1	chr1	203187496	203187498	+	0.001282051282051282
cg10883503	0.16755924931278934	0.7102085065238083	-2.6569662	1.4989802	-0.542649257211019	-4.1559463	135	632	-30.568501520361725	3.416545846709349e-79	1.0599888773329132e-76	0.542649257211019	hypomethylated	AC025171.1,AC025171.3	chr5	43019557	43019559	+	0.016666666666666666
cg17627629	0.09952093053747106	0.6411203387441438	-3.6782575	1.0835048	-0.5415994082066727	-4.761762	135	627	-32.84620015155837	1.2998433573543038e-105	1.1618933148904713e-102	0.5415994082066727	hypomethylated		chr5	180090139	180090141	+	0.023076923076923078
cg15732840	0.21884524213136547	0.7601758085500699	-2.4442916	1.9641255	-0.5413305664187045	-4.408417	137	626	-22.399551905093134	1.924247200762069e-52	1.5855027896936642e-50	0.5413305664187045	hypomethylated	AC007098.1	chr2	63047479	63047481	-	0.021794871794871794
cg10558233	0.2011000218282219	0.7420296945879536	-2.2837732	1.7406625	-0.5409296727597317	-4.0244355	131	620	-29.001099090107196	2.3000815881947436e-70	4.734377813776847e-68	0.5409296727597317	hypomethylated	PDP1	chr8	93880384	93880386	+	0.03717948717948718
cg07810039	0.1820964674009894	0.7023336312633651	-2.5232427	1.3924129	-0.5202371638623757	-3.9156556	137	643	-30.428164202668107	3.805009553489068e-74	9.35927401209754e-72	0.5202371638623757	hypomethylated	TGFB2	chr1	218351215	218351217	-	0.0
cg13722700	0.27698748553240743	0.7917446932949863	-1.7172679	2.415719	-0.5147572077625788	-4.132987	135	637	-25.13681899241178	1.17720278113038e-63	1.7709812776886934e-61	0.5147572077625788	hypomethylated	GPRIN2	chr10	46556113	46556115	+	0.010256410256410256
cg19579500	0.2963260944073017	0.8086668799154735	-1.6788399	2.5379546	-0.5123407855081719	-4.2167945	130	598	-18.700567347016833	6.032590536267118e-42	2.669424792906633e-40	0.5123407855081719	hypomethylated		chr17	82388737	82388739	-	0.06666666666666667
cg10180415	0.1842552519192661	0.6961260644074913	-2.4663544	1.3683549	-0.5118708124882252	-3.8347092	137	642	-30.21743462157026	2.737683937085261e-75	7.088604976624051e-73	0.5118708124882252	hypomethylated	CD58	chr1	116515345	116515347	-	0.001282051282051282
