gene	direction	n_significant_probes	n_hyper_probes	n_hypo_probes	probe_ids
ABCC9	hypermethylated	7	7	0	cg00181125,cg06951626,cg07780543,cg08530237,cg14556896,cg18556676,cg21485303
ABHD15-AS1	hypermethylated	3	3	0	cg06772580,cg14215472,cg21101720
AC002472.1	hypermethylated	3	3	0	cg05684406,cg24333469,cg27645955
AC003006.1	hypermethylated	15	15	0	cg01268824,cg03142586,cg03215105,cg03234186,cg08048222,cg08668790,cg11294513,cg11977686,cg12074025,cg12506930,cg19246110,cg21790626,cg26465391,cg27049766,cg27324426
AC003973.1	hypermethylated	1	1	0	cg22620746
AC003986.1	hypermethylated	8	8	0	cg02179455,cg02503874,cg05328547,cg08814405,cg10477621,cg23536473,cg24624901,cg25691167
AC003986.2	hypermethylated	1	1	0	cg24496841
AC004079.1	hypermethylated	3	3	0	cg00106345,cg17485838,cg26264232
AC004079.2	hypermethylated	4	4	0	cg00106345,cg07278425,cg17485838,cg26264232
AC004079.4	hypermethylated	3	3	0	cg00106345,cg07278425,cg17485838
AC004079.5	hypermethylated	3	3	0	cg00106345,cg17485838,cg26264232
AC004080.1	hypermethylated	2	2	0	cg06544111,cg15564098
AC004080.6	hypermethylated	1	1	0	cg14974749
AC004828.2	hypermethylated	1	1	0	cg05111779
AC004837.1	hypermethylated	4	4	0	cg05858889,cg06890747,cg21101743,cg27071152
AC004837.3	hypermethylated	4	4	0	cg05858889,cg06890747,cg21101743,cg27071152
AC005586.1	hypermethylated	2	2	0	cg17279839,cg27494647
AC005597.1	hypermethylated	1	1	0	cg24059119
AC005609.1	hypermethylated	2	2	0	cg02051771,cg19876814
AC005609.5	hypermethylated	10	10	0	cg00748875,cg01089834,cg02004851,cg03758467,cg06282446,cg09820378,cg11095383,cg16987900,cg17777676,cg26282566
AC005622.1	hypermethylated	1	1	0	cg09489306
AC006115.2	hypermethylated	3	3	0	cg06585566,cg08146323,cg08158952
AC006450.2	hypermethylated	1	1	0	cg14425564
AC007040.2	hypermethylated	1	1	0	cg04751811
AC007222.2	hypermethylated	2	2	0	cg00590139,cg07027430
AC007405.1	hypermethylated	1	1	0	cg00860808
AC007461.1	hypermethylated	1	1	0	cg21000227
AC007541.1	hypermethylated	1	1	0	cg10082647
AC008014.1	hypermethylated	2	2	0	cg11146691,cg17501823
AC008060.2	hypermethylated	1	1	0	cg01198033
AC008060.3	hypermethylated	3	3	0	cg00732845,cg16987754,cg20183619
AC008397.2	hypermethylated	1	1	0	cg15215348
AC008525.1	hypermethylated	5	5	0	cg01764252,cg04970570,cg08850461,cg13902110,cg14659193
AC008543.1	hypermethylated	2	2	0	cg00777011,cg21771200
AC008567.2	hypermethylated	6	6	0	cg04062391,cg05221167,cg18452695,cg18568589,cg19254119,cg19544372
AC008695.1	hypermethylated	1	1	0	cg17817047
AC008758.1	hypermethylated	5	5	0	cg08411068,cg19926444,cg21298174,cg22637867,cg23989004
AC008808.1	hypermethylated	1	1	0	cg18063733
AC008875.2	hypermethylated	5	5	0	cg14979301,cg18161950,cg18323912,cg23052568,cg24676817
AC008875.3	hypermethylated	2	2	0	cg14979301,cg18323912
AC008892.1	hypermethylated	2	2	0	cg16375820,cg24729879
AC008945.2	hypermethylated	2	2	0	cg08626131,cg25310824
AC009403.2	hypermethylated	1	1	0	cg01198033
AC009487.2	hypermethylated	5	5	0	cg01419831,cg09019936,cg10945079,cg16653620,cg23161999
AC009531.1	hypermethylated	1	1	0	cg08732352
AC010198.2	hypermethylated	2	2	0	cg12064372,cg24091995
AC010210.1	hypermethylated	3	3	0	cg14709292,cg18413131,cg19962116
AC010327.2	hypermethylated	2	2	0	cg18417954,cg18838701
AC010327.4	hypermethylated	1	1	0	cg18417954
AC010332.3	hypermethylated	1	1	0	cg26928418
AC010420.1	hypermethylated	1	1	0	cg22961212
AC010422.3	hypermethylated	1	1	0	cg17737967
AC010422.6	hypermethylated	1	1	0	cg24932585
AC010457.1	hypermethylated	1	1	0	cg25224048
AC010478.1	hypermethylated	3	3	0	cg04068980,cg05501996,cg25339054
AC010519.1	hypermethylated	1	1	0	cg09243824
AC010615.4	hypermethylated	1	1	0	cg07800665
AC010624.3	hypermethylated	1	1	0	cg25533993
AC010907.1	hypermethylated	1	1	0	cg11857704
AC011239.2	hypermethylated	3	3	0	cg02338778,cg14067761,cg17419888
AC011396.2	hypermethylated	1	1	0	cg26836696
AC011447.3	hypermethylated	3	3	0	cg02427230,cg03570035,cg08471835
AC011450.1	hypermethylated	1	1	0	cg26289436
AC011603.3	hypermethylated	1	1	0	cg25950278
AC011700.1	hypermethylated	1	1	0	cg01019971
AC011815.2	hypermethylated	1	1	0	cg00487232
AC012313.8	hypermethylated	1	1	0	cg13877915
AC012349.1	hypermethylated	7	7	0	cg03483150,cg04127342,cg04598121,cg04612444,cg12877723,cg19414741,cg21694941
AC012354.7	hypermethylated	4	4	0	cg02155398,cg03714619,cg23325963,cg24981593
AC012354.9	hypermethylated	2	2	0	cg18969232,cg19025113
AC012531.7	hypermethylated	2	2	0	cg10641615,cg17573720
