probe_id	tumor_mean_beta	normal_mean_beta	tumor_mean_m	normal_mean_m	delta_beta	delta_m	tumor_n	normal_n	test_statistic	p_value	fdr	abs_delta_beta	direction	gene	chrom	chromStart	chromEnd	strand	probe_missing_fraction
cg00428457	0.8234605228199678	0.1871576502015394	2.847299	-2.549045	0.6363028726184284	5.396344	136	643	28.838463989587	2.997269065125013e-67	5.345887282197924e-65	0.6363028726184284	hypermethylated		chr2	119130103	119130105	+	0.001282051282051282
cg17154724	0.09917053863079879	0.6939180558344286	-4.5191593	1.4518816	-0.5947475172036297	-5.9710407	137	642	-29.973445691992726	2.916158406142989e-74	7.219252292847373e-72	0.5947475172036297	hypomethylated	DNM3	chr1	171841181	171841183	+	0.001282051282051282
cg27429080	0.11446209371525005	0.7021393107476636	-4.3597035	1.4708335	-0.5876772170324135	-5.830537	137	642	-28.218458708951104	1.507032623454061e-67	2.731112037564046e-65	0.5876772170324135	hypomethylated	DNM3	chr1	171841159	171841161	+	0.001282051282051282
cg07205203	0.24656781283291904	0.8330052815365829	-1.9850744	2.6157918	-0.5864374687036639	-4.6008663	132	627	-29.15656073810819	1.3866496936254579e-66	2.3995484867520215e-64	0.5864374687036639	hypomethylated	AC092164.1	chr2	28717533	28717535	+	0.026923076923076925
cg23440816	0.9262104452091412	0.34098070776481093	3.974559	-1.1061525	0.5852297374443303	5.0807114	137	643	46.087105436686656	9.355484545078648e-144	3.119614794770308e-140	0.5852297374443303	hypermethylated	CAPN2	chr1	223761207	223761209	+	0.0
cg03441279	0.9075269138111788	0.34110775926663944	3.5083482	-1.0959574	0.5664191545445394	4.6043057	136	593	48.893766393895795	1.891008529507177e-164	1.2721875996818364e-160	0.5664191545445394	hypermethylated	BCL9	chr1	147612149	147612151	-	0.06538461538461539
cg27500148	0.33283308822743213	0.8826529353069109	-1.2502745	3.3951373	-0.5498198470794788	-4.645412	137	643	-23.233273931559935	4.124004026646516e-53	3.5072875318300427e-51	0.5498198470794788	hypomethylated	AC110749.1,RPL23	chr17	38855237	38855239	+	0.0
cg17219660	0.8760309149749088	0.3285838110770525	3.4776661	-1.2940955	0.5474471038978563	4.771762	137	641	29.064420650634954	1.7436326136930254e-83	6.416819021165817e-81	0.5474471038978563	hypermethylated	GPR37L1	chr1	202122751	202122753	+	0.002564102564102564
cg13488570	0.08208398749358463	0.6286813311777071	-4.8822083	0.8155921	-0.5465973436841225	-5.6978006	137	643	-32.1561473345552	1.5868993694711242e-72	3.615745027394305e-70	0.5465973436841225	hypomethylated	SKI	chr1	2290813	2290815	-	0.0
cg19081101	0.32297975303482834	0.868651202905958	-1.3802586	3.2418845	-0.5456714498711297	-4.622143	137	642	-24.794186904806043	6.002591290300106e-58	6.606830323429024e-56	0.5456714498711297	hypomethylated	CHI3L1	chr1	203187496	203187498	+	0.001282051282051282
