panel_rank	probe_id	group_a_mean_beta	group_b_mean_beta	delta_beta	group_a_n	group_b_n	p_value	abs_delta_beta	direction	fdr	significant	gene	chrom	chromStart	chromEnd	strand	functional_region	is_promoter	dist_to_tss	cgi_relation	cgi_id	annotation_source	predicted_expression_effect	mechanics_basis
1	cg17326769	0.8573953488372094	0.08739743589743589	0.7699979129397735	86	39	4.329640465683876e-33	0.7699979129397735	hypermethylated	1.5858029812311477e-31	True	HCK	chr20	32051901	32051903	+	gene_body	False	23393.0	S_Shore		imputed_from_region_mix	ambiguous	outside_promoter
2	cg03161803	0.7885	0.12351025641025642	0.6649897435897436	85	39	9.321614385146465e-46	0.6649897435897436	hypermethylated	6.401618678999335e-43	True	AL009179.2	chr6	27681340	27681342	-	TSS1500	True	-785.0	S_Shore		published_manifest	silencing	promoter_hypermethylation
3	cg13294849	0.7045045977011494	0.07495128205128204	0.6295533156498674	87	39	3.15244588409599e-37	0.6295533156498674	hypermethylated	2.1649422109029212e-35	True	SOX2-OT	chr3	181723782	181723784	-	gene_body	False	590.0	N_Shelf		published_manifest	ambiguous	outside_promoter
4	cg07077665	0.8502149425287354	0.23266410256410255	0.6175508399646329	87	39	2.6539170344326645e-19	0.6175508399646329	hypermethylated	2.019476480217875e-18	True		chr15	37102882	37102884	+	TSS1500	True	-733.0	N_Shelf		imputed_from_region_mix	silencing	promoter_hypermethylation
5	cg05280527	0.2608	0.8713435897435895	-0.6105435897435896	87	39	8.291097937812362e-31	0.6105435897435896	hypomethylated	2.0518600031685185e-29	True	NRXN3	chr14	79862106	79862108	+	5UTR_1stExon	False	2903.0	OpenSea		imputed_from_region_mix	ambiguous	outside_promoter
6	cg17534034	0.23298372093023256	0.8400897435897438	-0.6071060226595112	86	39	1.793959505963483e-25	0.6071060226595112	hypomethylated	2.346669887086518e-24	True	ZFPM2,ZFPM2-AS1	chr8	105574651	105574653	-	gene_body	False	19389.0	Island		imputed_from_region_mix	ambiguous	outside_promoter
7	cg22399133	0.776659770114942	0.18329487179487175	0.5933648983200703	87	39	1.903452571068249e-18	0.5933648983200703	hypermethylated	1.3687916787236859e-17	True	CRYGD	chr2	208124523	208124525	+	5UTR_1stExon	True	1.0	Island		published_manifest	silencing	promoter_hypermethylation
8	cg08860070	0.7538162790697673	0.1625578947368421	0.5912583843329252	86	38	4.729158897411149e-39	0.5912583843329252	hypermethylated	5.196399796475371e-37	True		chr5	141513254	141513256	+	TSS1500	True	-140.0	OpenSea		imputed_from_region_mix	silencing	promoter_hypermethylation
9	cg06958563	0.7551735632183909	0.1669128205128205	0.5882607427055704	87	39	1.7146665544788546e-44	0.5882607427055704	hypermethylated	7.850315041922356e-42	True	LINC00461,MEF2C-AS2	chr5	88685093	88685095	+	intergenic	False	35308.0	Island		imputed_from_region_mix	ambiguous	outside_promoter
10	cg22740796	0.2678908045977012	0.8545307692307691	-0.5866399646330679	87	39	3.457633131671598e-24	0.5866399646330679	hypomethylated	3.937231541900272e-23	True		chr10	130663016	130663018	+	intergenic	True	0.0	OpenSea		published_manifest	activation	promoter_hypomethylation
11	cg14088921	0.7571735632183906	0.17748157894736843	0.5796919842710222	87	38	3.571086437466412e-18	0.5796919842710222	hypermethylated	2.5217929161234536e-17	True	MATN2	chr8	97932707	97932709	-	gene_body	False	1283.0	OpenSea		published_manifest	ambiguous	outside_promoter
12	cg14979301	0.6701882352941172	0.09115128205128208	0.5790369532428351	85	39	1.1482907396749108e-50	0.5790369532428351	hypermethylated	3.15435466188698e-47	True	AC008875.2,AC008875.3	chr5	42994020	42994022	+	TSS1500	True	-744.0	N_Shore		published_manifest	silencing	promoter_hypermethylation
13	cg13894852	0.2930197674418605	0.869853846153846	-0.5768340787119854	86	39	1.073450216891816e-33	0.5768340787119854	hypomethylated	4.467829917881543e-32	True	AC091180.5,EIF4EP2	chr17	49424935	49424937	+	TSS200	True	-830.0	OpenSea		imputed_from_region_mix	activation	promoter_hypomethylation
14	cg20395967	0.6442406976744186	0.07043333333333333	0.5738073643410853	86	39	3.774914394511898e-37	0.5738073643410853	hypermethylated	2.529192644322971e-35	True	MIR663A,MIR663AHG	chr20	26209710	26209712	-	5UTR_1stExon	True	129.0	Island		published_manifest	silencing	promoter_hypermethylation
