category	gene	probe_id	locus	chrom	chromStart	chromEnd	strand	functional_region	is_promoter	cgi_relation	healthy_beta	healthy_state	tcga_normal_beta	tcga_normal_n	gse_normal_beta	gse_normal_n	tumor_direction	tumor_delta_beta	fdr
12. Stem Cell Regulation	CCL23	cg11584277	chr17:36017957-36017959	chr17	36017957.0	36017959.0	-	5UTR_1stExon	True	OpenSea	0.4846496375456204	intermediate	0.5040421633376289	97	0.43762276250000004	40	hypermethylated	0.0592569265209362	0.0022848307028584
12. Stem Cell Regulation	CCL23	cg14916288	chr17:36018098-36018100	chr17	36018098.0	36018100.0	-	TSS200	True	OpenSea	0.44546453222989	intermediate	0.4736190795898437	95	0.37859748224999995	40	hypermethylated	0.0318656698418391	0.1296430283569133
12. Stem Cell Regulation	CCL23	cg10439431	chr17:36018134-36018136	chr17	36018134.0	36018136.0	-	TSS200	True	OpenSea	0.5043444504629762	intermediate	0.5353097424064714	97	0.4292536175	40	hypermethylated	0.0336486413393802	0.1032746965015198
12. Stem Cell Regulation	CCL23	cg24325790	chr17:36018354-36018356	chr17	36018354.0	36018356.0	+	TSS1500	True	OpenSea	0.8490759648394416	HYPER_methylated	0.8762863001872584	97	0.7813989769230769	39	hypomethylated	-0.0406225710271762	1.476868909775376e-07
12. Stem Cell Regulation	CCL23	cg25531987	chr17:36019343-36019345	chr17	36019343.0	36019345.0	+	TSS1500	True	OpenSea	0.7752142841568772	HYPER_methylated	0.8038548734999195	97	0.705760855	40	hypomethylated	-0.1262920072889819	2.645548735720239e-31
12. Stem Cell Regulation	CCL23	cg18264219	chr17:36019395-36019397	chr17	36019395.0	36019397.0	+	TSS1500	True	OpenSea	0.7785615299897354	HYPER_methylated	0.803735477408183	97	0.7175147075	40	hypomethylated	-0.2392631004846881	2.239905850802793e-73
12. Stem Cell Regulation	CCL23	cg24395672	chr17:36017378-36017380	chr17	36017378.0	36017380.0	-	gene_body	False	OpenSea	0.7988068781092027	HYPER_methylated	0.8356693585713705	96	0.710336925	40	hypomethylated	-0.1140560642756882	1.134373380129989e-34
12. Stem Cell Regulation	CCL24	cg00051371	chr7:75813359-75813361	chr7	75813359.0	75813361.0	+	5UTR_1stExon	True	OpenSea	0.5680810397874372	intermediate	0.5862153829987516	97	0.5241052574999999	40	hypomethylated	-0.017654615131732	0.0075734884407849
12. Stem Cell Regulation	CCL24	cg01407419	chr7:75813643-75813645	chr7	75813643.0	75813645.0	+	5UTR_1stExon	True	OpenSea	0.702366943829123	HYPER_methylated	0.7115071876761839	97	0.6802018525	40	hypomethylated	-0.022049664441157	0.0029503884541476
12. Stem Cell Regulation	CCL24	cg01439408	chr7:75813756-75813758	chr7	75813756.0	75813758.0	+	5UTR_1stExon	True	OpenSea	0.6958986987974738	intermediate	0.718401171497463	97	0.6413302025000001	40	hypomethylated	-0.0336036940164262	1.8045799289677963e-05
