probe_id	tumor_mean_beta	normal_mean_beta	delta_beta	tumor_n	normal_n	p_value	fdr	abs_delta_beta	direction	gene	chrom	chromStart	chromEnd	strand
cg20843277	0.8376967804341376	0.15292522311210632	0.6847715573220313	395	1			0.6847715573220313	hypermethylated	SHANK2	chr11	70826259.0	70826261.0	-
cg26081875	0.2770358420707084	0.9441091418266296	-0.6670732997559212	37	1			0.6670732997559212	hypomethylated	LINC00243	chr6	30828629.0	30828631.0	-
cg13851368	0.8517782721720951	0.18986843526363373	0.6619098369084614	71	1			0.6619098369084614	hypermethylated		chrY	11954166.0	11954168.0	+
cg17326769	0.8268191997821515	0.16682984147753036	0.6599893583046211	208	7	8.371086570729222e-10	1.8377646375729545e-09	0.6599893583046211	hypermethylated	HCK	chr20	32051901.0	32051903.0	+
cg03161803	0.7682817910192621	0.13499032690169963	0.6332914641175624	537	47	1.8971862352905793e-199	4.055490783188614e-196	0.6332914641175624	hypermethylated	AL009179.2	chr6	27681340.0	27681342.0	-
cg07077665	0.8493608864404822	0.2361976385116577	0.6131632479288245	186	5	2.511354730381484e-07	4.893310056355666e-07	0.6131632479288245	hypermethylated		chr15	37102882.0	37102884.0	+
cg17534034	0.22413598848081723	0.8359628677368164	-0.6118268792559991	241	10	6.510591156092044e-18	1.9416183929313313e-17	0.6118268792559991	hypomethylated	ZFPM2,ZFPM2-AS1	chr8	105574651.0	105574653.0	-
cg13219007	0.27660221523708767	0.8786910772323608	-0.6020888619952731	54	1			0.6020888619952731	hypomethylated	UCP2	chr11	73980223.0	73980225.0	+
cg03118604	0.7162577765328544	0.11486747115850449	0.6013903053743499	112	1			0.6013903053743499	hypermethylated	AL645929.2	chr6	29850301.0	29850303.0	+
cg08860070	0.7617171223958333	0.16843722926245797	0.5932798931333754	150	9	4.664686736282302e-53	3.721445278512429e-52	0.5932798931333754	hypermethylated		chr5	141513254.0	141513256.0	+
cg22740796	0.24446996547832564	0.8368992138934391	-0.5924292484151135	771	93	7.001427285852523e-123	4.727271204191918e-121	0.5924292484151135	hypomethylated		chr10	130663016.0	130663018.0	+
cg06958563	0.7455968963965941	0.16313568751017252	0.5824612088864216	89	6	4.287955852674506e-39	2.379357553521724e-38	0.5824612088864216	hypermethylated	LINC00461,MEF2C-AS2	chr5	88685093.0	88685095.0	+
cg13294849	0.690795659083946	0.11077851834504501	0.580017140738901	765	92	2.2203633408928147e-126	1.70812219206565e-124	0.580017140738901	hypermethylated	SOX2-OT	chr3	181723782.0	181723784.0	-
cg15744668	0.7592738270759583	0.18057595193386078	0.5786978751420975	64	1			0.5786978751420975	hypermethylated		chr2	174342666.0	174342668.0	+
cg08159989	0.8356150309244792	0.2715441882610321	0.5640708426634471	210	2	1.2104634689345226e-08	2.5187798675585298e-08	0.5640708426634471	hypermethylated	KLHDC8A	chr1	205356942.0	205356944.0	-
cg14088921	0.7541971396640003	0.1914503357627175	0.5627468039012827	502	22	1.1934638810344271e-35	6.044527749623339e-35	0.5627468039012827	hypermethylated	MATN2	chr8	97932707.0	97932709.0	-
cg01518607	0.7274270598421392	0.17116610209147134	0.5562609577506679	776	81	3.5955947587609376e-101	1.1335194574343864e-99	0.5562609577506679	hypermethylated	AL021808.1	chr6	27268111.0	27268113.0	-
cg22399133	0.7593681502372909	0.20335947529653484	0.556008674940756	777	89	8.61492457261484e-49	6.167321750428609e-48	0.556008674940756	hypermethylated	CRYGD	chr2	208124523.0	208124525.0	+
cg13879483	0.6249181927008787	0.0714883853479759	0.5534298073529028	786	97	1.7070244159503136e-206	5.487418930522903e-203	0.5534298073529028	hypermethylated	USP44	chr12	95549130.0	95549132.0	-
cg20197130	0.28879522289750137	0.8399233818054199	-0.5511281589079186	169	6	8.255745429286645e-40	4.669473743128128e-39	0.5511281589079186	hypomethylated	LINC00944	chr12	126772170.0	126772172.0	+
cg00266983	0.7061066498627534	0.15563595294952393	0.5504706969132295	222	9	1.1040604691458844e-58	1.0222402717644342e-57	0.5504706969132295	hypermethylated		chr7	1237884.0	1237886.0	+
cg20150982	0.7725279408116494	0.22208508849143982	0.5504428523202096	31	2	0.002095304413059078	0.00313028647966312	0.5504428523202096	hypermethylated	MIR100HG	chr11	122440949.0	122440951.0	+
cg13894852	0.2985889791584701	0.8486618995666504	-0.5500729204081802	139	2	7.289847252701474e-08	1.4603900593574596e-07	0.5500729204081802	hypomethylated	AC091180.5,EIF4EP2	chr17	49424935.0	49424937.0	+
cg18661205	0.7453893259030964	0.19608582769121444	0.549303498211882	218	7	1.6768136944099773e-67	1.958805298642856e-66	0.549303498211882	hypermethylated	AC244517.10,AC244517.11;PCDHB18P	chr5	141234311.0	141234313.0	+
cg05280527	0.26056120481044465	0.8035027980804443	-0.5429415932699997	363	8	1.645838909034721e-14	4.3573859319706244e-14	0.5429415932699997	hypomethylated	NRXN3	chr14	79862106.0	79862108.0	+
cg14979301	0.6639001515990529	0.12350521087646485	0.5403949407225881	716	65	5.0340928876714627e-197	8.513763021280644e-194	0.5403949407225881	hypermethylated	AC008875.2,AC008875.3	chr5	42994020.0	42994022.0	+
cg08387538	0.3506173694624883	0.8908289349268353	-0.5402115654643471	534	63	2.866983273346689e-167	1.1871453236697324e-164	0.5402115654643471	hypomethylated	DLGAP2,DLGAP2-AS1	chr8	1579828.0	1579830.0	+
cg25200152	0.7541620283296896	0.21397667917711982	0.5401853491525698	729	58	1.5044927869251634e-33	7.190183004859595e-33	0.5401853491525698	hypermethylated	AC245100.1,AC245100.5;LINC01138	chr1	148318341.0	148318343.0	+
cg04493908	0.7815974553426107	0.2438136339187622	0.5377838214238485	9	1			0.5377838214238485	hypermethylated		chrY	7558611.0	7558613.0	+
cg26192520	0.28812010891466255	0.8254666924476624	-0.5373465835329998	166	1			0.5373465835329998	hypomethylated	YWHAZ	chr8	100948161.0	100948163.0	+
cg20981848	0.7729561123146018	0.2365205486615499	0.5364355636530519	394	24	2.982156678501577e-25	1.1232707466932433e-24	0.5364355636530519	hypermethylated	AL035448.1,BTBD3	chr20	11918609.0	11918611.0	-
cg11426075	0.6995382340227971	0.16657634214921432	0.5329618918735828	305	22	1.9244291457290008e-84	3.612392151531258e-83	0.5329618918735828	hypermethylated	AL034417.2,ERRFI1	chr1	8026898.0	8026900.0	+
cg21199093	0.772750000700547	0.24151407182216644	0.5312359288783806	697	64	5.696308737690112e-57	5.033775460115906e-56	0.5312359288783806	hypermethylated	ZMYM4	chr1	35370407.0	35370409.0	+
cg27319917	0.7497656008618027	0.21971992083958217	0.5300456800222205	354	14	5.224033965873234e-23	1.8358316972968332e-22	0.5300456800222205	hypermethylated	AC026470.2,N4BP1	chr16	48558782.0	48558784.0	-
cg25708982	0.2944504743564629	0.8223344362699069	-0.527883961913444	167	13	3.819732363473396e-64	4.081042178134557e-63	0.527883961913444	hypomethylated		chr13	112241116.0	112241118.0	+
cg27429080	0.6016984384271163	0.07437970957805201	0.5273187288490644	790	97	9.652005062769606e-148	1.701379012140293e-145	0.5273187288490644	hypermethylated	DNM3	chr1	171841159.0	171841161.0	+
cg17154724	0.5923721506625791	0.0651972220116055	0.5271749286509736	790	97	1.3031072712729887e-149	2.4752219911360094e-147	0.5271749286509736	hypermethylated	DNM3	chr1	171841181.0	171841183.0	+
cg12468774	0.6240608873706178	0.09868181366281412	0.5253790737078037	788	97	2.5968939293633995e-184	2.2735725367358392e-181	0.5253790737078037	hypermethylated	IHO1	chr3	49199426.0	49199428.0	+
cg20395967	0.6244793878644517	0.09946752331920505	0.5250118645452466	791	97	8.739273237337234e-141	1.1750416060242758e-138	0.5250118645452466	hypermethylated	MIR663A,MIR663AHG	chr20	26209710.0	26209712.0	-
cg08481075	0.6458242441152597	0.1212202975624486	0.5246039465528112	770	95	1.2361849150095824e-136	1.3952687598481513e-134	0.5246039465528112	hypermethylated	COL11A2	chr6	33193550.0	33193552.0	-
cg14553895	0.7544861482319078	0.23019719123840332	0.5242889569935045	475	30	5.596277015796165e-46	3.715915231910544e-45	0.5242889569935045	hypermethylated	PIK3CA	chr3	179181381.0	179181383.0	-
cg21039708	0.6724275654259744	0.14852476611579815	0.5239027993101762	789	97	7.864599720551381e-103	2.6212054188526116e-101	0.5239027993101762	hypermethylated	OTX2,OTX2-AS1	chr14	56812010.0	56812012.0	+
cg00564737	0.6930454317377417	0.16972183045886813	0.5233236012788736	543	42	3.588443430940096e-135	3.819878076281364e-133	0.5233236012788736	hypermethylated	BX248415.1	chr1	196878051.0	196878053.0	+
cg06841499	0.3144823710123698	0.8349812030792236	-0.5204988320668538	39	12	2.729751542410007e-16	7.697394493343741e-16	0.5204988320668538	hypomethylated		chr11	67582169.0	67582171.0	+
cg02534163	0.5875249583250398	0.06715501706624769	0.5203699412587921	785	97	1.8555191355870472e-223	1.7364113005857863e-219	0.5203699412587921	hypermethylated	ENPP2	chr8	119638753.0	119638755.0	-
cg10715092	0.6719601097058707	0.15242200045241522	0.5195381092534554	791	97	1.4513320867179382e-108	5.886316675008551e-107	0.5195381092534554	hypermethylated	MIR663A,MIR663AHG	chr20	26209717.0	26209719.0	-
cg15219228	0.6270535738598106	0.1078770037778874	0.5191765700819232	789	97	1.4345516812679993e-90	3.235724674373285e-89	0.5191765700819232	hypermethylated	TULP1	chr6	35511850.0	35511852.0	-
cg00076195	0.664398978960396	0.1459880883877094	0.5184108905726866	505	52	1.2328622057313997e-121	7.975046619114786e-120	0.5184108905726866	hypermethylated		chr5	141513109.0	141513111.0	+
cg10903903	0.6027451537149336	0.08525116910639498	0.5174939846085387	782	97	3.642401061863251e-159	1.0385010702542187e-156	0.5174939846085387	hypermethylated	AL009179.2	chr6	27680063.0	27680065.0	+
cg18438793	0.6369879095403997	0.12021673838297527	0.5167711711574244	666	75	1.6716683873777274e-183	1.4051156911820045e-180	0.5167711711574244	hypermethylated	HPCAL4	chr1	39684164.0	39684166.0	-
cg01408508	0.7772707359813084	0.2624426417880588	0.5148280941932495	535	36	1.1410296762969056e-43	7.1281812681406795e-43	0.5148280941932495	hypermethylated	MIR663AHG	chr20	26208002.0	26208004.0	+
cg00970396	0.6257155619740636	0.11117193870937701	0.5145436232646866	791	97	8.919604481328514e-103	2.9664905398437655e-101	0.5145436232646866	hypermethylated		chr16	9013341.0	9013343.0	+
cg02830936	0.8012579248306599	0.28781526228960824	0.5134426625410518	376	17	6.4932637467297884e-15	1.743435519918623e-14	0.5134426625410518	hypermethylated	EIF3I,MTMR9LP	chr1	32242883.0	32242885.0	+
cg27563985	0.7009049207457502	0.18837395360914327	0.512530967136607	614	59	2.4134265650992572e-113	1.154524269607189e-111	0.512530967136607	hypermethylated	CBLN4	chr20	56005620.0	56005622.0	-
cg00991875	0.6294698208193236	0.11710955433009826	0.5123602664892253	790	97	1.384821002836379e-121	8.940173413896042e-120	0.5123602664892253	hypermethylated		chr6	160679343.0	160679345.0	-
cg07149609	0.6089434328332411	0.09820625462482885	0.5107371782084122	791	97	3.1304697253348724e-109	1.2989305625329289e-107	0.5107371782084122	hypermethylated	PRRX1	chr1	170661592.0	170661594.0	+
cg26354493	0.7941642294124681	0.28438323736190796	0.5097809920505602	784	96	2.113379373204414e-86	4.2057258228231356e-85	0.5097809920505602	hypermethylated	FSD1	chr19	4305074.0	4305076.0	-
cg09887059	0.6496261808875237	0.14049408116291479	0.5091320997246089	791	97	1.430505268401772e-79	2.342897462654573e-78	0.5091320997246089	hypermethylated	LHX5-AS1	chr12	113478858.0	113478860.0	-
cg11213690	0.6345494071844265	0.12675501636623107	0.5077943908181954	788	97	9.990739873678528e-112	4.525861049014909e-110	0.5077943908181954	hypermethylated		chr7	149415310.0	149415312.0	-
cg27092191	0.8270928775562959	0.32035539505329536	0.5067374825030005	680	47	2.372329411821996e-31	1.0666123527220013e-30	0.5067374825030005	hypermethylated	ZNF267	chr16	31873377.0	31873379.0	+
cg10168086	0.23803323179810912	0.7447005440207088	-0.5066673122225998	728	68	1.9497388800140003e-85	3.7685883266086003e-84	0.5066673122225998	hypomethylated		chr16	26488644.0	26488646.0	+
cg01952226	0.2663758004908225	0.7721806576377467	-0.5058048571469242	269	19	1.518827659583385e-21	5.097954687776359e-21	0.5058048571469242	hypomethylated	GRHL2	chr8	101495153.0	101495155.0	+
cg02027945	0.5726348554867867	0.06758331978458097	0.5050515357022057	758	87	7.457100384023663e-210	3.1720094657754955e-206	0.5050515357022057	hypermethylated	AC090707.2	chr11	20596683.0	20596685.0	+
cg08364561	0.6545069100130373	0.1503191190896575	0.5041877909233798	791	97	1.5475675232709657e-84	2.9130267745160444e-83	0.5041877909233798	hypermethylated	AL035078.4,PAUPAR	chr11	31825296.0	31825298.0	-
cg12134633	0.7664368215915376	0.262770131691215	0.5036666899003226	791	97	2.112495908300428e-70	2.671556508988337e-69	0.5036666899003226	hypermethylated	AC123768.4,SCG5	chr15	32641802.0	32641804.0	+
cg17279458	0.7214783278678911	0.2189363439877828	0.5025419838801083	433	24	3.5623560006973844e-50	2.6438228911171237e-49	0.5025419838801083	hypermethylated	ZNF502	chr3	44712455.0	44712457.0	+
cg13539545	0.5870933484488583	0.08468943527064372	0.5024039131782145	791	97	1.7340617374820453e-107	6.757080360118571e-106	0.5024039131782145	hypermethylated	C14orf39	chr14	60507104.0	60507106.0	-
cg17485838	0.7555625765931373	0.2538726083163557	0.5016899682767816	714	58	2.235058062955989e-69	2.7465471450105e-68	0.5016899682767816	hypermethylated	AC004079.1,AC004079.2;AC004079.4;AC004079.5;HOTAIRM1	chr7	27099092.0	27099094.0	+
cg04865841	0.6828369965424409	0.18137361605962118	0.5014633804828197	37	3	4.675271385104449e-10	1.037866427375408e-09	0.5014633804828197	hypermethylated	WRAP73	chr1	3650427.0	3650429.0	+
cg06962177	0.6535308876471634	0.15209366120013995	0.5014372264470235	791	97	8.717562393421777e-83	1.562696905220253e-81	0.5014372264470235	hypermethylated		chr1	63320274.0	63320276.0	+
cg12598524	0.6609499976748512	0.1606147998088115	0.5003351978660397	735	74	6.149352666025755e-156	1.5277749254281825e-153	0.5003351978660397	hypermethylated	PRKCE	chr2	45861185.0	45861187.0	+
cg10528576	0.7520046448439694	0.25179508985099147	0.5002095549929779	712	59	2.7814072904406217e-42	1.6766240333618836e-41	0.5002095549929779	hypermethylated	DLK1	chr14	100726575.0	100726577.0	+
cg15613420	0.6535386066047513	0.15390829695868738	0.4996303096460639	784	97	1.0576201344706468e-122	7.088630356636511e-121	0.4996303096460639	hypermethylated	AC026691.1,MACROH2A1	chr5	135399946.0	135399948.0	-
cg11799593	0.7293757076921135	0.23109174811321756	0.49828395957889593	464	23	3.21326608867374e-18	9.682172167875336e-18	0.49828395957889593	hypermethylated	LINC02384	chr12	68452088.0	68452090.0	-
cg09170112	0.41744619034068114	0.9154573139391448	-0.4980111235984636	779	95	1.1042509306521806e-204	3.297982456813208e-201	0.4980111235984636	hypomethylated		chr12	131617642.0	131617644.0	+
cg27393010	0.6192962993713456	0.12135428005887061	0.49794201931247495	791	97	4.994990449749156e-93	1.2139083611817095e-91	0.49794201931247495	hypermethylated		chr7	122300161.0	122300163.0	-
cg23205034	0.34152821933521943	0.8390037722703887	-0.49747555293516926	544	41	2.8116521544111462e-132	2.68304120859437e-130	0.49747555293516926	hypomethylated	CPQ	chr8	97104218.0	97104220.0	-
cg12438155	0.3202003041903178	0.8175006665681538	-0.497300362377836	768	76	1.3772311829223352e-113	6.653336381383002e-112	0.497300362377836	hypomethylated		chr1	4163832.0	4163834.0	+
cg03582419	0.3898737086662404	0.8871477912454044	-0.49727408257916406	617	85	4.7706804284721546e-172	2.4863865321232958e-169	0.49727408257916406	hypomethylated	AC097518.2,LINC02509	chr4	176883622.0	176883624.0	-
cg08604097	0.5685516903772379	0.07147799816328226	0.4970736922139556	782	97	9.533921478212737e-236	2.509292380860049e-231	0.4970736922139556	hypermethylated	NXPH1	chr7	8441234.0	8441236.0	+
cg16370398	0.8270687238878961	0.3302774596632573	0.4967912642246388	647	57	4.0368469592236777e-32	1.854205591486355e-31	0.4967912642246388	hypermethylated	HOXC4	chr12	54055128.0	54055130.0	-
cg09165441	0.6382535025383217	0.14169488493929205	0.49655861759902964	791	97	3.341077595590492e-90	7.451011759728296e-89	0.49655861759902964	hypermethylated		chr10	101284436.0	101284438.0	+
cg07790615	0.5433933340041285	0.04747468909037482	0.49591864491375365	791	97	2.58627161414313e-209	1.0274671552059151e-205	0.49591864491375365	hypermethylated	RYR2	chr1	237041873.0	237041875.0	+
cg00106345	0.6064546815908639	0.11195951638762484	0.49449516520323905	785	97	1.462588146637323e-209	6.038395537088525e-206	0.49449516520323905	hypermethylated	AC004079.1,AC004079.2;AC004079.4;AC004079.5;HOTAIRM1	chr7	27098776.0	27098778.0	-
cg26014538	0.7126812753430604	0.21892488267686633	0.49375639266619403	657	45	3.978935699016145e-24	1.447615101734358e-23	0.49375639266619403	hypermethylated	ZIC1	chr3	147408975.0	147408977.0	+
cg21026830	0.5899446614583334	0.09644801881578234	0.493496642642551	750	90	6.490120900700182e-182	5.0425844519879274e-179	0.493496642642551	hypermethylated	C14orf39	chr14	60506798.0	60506800.0	-
cg00334063	0.6666287361307347	0.1737780791062575	0.49285065702447717	752	65	1.252489710776227e-66	1.4287210555132327e-65	0.49285065702447717	hypermethylated	ZIC4	chr3	147388222.0	147388224.0	+
cg04311653	0.3717177592396887	0.8644859864539707	-0.492768227214282	791	97	1.6959071381770142e-168	7.393066652031833e-166	0.492768227214282	hypomethylated		chr10	131405977.0	131405979.0	+
cg27555582	0.5530323086656289	0.06030903157499647	0.49272327709063246	788	97	4.191494703154581e-234	7.674335219235818e-230	0.49272327709063246	hypermethylated	ABCC9	chr12	21941074.0	21941076.0	+
cg27071152	0.6795041603810342	0.18689880768458048	0.4926053526964538	782	96	3.2083211291367087e-71	4.1541953201588906e-70	0.4926053526964538	hypermethylated	AC004837.1,AC004837.3;YAE1	chr7	39609843.0	39609845.0	-
cg18322569	0.6686840105906091	0.17797902687308714	0.49070498371752197	786	97	6.206142698863419e-70	7.74552064634334e-69	0.49070498371752197	hypermethylated	BARHL2	chr1	90717219.0	90717221.0	-
cg03738025	0.710586567142067	0.22086591818897994	0.4897206489530871	791	97	6.384537143154324e-64	6.778996935282242e-63	0.4897206489530871	hypermethylated	LIN28B,LIN28B-AS1	chr6	104940818.0	104940820.0	-
cg08732352	0.7259982051498933	0.23629825179641312	0.4896999533534802	762	74	9.85238544217365e-40	5.559843271729624e-39	0.4896999533534802	hypermethylated	AC009531.1	chr7	35258779.0	35258781.0	-
cg12041100	0.332563207119326	0.8222450415293375	-0.4896818344100115	79	3	4.2758522812462e-07	8.230734191310943e-07	0.4896818344100115	hypomethylated	RAPGEFL1	chr17	40180935.0	40180937.0	+
cg05016408	0.5644199453322535	0.07532800595784925	0.4890919393744042	791	97	5.083295487378463e-198	9.388802174876728e-195	0.4890919393744042	hypermethylated	ZNF300P1	chr5	150946611.0	150946613.0	+
cg02710296	0.7418072937400477	0.25325225026983966	0.48855504347020806	785	95	1.891455949995328e-70	2.395184426180522e-69	0.48855504347020806	hypermethylated	SHCBP1L	chr1	182952715.0	182952717.0	-
cg13782274	0.42984984888590394	0.9181609792807668	-0.48831113039486285	791	97	7.745502565556963e-153	1.6778495717036804e-150	0.48831113039486285	hypomethylated	KCNQ2	chr20	63466327.0	63466329.0	-
cg15959252	0.8290496786383638	0.3421798819926248	0.486869796645739	767	67	1.3285692977651648e-29	5.68645699942147e-29	0.486869796645739	hypermethylated	CCDC184	chr12	48184940.0	48184942.0	+
cg04917275	0.35929720571350354	0.846138494986075	-0.4868412892725714	239	27	2.4358660103583376e-67	2.8323870087421056e-66	0.4868412892725714	hypomethylated		chr2	593390.0	593392.0	-
cg14858267	0.6764921300551471	0.19038175344467162	0.48611037661047546	340	40	1.0541340314281653e-106	4.0053288686352106e-105	0.48611037661047546	hypermethylated	AC006058.2	chr3	43996267.0	43996269.0	-
cg00002719	0.5199964212256044	0.03390066648266979	0.48609575474293465	791	97	6.735705116495551e-254	5.672999448855815e-249	0.48609575474293465	hypermethylated	CCDC181	chr1	169427467.0	169427469.0	-
cg19619405	0.5468792053299818	0.06154463954807557	0.48533456578190626	791	97	2.2269204295411735e-195	3.512312246313865e-192	0.48533456578190626	hypermethylated	ADAMTS20	chr12	43552088.0	43552090.0	-
cg06335867	0.6603999276528919	0.17521459048556298	0.4851853371673289	791	97	2.1903713530866877e-78	3.46583017202881e-77	0.4851853371673289	hypermethylated	NXPH1	chr7	8442694.0	8442696.0	-
cg08304190	0.5642918956523039	0.07915921555351965	0.4851326800987842	784	97	1.2593897412601784e-176	7.927453684619414e-174	0.4851326800987842	hypermethylated	MIR663A,MIR663AHG	chr20	26208360.0	26208362.0	-
cg05809668	0.5609696071156961	0.0761215563901921	0.484848050725504	791	97	2.3397619182327525e-141	3.2094674281259523e-139	0.484848050725504	hypermethylated		chr7	35261576.0	35261578.0	+
cg06463958	0.5441741554104552	0.05936828102033163	0.48480587439012357	784	97	1.041836040635587e-171	5.337369129151029e-169	0.48480587439012357	hypermethylated	LNCDAT,TBXT	chr6	166168904.0	166168906.0	+
