gene	direction	n_significant_probes	n_hyper_probes	n_hypo_probes	probe_ids
7SK	hypermethylated	2	2	0	cg15925365,cg22486834
ABCC9	hypermethylated	1	1	0	cg27555582
ABLIM2	hypermethylated	1	1	0	cg17949969
ABR	hypermethylated	1	1	0	cg06237543
AC002464.1	hypermethylated	1	1	0	cg19980771
AC003006.1	hypermethylated	1	1	0	cg01268824
AC003986.1	hypermethylated	3	3	0	cg10477621,cg24624901,cg25691167
AC004079.1	hypermethylated	3	3	0	cg00106345,cg17485838,cg26264232
AC004079.2	hypermethylated	3	3	0	cg00106345,cg17485838,cg26264232
AC004079.4	hypermethylated	2	2	0	cg00106345,cg17485838
AC004079.5	hypermethylated	3	3	0	cg00106345,cg17485838,cg26264232
AC004080.1	hypermethylated	1	1	0	cg15564098
AC004080.3	hypermethylated	5	5	0	cg12600174,cg14625175,cg18447772,cg21001184,cg25999578
AC004080.6	hypermethylated	3	3	0	cg11015251,cg16651126,cg19142026
AC004147.2	hypermethylated	1	1	0	cg24613080
AC004147.4	hypermethylated	1	1	0	cg24613080
AC004828.2	hypermethylated	1	1	0	cg05111779
AC004837.1	hypermethylated	1	1	0	cg27071152
AC004837.3	hypermethylated	1	1	0	cg27071152
AC005229.4	hypermethylated	1	1	0	cg03789645
AC005520.2	hypermethylated	1	1	0	cg13158272
AC005586.1	hypermethylated	1	1	0	cg27494647
AC005609.1	hypermethylated	1	1	0	cg02051771
AC005609.5	hypermethylated	1	1	0	cg11095383
AC005622.1	hypermethylated	1	1	0	cg09489306
AC006058.2	hypermethylated	1	1	0	cg14858267
AC006115.2	hypermethylated	1	1	0	cg06585566
AC006511.4	hypermethylated	1	1	0	cg17509039
AC007040.2	hypermethylated	2	2	0	cg04751811,cg15165122
AC007271.1	hypermethylated	1	1	0	cg23611697
AC007368.1	hypermethylated	1	1	0	cg18235050
AC007391.3	hypermethylated	1	1	0	cg18790856
AC007402.1	hypermethylated	1	1	0	cg13594075
AC007405.1	hypermethylated	1	1	0	cg00860808
AC007461.1	hypermethylated	1	1	0	cg21000227
AC007491.1	hypermethylated	1	1	0	cg08320225
AC008014.1	hypermethylated	2	2	0	cg11146691,cg22868282
AC008397.2	hypermethylated	1	1	0	cg15215348
AC008525.1	hypermethylated	1	1	0	cg01764252
AC008567.2	hypermethylated	1	1	0	cg19254119
AC008758.1	hypermethylated	2	2	0	cg19926444,cg22637867
AC008875.2	hypermethylated	3	3	0	cg04223424,cg14979301,cg24676817
AC008875.3	hypermethylated	3	3	0	cg04223424,cg07137955,cg14979301
AC009487.1	hypermethylated	1	1	0	cg06382344
AC009487.2	hypermethylated	3	3	0	cg01419831,cg06382344,cg23161999
AC009531.1	hypermethylated	1	1	0	cg08732352
AC009570.2	hypermethylated	1	1	0	cg17075352
AC010327.2	hypermethylated	1	1	0	cg18417954
AC010327.4	hypermethylated	1	1	0	cg18417954
AC010332.3	hypermethylated	1	1	0	cg26928418
AC010420.1	hypermethylated	1	1	0	cg22961212
AC010422.6	hypermethylated	1	1	0	cg24932585
AC010478.1	hypermethylated	1	1	0	cg05501996
AC010519.1	hypermethylated	1	1	0	cg09243824
AC010907.1	hypermethylated	1	1	0	cg11857704
AC010931.2	hypermethylated	1	1	0	cg15480336
AC011239.2	hypermethylated	1	1	0	cg02338778
AC011246.1	hypermethylated	1	1	0	cg04178787
AC011396.2	hypermethylated	2	2	0	cg18274480,cg20755170
AC011815.2	hypermethylated	1	1	0	cg00487232
AC012349.1	hypermethylated	2	2	0	cg04612444,cg12877723
AC012508.1	hypermethylated	1	1	0	cg22830113
AC012508.2	hypermethylated	1	1	0	cg22830113
AC012508.3	hypermethylated	1	1	0	cg22830113
AC012574.1	hypermethylated	3	3	0	cg09618933,cg14428146,cg22747746
AC012574.2	hypermethylated	1	1	0	cg09618933
AC015845.2	hypermethylated	1	1	0	cg06817490
AC016292.1	hypermethylated	1	1	0	cg06237543
AC016876.2	hypermethylated	1	1	0	cg00004421
AC017033.1	hypermethylated	1	1	0	cg13713922
AC017048.1	hypermethylated	1	1	0	cg13661243
AC018637.1	hypermethylated	1	1	0	cg18961681
AC018730.1	hypermethylated	1	1	0	cg19513834
AC019068.1	hypermethylated	1	1	0	cg07014673
AC020911.2	hypermethylated	1	1	0	cg02381279
AC021092.1	hypermethylated	1	1	0	cg08684893
AC022098.1	hypermethylated	2	2	0	cg04416414,cg14565903
AC022915.2	hypermethylated	2	2	0	cg14095438,cg20527270
AC025034.1	hypermethylated	1	1	0	cg16962463
AC025048.1	hypermethylated	2	2	0	cg20370678,cg21158087
AC025062.2	hypermethylated	1	1	0	cg12174804
AC025062.3	hypermethylated	1	1	0	cg12174804
AC026310.2	hypermethylated	1	1	0	cg20399616
AC026316.4	hypermethylated	3	3	0	cg05937737,cg11145160,cg21884231
AC026470.2	hypermethylated	1	1	0	cg27319917
AC026691.1	hypermethylated	1	1	0	cg15613420
AC026904.2	hypermethylated	2	2	0	cg14095438,cg20527270
AC034187.1	hypermethylated	1	1	0	cg03557445
AC037459.1	hypermethylated	2	2	0	cg00920139,cg01710189
AC051619.3	hypermethylated	2	2	0	cg18582992,cg24033558
AC055788.2	hypermethylated	1	1	0	cg22052659
AC061708.1	hypermethylated	4	4	0	cg07139301,cg14777768,cg24302235,cg25203962
AC068189.1	hypermethylated	1	1	0	cg17495087
AC068205.1	hypermethylated	4	4	0	cg01939477,cg05376374,cg14416371,cg15556502
AC068205.2	hypermethylated	4	4	0	cg01939477,cg05376374,cg14416371,cg15556502
AC068787.4	hypermethylated	2	2	0	cg00812438,cg04569082
AC072026.2	hypermethylated	2	2	0	cg00193200,cg18423935
AC073288.2	hypermethylated	1	1	0	cg11145160
AC073343.2	hypermethylated	1	1	0	cg05732750
AC074099.1	hypermethylated	3	3	0	cg02683759,cg11856078,cg14471364
AC078909.1	hypermethylated	1	1	0	cg13800209
