gene	direction	n_significant_probes	n_hyper_probes	n_hypo_probes	probe_ids
7SK	hypermethylated	3	3	0	cg15925365,cg19701087,cg22486834
A1BG	hypermethylated	2	2	0	cg03630821,cg25623524
A1BG-AS1	hypermethylated	2	2	0	cg03630821,cg25623524
A3GALT2	hypermethylated	1	1	0	cg08864344
AAAS	hypermethylated	1	1	0	cg08985885
AADACL2-AS1	hypermethylated	2	2	0	cg13696490,cg20790648
AADACP1	hypermethylated	1	1	0	cg13696490
ABAT	hypermethylated	2	2	0	cg00231389,cg26778345
ABCA1	hypermethylated	1	1	0	cg14019050
ABCB1	hypermethylated	1	1	0	cg00862116
ABCC1	hypermethylated	2	2	0	cg01332683,cg09109383
ABCC9	hypermethylated	14	14	0	cg00181125,cg01085837,cg06951626,cg07780543,cg08530237,cg09658429,cg11901043,cg14074052,cg14556896,cg16846653,cg18556676,cg21485303,cg23658477,cg27555582
ABCD1P4	hypermethylated	1	1	0	cg03389890
ABCG1	hypermethylated	2	2	0	cg14982472,cg27243685
ABCG5	hypermethylated	2	2	0	cg13591352,cg14583675
ABCG8	hypermethylated	2	2	0	cg13591352,cg14583675
ABHD14A	hypermethylated	2	2	0	cg04210566,cg23527366
ABHD14A-ACY1	hypermethylated	2	2	0	cg04210566,cg23527366
ABHD14B	hypermethylated	2	2	0	cg04210566,cg23527366
ABHD15-AS1	hypermethylated	6	6	0	cg06772580,cg08217285,cg12080909,cg13757826,cg16755500,cg20300175
ABL1	hypermethylated	5	5	0	cg02915920,cg08951958,cg10228162,cg13440206,cg13670057
ABLIM1	hypermethylated	6	6	0	cg00950497,cg01315572,cg04055345,cg04508114,cg06848487,cg12736146
ABLIM2	hypermethylated	2	2	0	cg10754215,cg17949969
ABO	hypermethylated	2	2	0	cg07241568,cg24267699
ABT1	hypermethylated	1	1	0	cg06728252
AC000035.1	hypermethylated	2	2	0	cg02994956,cg20256245
AC000050.2	hypermethylated	1	1	0	cg17567700
AC000120.2	hypermethylated	2	2	0	cg22757019,cg23192873
AC000120.3	hypermethylated	2	2	0	cg22757019,cg23192873
AC000403.1	hypermethylated	2	2	0	cg00931644,cg25968569
AC002064.1	hypermethylated	3	3	0	cg18290848,cg23697855,cg25739043
AC002066.1	hypermethylated	5	5	0	cg10062049,cg12739419,cg16260298,cg18887458,cg25274503
AC002074.1	hypermethylated	4	4	0	cg17933009,cg18511007,cg23348014,cg25300386
AC002091.2	hypermethylated	1	1	0	cg18470295
AC002094.1	hypermethylated	2	2	0	cg20686234,cg23887396
AC002094.4	hypermethylated	2	2	0	cg20686234,cg23887396
AC002116.2	hypermethylated	3	3	0	cg02878461,cg06432655,cg22719241
AC002378.1	hypermethylated	2	2	0	cg00539347,cg11564601
AC002451.1	hypermethylated	2	2	0	cg06070414,cg09436502
AC002456.1	hypermethylated	2	2	0	cg17206555,cg19412295
AC002464.1	hypermethylated	1	1	0	cg19980771
AC002472.1	hypermethylated	5	5	0	cg04054731,cg05684406,cg23644624,cg24333469,cg27645955
AC002472.3	hypermethylated	2	2	0	cg01763749,cg07448795
AC002546.1	hypermethylated	1	1	0	cg12323063
AC003006.1	hypermethylated	10	10	0	cg01268824,cg03142586,cg03234186,cg08668790,cg11294513,cg12506930,cg21790626,cg26465391,cg27049766,cg27324426
AC003958.2	hypermethylated	3	3	0	cg01446571,cg19321887,cg25119946
AC003973.1	hypermethylated	1	1	0	cg22620746
AC003986.1	hypermethylated	10	10	0	cg00376022,cg02179455,cg02503874,cg05328547,cg08638184,cg08814405,cg10477621,cg23536473,cg24624901,cg25691167
AC003986.2	hypermethylated	2	2	0	cg24496841,cg27621129
AC004079.1	hypermethylated	3	3	0	cg00106345,cg17485838,cg26264232
AC004079.2	hypermethylated	4	4	0	cg00106345,cg07278425,cg17485838,cg26264232
AC004079.3	hypermethylated	4	4	0	cg02978421,cg04167903,cg06715976,cg26744375
AC004079.4	hypermethylated	3	3	0	cg00106345,cg07278425,cg17485838
AC004079.5	hypermethylated	3	3	0	cg00106345,cg17485838,cg26264232
AC004080.1	hypermethylated	9	9	0	cg05825073,cg06544111,cg07104209,cg08637618,cg11640378,cg15564098,cg20801476,cg25160286,cg27397850
AC004080.10	hypermethylated	3	3	0	cg04521510,cg10979436,cg20672981
AC004080.11	hypermethylated	1	1	0	cg02115599
AC004080.12	hypermethylated	2	2	0	cg05311410,cg12997720
AC004080.14	hypermethylated	3	3	0	cg05311410,cg12997720,cg21447117
AC004080.17	hypermethylated	1	1	0	cg05379541
AC004080.3	hypermethylated	21	21	0	cg01354473,cg01381846,cg03464573,cg05210501,cg07778029,cg12600174,cg13703049,cg14625175,cg16104915,cg16857858,cg16967880,cg18243072,cg18416576,cg18447772,cg20399871,cg21001184,cg21172377,cg25999578,cg26476852,cg26521404,cg27009703
AC004080.4	hypermethylated	2	2	0	cg08934785,cg26511321
AC004080.5	hypermethylated	4	4	0	cg10739556,cg17969084,cg19816811,cg24398479
AC004080.6	hypermethylated	32	32	0	cg00562553,cg01370449,cg02005600,cg02248486,cg04317399,cg04321618,cg04863892,cg06888121,cg06942814,cg07317062,cg08657492,cg10739556,cg11015251,cg11908057,cg14042889,cg14359292,cg14974749,cg16651126,cg17457637,cg17569124,cg17969084,cg19142026,cg19759481,cg19816811,cg21097354,cg22997113,cg23884241,cg23936031,cg24169822,cg24398479,cg25307665,cg25952581
AC004080.7	hypermethylated	3	3	0	cg12997720,cg21447117,cg26435572
AC004080.8	hypermethylated	3	3	0	cg05311410,cg12997720,cg21447117
AC004080.9	hypermethylated	2	2	0	cg10883303,cg26512254
AC004408.1	hypermethylated	1	1	0	cg23415212
AC004408.2	hypermethylated	2	2	0	cg15790037,cg20555674
AC004549.1	hypermethylated	1	1	0	cg04493169
AC004593.1	hypermethylated	2	2	0	cg21472642,cg22747501
AC004596.1	hypermethylated	4	4	0	cg08499158,cg10308265,cg18941614,cg23883802
AC004637.1	hypermethylated	1	1	0	cg10591771
AC004691.2	hypermethylated	5	5	0	cg04372674,cg11827925,cg14370520,cg18080604,cg25075794
AC004706.1	hypermethylated	1	1	0	cg08750459
AC004803.1	hypermethylated	1	1	0	cg13333954
AC004828.2	hypermethylated	1	1	0	cg05111779
AC004837.1	hypermethylated	5	5	0	cg05858889,cg06890747,cg12457909,cg21101743,cg27071152
AC004837.3	hypermethylated	5	5	0	cg05858889,cg06890747,cg12457909,cg21101743,cg27071152
AC004846.1	hypermethylated	1	1	0	cg09636214
AC004882.1	hypermethylated	2	2	0	cg10941566,cg15868105
