probe_id	gene	chrom	chromStart	chromEnd	strand	functional_region	is_promoter	dist_to_tss	cgi_relation	cgi_id	probe_class	annotation_source
cg17326769	HCK	chr20	32051901	32051903	+	gene_body	False	23393.0	S_Shore		reference_real_stats	imputed_from_region_mix
cg03161803	AL009179.2	chr6	27681340	27681342	-	TSS1500	True	-785.0	S_Shore		reference_real_stats	published_manifest
cg07077665		chr15	37102882	37102884	+	TSS1500	True	-733.0	N_Shelf		reference_real_stats	imputed_from_region_mix
cg17534034	ZFPM2,ZFPM2-AS1	chr8	105574651	105574653	-	gene_body	False	19389.0	Island		reference_real_stats	imputed_from_region_mix
cg08860070		chr5	141513254	141513256	+	TSS1500	True	-140.0	OpenSea		reference_real_stats	imputed_from_region_mix
cg22740796		chr10	130663016	130663018	+	intergenic	False	0.0	OpenSea		reference_real_stats	published_manifest
cg06958563	LINC00461,MEF2C-AS2	chr5	88685093	88685095	+	intergenic	False	35308.0	Island		reference_real_stats	imputed_from_region_mix
cg13294849	SOX2-OT	chr3	181723782	181723784	-	gene_body	False	590.0	N_Shelf		reference_real_stats	published_manifest
cg08159989	KLHDC8A	chr1	205356942	205356944	-	gene_body	False	6697.0	Island		reference_real_stats	imputed_from_region_mix
cg14088921	MATN2	chr8	97932707	97932709	-	gene_body	False	1283.0	OpenSea		reference_real_stats	published_manifest
cg01518607	AL021808.1	chr6	27268111	27268113	-	TSS200	True	-1.0	OpenSea		reference_real_stats	published_manifest
cg22399133	CRYGD	chr2	208124523	208124525	+	5UTR_1stExon	False	1.0	Island		reference_real_stats	published_manifest
cg13879483	USP44	chr12	95549130	95549132	-	TSS1500	True	-286.0	Island		reference_real_stats	published_manifest
cg20197130	LINC00944	chr12	126772170	126772172	+	gene_body	False	7384.0	S_Shore		reference_real_stats	imputed_from_region_mix
cg00266983		chr7	1237884	1237886	+	gene_body	False	15693.0	Island		reference_real_stats	imputed_from_region_mix
cg20150982	MIR100HG	chr11	122440949	122440951	+	5UTR_1stExon	False	17968.0	S_Shore		reference_real_stats	imputed_from_region_mix
cg13894852	AC091180.5,EIF4EP2	chr17	49424935	49424937	+	TSS200	True	-830.0	OpenSea		reference_real_stats	imputed_from_region_mix
cg18661205	AC244517.10,AC244517.11;PCDHB18P	chr5	141234311	141234313	+	gene_body	False	34380.0	N_Shore		reference_real_stats	imputed_from_region_mix
cg05280527	NRXN3	chr14	79862106	79862108	+	5UTR_1stExon	False	2903.0	OpenSea		reference_real_stats	imputed_from_region_mix
cg14979301	AC008875.2,AC008875.3	chr5	42994020	42994022	+	TSS1500	True	-744.0	N_Shore		reference_real_stats	published_manifest
cg08387538	DLGAP2,DLGAP2-AS1	chr8	1579828	1579830	+	gene_body	False	31185.0	OpenSea		reference_real_stats	published_manifest
cg25200152	AC245100.1,AC245100.5;LINC01138	chr1	148318341	148318343	+	TSS1500	True	-328.0	S_Shore		reference_real_stats	published_manifest
cg20981848	AL035448.1,BTBD3	chr20	11918609	11918611	-	5UTR_1stExon	False	68.0	OpenSea		reference_real_stats	published_manifest
cg11426075	AL034417.2,ERRFI1	chr1	8026898	8026900	+	5UTR_1stExon	False	161.0	S_Shore		reference_real_stats	published_manifest
cg21199093	ZMYM4	chr1	35370407	35370409	+	gene_body	False	8691.0	OpenSea		reference_real_stats	published_manifest
cg27319917	AC026470.2,N4BP1	chr16	48558782	48558784	-	gene_body	False	17032.0	OpenSea		reference_real_stats	imputed_from_region_mix
cg25708982		chr13	112241116	112241118	+	TSS1500	True	-1240.0	OpenSea		reference_real_stats	imputed_from_region_mix
cg27429080	DNM3	chr1	171841159	171841161	+	TSS1500	True	-338.0	N_Shore		reference_real_stats	published_manifest
cg17154724	DNM3	chr1	171841181	171841183	+	TSS1500	True	-316.0	N_Shore		reference_real_stats	published_manifest
cg12468774	IHO1	chr3	49199426	49199428	+	TSS200	True	-71.0	Island		reference_real_stats	published_manifest
cg20395967	MIR663A,MIR663AHG	chr20	26209710	26209712	-	5UTR_1stExon	False	129.0	Island		reference_real_stats	published_manifest
cg08481075	COL11A2	chr6	33193550	33193552	-	TSS1500	True	-1051.0	Island		reference_real_stats	published_manifest
cg14553895	PIK3CA	chr3	179181381	179181383	-	gene_body	False	31855.0	OpenSea		reference_real_stats	published_manifest
cg21039708	OTX2,OTX2-AS1	chr14	56812010	56812012	+	TSS1500	True	-1172.0	Island		reference_real_stats	published_manifest
cg00564737	BX248415.1	chr1	196878051	196878053	+	gene_body	False	27769.0	Island		reference_real_stats	published_manifest
cg06841499		chr11	67582169	67582171	+	TSS200	True	-902.0	S_Shelf		reference_real_stats	imputed_from_region_mix
cg02534163	ENPP2	chr8	119638753	119638755	-	5UTR_1stExon	False	27.0	OpenSea		reference_real_stats	published_manifest
cg10715092	MIR663A,MIR663AHG	chr20	26209717	26209719	-	5UTR_1stExon	False	122.0	S_Shore		reference_real_stats	published_manifest
cg15219228	TULP1	chr6	35511850	35511852	-	5UTR_1stExon	False	117.0	Island		reference_real_stats	published_manifest
cg00076195		chr5	141513109	141513111	+	intergenic	False	0.0	Island		reference_real_stats	published_manifest
cg10903903	AL009179.2	chr6	27680063	27680065	+	5UTR_1stExon	False	492.0	Island		reference_real_stats	published_manifest
cg18438793	HPCAL4	chr1	39684164	39684166	-	gene_body	False	7269.0	Island		reference_real_stats	published_manifest
cg01408508	MIR663AHG	chr20	26208002	26208004	+	5UTR_1stExon	False	41.0	Island		reference_real_stats	published_manifest
cg00970396		chr16	9013341	9013343	+	intergenic	False	0.0	OpenSea		reference_real_stats	published_manifest
cg02830936	EIF3I,MTMR9LP	chr1	32242883	32242885	+	gene_body	False	6862.0	Island		reference_real_stats	imputed_from_region_mix
cg27563985	CBLN4	chr20	56005620	56005622	-	TSS200	True	-101.0	Island		reference_real_stats	published_manifest
