probe_id	tumor_mean_beta	normal_mean_beta	delta_beta	tumor_n	normal_n	p_value	fdr	abs_delta_beta	direction	gene	chrom	chromStart	chromEnd	strand
cg26081875	0.26028525829315186	0.9441091418266296	-0.6838238835334778	5	1			0.6838238835334778	hypomethylated	LINC00243	chr6	30828629.0	30828631.0	-
cg05280527	0.12703651121292991	0.8035027980804443	-0.6764662868675144	87	8	5.230159412753159e-11	2.478760281432345e-10	0.6764662868675144	hypomethylated	NRXN3	chr14	79862106.0	79862108.0	+
cg20197130	0.18198889355326808	0.8399233818054199	-0.6579344882521518	43	6	7.913890174445358e-29	2.1338367302156863e-27	0.6579344882521518	hypomethylated	LINC00944	chr12	126772170.0	126772172.0	+
cg12528452	0.13227911293506622	0.7768727938334147	-0.6445936808983485	1	3			0.6445936808983485	hypomethylated	AC132217.2,IGF2;INS-IGF2	chr11	2132843.0	2132845.0	+
cg16144314	0.23925411701202393	0.8530742526054382	-0.6138201355934143	2	1			0.6138201355934143	hypomethylated	ADARB2,ADARB2-AS1	chr10	1526563.0	1526565.0	+
cg24046017	0.3274768970630787	0.9283811431570151	-0.6009042460939364	135	97	1.9065306221927403e-54	5.391947728960423e-52	0.6009042460939364	hypomethylated	OSGIN2,RNU6-925P	chr8	89901036.0	89901038.0	-
cg27500148	0.33283308822743213	0.9088503650783264	-0.5760172768508942	137	97	2.6249757675651955e-54	7.364464826483324e-52	0.5760172768508942	hypomethylated	AC110749.1,RPL23	chr17	38855237.0	38855239.0	+
cg26192520	0.2507667541503906	0.8254666924476624	-0.5746999382972717	34	1			0.5746999382972717	hypomethylated	YWHAZ	chr8	100948161.0	100948163.0	+
cg22740796	0.26440162358321545	0.8368992138934391	-0.5724975903102236	127	93	1.3046500332362529e-54	3.752749181326173e-52	0.5724975903102236	hypomethylated		chr10	130663016.0	130663018.0	+
cg14534279	0.35510693849438296	0.9274103223663015	-0.5723033838719185	137	97	1.3290739442691614e-75	3.9977689838937913e-72	0.5723033838719185	hypomethylated		chr10	3287773.0	3287775.0	-
cg00177787	0.31604669389933565	0.8880067805653995	-0.5719600866660639	137	97	5.237346391349008e-85	4.1613286343535323e-81	0.5719600866660639	hypomethylated		chr10	3288287.0	3288289.0	+
cg25708982	0.25715863364083424	0.8223344362699069	-0.5651758026290726	35	13	2.8362613394000094e-16	2.3068678877761032e-15	0.5651758026290726	hypomethylated		chr13	112241116.0	112241118.0	+
cg13219007	0.3188140630722046	0.8786910772323608	-0.5598770141601562	10	1			0.5598770141601562	hypomethylated	UCP2	chr11	73980223.0	73980225.0	+
cg08599635	0.33428108961062325	0.8870178550802251	-0.5527367654696018	133	93	1.7551548924824903e-50	3.341388028608472e-48	0.5527367654696018	hypomethylated	WWOX	chr16	78462610.0	78462612.0	+
cg03284308	0.2847062703725454	0.836175524999225	-0.5514692546266795	74	63	1.7502526402931225e-35	8.567367657869081e-34	0.5514692546266795	hypomethylated	AC009070.1,CENPN;CMC2	chr16	81005719.0	81005721.0	-
cg26876834	0.342714603130634	0.8932455739667339	-0.5505309708360999	130	93	2.2549343481027563e-46	2.967430182074687e-44	0.5505309708360999	hypomethylated	RPS2,SNHG9;SNORA10;SNORA64	chr16	1963571.0	1963573.0	-
cg08202226	0.2663913364828068	0.8081868751761839	-0.5417955386933772	137	97	1.6378225574052317e-75	4.823112552248074e-72	0.5417955386933772	hypomethylated	AL358472.5,GATAD2B	chr1	153924113.0	153924115.0	-
cg07486474	0.35579556096209225	0.8951773889286002	-0.5393818279665079	137	97	2.312178950781001e-50	4.342337481963432e-48	0.5393818279665079	hypomethylated	PDE6B	chr4	634859.0	634861.0	+
cg13813355	0.29392504692077637	0.8229076862335205	-0.5289826393127441	13	16	3.651685502822764e-07	1.1265181997708502e-06	0.5289826393127441	hypomethylated		chr2	174345502.0	174345504.0	-
cg06938601	0.286099910736084	0.8144766725139854	-0.5283767617779014	46	81	3.674268397358298e-21	4.82197344515068e-20	0.5283767617779014	hypomethylated	TCERG1L	chr10	131144422.0	131144424.0	-
cg06271630	0.4165240378275405	0.9438017225757087	-0.5272776847481682	137	97	4.540825984852283e-58	1.798863378463904e-55	0.5272776847481682	hypomethylated		chr10	3287572.0	3287574.0	+
cg03440799	0.3742653505645529	0.8981878536263692	-0.5239225030618163	137	97	1.0986919162726527e-78	5.018496033776454e-75	0.5239225030618163	hypomethylated	AXDND1	chr1	179365040.0	179365042.0	+
cg12415687	0.39466606422706885	0.9094883968955592	-0.5148223326684903	135	95	1.2989589745450738e-45	1.585524384723625e-43	0.5148223326684903	hypomethylated	PTPRN2	chr7	157917779.0	157917781.0	-
