probe_id	tumor_mean_beta	normal_mean_beta	delta_beta	tumor_n	normal_n	p_value	fdr	abs_delta_beta	direction	gene	chrom	chromStart	chromEnd	strand
cg26081875	0.2770358420707084	0.9441091418266296	-0.6670732997559212	37	1			0.6670732997559212	hypomethylated	LINC00243	chr6	30828629.0	30828631.0	-
cg17534034	0.22413598848081723	0.8359628677368164	-0.6118268792559991	241	10	6.510591156092044e-18	1.9416183929313313e-17	0.6118268792559991	hypomethylated	ZFPM2,ZFPM2-AS1	chr8	105574651.0	105574653.0	-
cg13219007	0.27660221523708767	0.8786910772323608	-0.6020888619952731	54	1			0.6020888619952731	hypomethylated	UCP2	chr11	73980223.0	73980225.0	+
cg22740796	0.24446996547832564	0.8368992138934391	-0.5924292484151135	771	93	7.001427285852523e-123	4.727271204191918e-121	0.5924292484151135	hypomethylated		chr10	130663016.0	130663018.0	+
cg20197130	0.28879522289750137	0.8399233818054199	-0.5511281589079186	169	6	8.255745429286645e-40	4.669473743128128e-39	0.5511281589079186	hypomethylated	LINC00944	chr12	126772170.0	126772172.0	+
cg13894852	0.2985889791584701	0.8486618995666504	-0.5500729204081802	139	2	7.289847252701474e-08	1.4603900593574596e-07	0.5500729204081802	hypomethylated	AC091180.5,EIF4EP2	chr17	49424935.0	49424937.0	+
cg05280527	0.26056120481044465	0.8035027980804443	-0.5429415932699997	363	8	1.645838909034721e-14	4.3573859319706244e-14	0.5429415932699997	hypomethylated	NRXN3	chr14	79862106.0	79862108.0	+
cg08387538	0.3506173694624883	0.8908289349268353	-0.5402115654643471	534	63	2.866983273346689e-167	1.1871453236697324e-164	0.5402115654643471	hypomethylated	DLGAP2,DLGAP2-AS1	chr8	1579828.0	1579830.0	+
cg26192520	0.28812010891466255	0.8254666924476624	-0.5373465835329998	166	1			0.5373465835329998	hypomethylated	YWHAZ	chr8	100948161.0	100948163.0	+
cg25708982	0.2944504743564629	0.8223344362699069	-0.527883961913444	167	13	3.819732363473396e-64	4.081042178134557e-63	0.527883961913444	hypomethylated		chr13	112241116.0	112241118.0	+
cg06841499	0.3144823710123698	0.8349812030792236	-0.5204988320668538	39	12	2.729751542410007e-16	7.697394493343741e-16	0.5204988320668538	hypomethylated		chr11	67582169.0	67582171.0	+
cg10168086	0.23803323179810912	0.7447005440207088	-0.5066673122225998	728	68	1.9497388800140003e-85	3.7685883266086003e-84	0.5066673122225998	hypomethylated		chr16	26488644.0	26488646.0	+
cg01952226	0.2663758004908225	0.7721806576377467	-0.5058048571469242	269	19	1.518827659583385e-21	5.097954687776359e-21	0.5058048571469242	hypomethylated	GRHL2	chr8	101495153.0	101495155.0	+
cg09170112	0.41744619034068114	0.9154573139391448	-0.4980111235984636	779	95	1.1042509306521806e-204	3.297982456813208e-201	0.4980111235984636	hypomethylated		chr12	131617642.0	131617644.0	+
cg23205034	0.34152821933521943	0.8390037722703887	-0.49747555293516926	544	41	2.8116521544111462e-132	2.68304120859437e-130	0.49747555293516926	hypomethylated	CPQ	chr8	97104218.0	97104220.0	-
cg12438155	0.3202003041903178	0.8175006665681538	-0.497300362377836	768	76	1.3772311829223352e-113	6.653336381383002e-112	0.497300362377836	hypomethylated		chr1	4163832.0	4163834.0	+
cg03582419	0.3898737086662404	0.8871477912454044	-0.49727408257916406	617	85	4.7706804284721546e-172	2.4863865321232958e-169	0.49727408257916406	hypomethylated	AC097518.2,LINC02509	chr4	176883622.0	176883624.0	-
cg04311653	0.3717177592396887	0.8644859864539707	-0.492768227214282	791	97	1.6959071381770142e-168	7.393066652031833e-166	0.492768227214282	hypomethylated		chr10	131405977.0	131405979.0	+
cg12041100	0.332563207119326	0.8222450415293375	-0.4896818344100115	79	3	4.2758522812462e-07	8.230734191310943e-07	0.4896818344100115	hypomethylated	RAPGEFL1	chr17	40180935.0	40180937.0	+
cg13782274	0.42984984888590394	0.9181609792807668	-0.48831113039486285	791	97	7.745502565556963e-153	1.6778495717036804e-150	0.48831113039486285	hypomethylated	KCNQ2	chr20	63466327.0	63466329.0	-
cg04917275	0.35929720571350354	0.846138494986075	-0.4868412892725714	239	27	2.4358660103583376e-67	2.8323870087421056e-66	0.4868412892725714	hypomethylated		chr2	593390.0	593392.0	-
cg11157172	0.4367318850511696	0.9130646725918384	-0.4763327875406688	684	94	6.2101430645517705e-198	1.1419992080723381e-194	0.4763327875406688	hypomethylated	PRDM16	chr1	3293852.0	3293854.0	+
cg15300436	0.24559774771109	0.7203565794846107	-0.47475883177352074	666	58	3.642025656017424e-50	2.7023310582470643e-49	0.47475883177352074	hypomethylated	MYT1L,MYT1L-AS1	chr2	2318015.0	2318017.0	-
cg00322927	0.40878642197196363	0.8802944632137523	-0.47150804124178863	423	17	2.034086054298972e-39	1.1381033623911263e-38	0.47150804124178863	hypomethylated	OPCML	chr11	132837791.0	132837793.0	-
cg23960736	0.37919968153444655	0.8503194768378075	-0.47111979530336096	699	94	3.7244187823497096e-198	7.062935507588303e-195	0.47111979530336096	hypomethylated		chr1	4111533.0	4111535.0	+
cg04519387	0.35100172071034097	0.8206437428792318	-0.46964202216889084	203	3	3.02698939656872e-19	9.43654678452081e-19	0.46964202216889084	hypomethylated	OVOL1	chr11	65788966.0	65788968.0	+
cg07834841	0.40049371345606827	0.8646738111358327	-0.4641800976797645	791	97	8.081519215926085e-151	1.6030338592065462e-148	0.4641800976797645	hypomethylated		chr10	128387077.0	128387079.0	-
cg05970721	0.41942192184273747	0.8824034841437088	-0.46298156230097137	787	95	9.789784368276046e-153	2.1130780391912858e-150	0.46298156230097137	hypomethylated	HS3ST2	chr16	22915303.0	22915305.0	-
cg01577083	0.34805741533166085	0.8085796710142156	-0.4605222556825547	791	97	3.693445580901106e-154	8.541250095308009e-152	0.4605222556825547	hypomethylated	RBFOX1	chr16	5436266.0	5436268.0	-
cg24833737	0.4653652880797645	0.9255417499345603	-0.46017646185479577	791	97	7.112221826192943e-192	9.418415667029607e-189	0.46017646185479577	hypomethylated	AC025839.1	chr8	141622350.0	141622352.0	-
cg10389812	0.29645666086448813	0.7566014130910238	-0.46014475222653567	53	3	1.823337831719723e-19	5.72565387808581e-19	0.46014475222653567	hypomethylated	IGF1R	chr15	98914932.0	98914934.0	+
cg09094964	0.4551996899258559	0.9146084529097362	-0.45940876298388034	785	93	1.2460481768467198e-151	2.5497003495851775e-149	0.45940876298388034	hypomethylated	LINC00940	chr12	1936878.0	1936880.0	-
cg00742098	0.3393631417410714	0.7986963665674603	-0.45933322482638894	525	63	2.217157468041564e-113	1.0619609303876879e-111	0.45933322482638894	hypomethylated		chr16	17817806.0	17817808.0	+
cg14072016	0.36454402742398107	0.8238584819592928	-0.4593144545353117	779	95	1.371426795567848e-116	7.402294585859508e-115	0.4593144545353117	hypomethylated	DIP2C	chr10	338711.0	338713.0	-
cg06880420	0.3066321843787085	0.7655886620590368	-0.45895647768032827	790	97	2.071556797242133e-98	5.989848730526117e-97	0.45895647768032827	hypomethylated	NR5A2	chr1	200150858.0	200150860.0	+
cg13028819	0.4027460414117659	0.8610190951947084	-0.45827305378294253	779	97	3.53928576556495e-162	1.1653188318061912e-159	0.45827305378294253	hypomethylated		chr7	156364994.0	156364996.0	-
cg09313140	0.34104994666561317	0.79825607771726	-0.45720613105164687	791	97	3.668717514839031e-119	2.1704809041077884e-117	0.45720613105164687	hypomethylated		chr12	127825047.0	127825049.0	+
cg27170427	0.46665914079784293	0.9232283130134504	-0.4565691722156075	791	97	6.376337745776655e-234	1.1188187889479126e-229	0.4565691722156075	hypomethylated	RIMBP2	chr12	130474165.0	130474167.0	-
cg10216717	0.35076425286787977	0.8065420720995087	-0.4557778192316289	790	97	6.677225225112992e-131	6.061377502582955e-129	0.4557778192316289	hypomethylated	TMEM132C	chr12	128414744.0	128414746.0	+
cg02721693	0.3045255567206711	0.760226006601371	-0.45570044988069985	610	51	1.378236292101176e-119	8.280704778312094e-118	0.45570044988069985	hypomethylated	SHCBP1L	chr1	182953569.0	182953571.0	-
cg25025181	0.3612178279663706	0.8154493508879671	-0.4542315229215965	788	97	1.5729380635292895e-191	2.069956999015854e-188	0.4542315229215965	hypomethylated	SMYD3	chr1	246215207.0	246215209.0	+
cg20200460	0.39254373844043094	0.8465349649645618	-0.4539912265241309	773	97	1.3782247433380197e-122	9.205229731420251e-121	0.4539912265241309	hypomethylated		chr10	128367236.0	128367238.0	+
cg15065340	0.3296767671902974	0.7813671796749799	-0.4516904124846825	192	39	9.40031824003552e-65	1.01960221901721e-63	0.4516904124846825	hypomethylated	TNK2	chr3	195906043.0	195906045.0	-
cg14958969	0.4650418216235017	0.9148045803638215	-0.4497627587403198	730	94	1.9921386432393483e-219	1.4218940213713473e-215	0.4497627587403198	hypomethylated	MYT1L	chr2	1939041.0	1939043.0	+
cg17098965	0.23822854750649222	0.6868357254286944	-0.44860717792220217	716	59	2.7340023100779963e-46	1.8311940718689824e-45	0.44860717792220217	hypomethylated	ZNF217	chr20	53582980.0	53582982.0	-
cg12743248	0.4067514923227814	0.8551555432771382	-0.44840405095435676	693	95	1.4138123938853586e-205	4.377766120872345e-202	0.44840405095435676	hypomethylated	EFCAB1	chr8	48724280.0	48724282.0	+
cg04388226	0.3529728769466577	0.8011572360992432	-0.4481843591525855	302	16	5.707577876843725e-19	1.763199710989215e-18	0.4481843591525855	hypomethylated	LINC02393	chr12	127881485.0	127881487.0	-
cg15645309	0.3266715928766359	0.7726635127872615	-0.44599191991062564	511	77	1.0054445686946717e-83	1.8516061752800455e-82	0.44599191991062564	hypomethylated	BATF	chr14	75522403.0	75522405.0	+
cg12129796	0.2908859615371233	0.7367378944574401	-0.4458519329203168	421	43	7.023257948408593e-40	3.979644564824318e-39	0.4458519329203168	hypomethylated	AC083837.1	chr8	78840837.0	78840839.0	-
cg06719334	0.37725895665840314	0.8228190313909471	-0.445560074732544	791	97	1.5077972256286935e-159	4.3460268369158224e-157	0.445560074732544	hypomethylated	RBFOX1	chr16	7451306.0	7451308.0	-
cg21291134	0.381328920774822	0.8268585205078125	-0.4455295997329905	790	97	3.5768095494719523e-177	2.3101910684299568e-174	0.4455295997329905	hypomethylated	APCS	chr1	159588721.0	159588723.0	-
cg04221117	0.28795376575280934	0.7331487124728173	-0.445194946720008	787	97	2.282933746713121e-86	4.539071585521007e-85	0.445194946720008	hypomethylated	CELF2	chr10	11164257.0	11164259.0	-
cg08177126	0.3447155490998299	0.7890949249267578	-0.44437937582692794	62	1			0.44437937582692794	hypomethylated	DUSP22	chr6	317204.0	317206.0	+
cg05548130	0.4325728550591432	0.8763536276276579	-0.44378077256851467	782	97	1.2637050457955689e-199	2.7290455725905396e-196	0.44378077256851467	hypomethylated		chr10	129022501.0	129022503.0	-
cg27390627	0.3406513131076945	0.7839438054979462	-0.4432924923902517	781	97	8.467361226346233e-181	6.333435800127119e-178	0.4432924923902517	hypomethylated		chr1	242710916.0	242710918.0	+
cg23107916	0.4883786045553113	0.9305576442443219	-0.44217903968901057	789	97	5.054585223680563e-211	2.3136484803098003e-207	0.44217903968901057	hypomethylated		chr13	111901657.0	111901659.0	-
