category	gene	probe_id	locus	chrom	chromStart	chromEnd	strand	functional_region	is_promoter	cgi_relation	healthy_beta	healthy_state	tcga_normal_beta	tcga_normal_n	gse_normal_beta	gse_normal_n	tumor_direction	tumor_delta_beta	fdr
14. FGF Family	CEP20	cg09559352	chr16:15884833-15884835	chr16	15884833.0	15884835.0	-	TSS200	True	N_Shelf	0.9199159485707972	HYPER_methylated	0.930567711898961	97	0.8940854224999999	40	hypermethylated	0.0021356655751618	0.4059088444459097
14. FGF Family	CEP20	cg06490162	chr16:15888316-15888318	chr16	15888316.0	15888318.0	+	5UTR_1stExon	True	N_Shore	0.04463692473533011	HYPO_unmethylated	0.0455598732859817	97	0.0423987745	40	hypermethylated	0.0005503691308437	0.8580735138149798
14. FGF Family	CEP20	cg07239018	chr16:15888521-15888523	chr16	15888521.0	15888523.0	-	5UTR_1stExon	True	Island	0.04564661643153722	HYPO_unmethylated	0.0467671954754701	97	0.04292921225	40	hypomethylated	-0.0079664857232435	0.0110910532990858
14. FGF Family	CEP20	cg16401214	chr16:15888620-15888622	chr16	15888620.0	15888622.0	-	5UTR_1stExon	True	Island	0.012503715641683481	HYPO_unmethylated	0.0149082609058655	97	0.006523179984615385	39	hypermethylated	0.0019005021086662	0.0356693334774399
14. FGF Family	CEP20	cg06879630	chr16:15888650-15888652	chr16	15888650.0	15888652.0	-	TSS200	True	Island	0.010144042570552621	HYPO_unmethylated	0.0119377202594403	97	0.005794374175	40	hypermethylated	0.002608015800238	0.0441993828785544
14. FGF Family	CEP20	cg16569376	chr16:15888653-15888655	chr16	15888653.0	15888655.0	-	TSS200	True	Island	0.00992243148827436	HYPO_unmethylated	0.0121992580669442	97	0.004401127035	40	hypermethylated	0.0024249807008122	0.0327835453121803
14. FGF Family	CEP20	cg00269416	chr16:15888769-15888771	chr16	15888769.0	15888771.0	+	TSS200	True	Island	0.055502737802422465	HYPO_unmethylated	0.0537074226694008	97	0.059856376999999995	40	hypermethylated	0.0003799497354861	0.8901069438059599
14. FGF Family	CEP20	cg17698643	chr16:15888773-15888775	chr16	15888773.0	15888775.0	+	TSS200	True	Island	0.059934411933068005	HYPO_unmethylated	0.0563840030394878	97	0.06854415350000001	40	hypermethylated	0.0037298531832893	0.1195596362761399
14. FGF Family	CEP20	cg09516144	chr16:15888779-15888781	chr16	15888779.0	15888781.0	+	TSS200	True	Island	0.01553853442740152	HYPO_unmethylated	0.0132002105417939	97	0.02120896985	40	hypermethylated	0.0042726124167459	0.0014038034188279
14. FGF Family	CEP20	cg04297457	chr16:15889265-15889267	chr16	15889265.0	15889267.0	-	TSS1500	True	S_Shore	0.6629512474595014	intermediate	0.7005950609842936	96	0.572606095	40	hypermethylated	0.0585275261131842	2.1897810015020033e-08
14. FGF Family	CEP20	cg08745197	chr16:15889457-15889459	chr16	15889457.0	15889459.0	+	TSS1500	True	S_Shore	0.9308772308665031	HYPER_methylated	0.9481614889557828	97	0.888962905	40	hypomethylated	-0.0090017339482765	0.0001021921138425
14. FGF Family	CEP20	cg05932648	chr16:15889483-15889485	chr16	15889483.0	15889485.0	+	TSS1500	True	S_Shore	0.9253214218457744	HYPER_methylated	0.9403783267306298	97	0.8888084275000001	40	hypermethylated	0.0026594161738401	0.1836421344207245
14. FGF Family	CEP20	cg02881795	chr16:15865979-15865981	chr16	15865979.0	15865981.0	+	gene_body	False	OpenSea	0.32658032888076666	intermediate	0.3285979634707736	97	0.32168756499999995	40	hypermethylated	0.1884807303676232	1.9209405686541504e-41
14. FGF Family	CEP20	cg06490968	chr16:15880666-15880668	chr16	15880666.0	15880668.0	+	gene_body	False	OpenSea	0.7639172224999999	HYPER_methylated		0	0.7639172224999999	40	hypomethylated		
14. FGF Family	CEP43	cg12798992	chr6:166997872-166997874	chr6	166997872.0	166997874.0	-	5UTR_1stExon	True	N_Shore	0.05517600562273678	HYPO_unmethylated	0.0493683274259272	97	0.06925962525	40	hypomethylated	-0.0016490833189448	0.5632875252983681
14. FGF Family	CEP43	cg17024719	chr6:166998017-166998019	chr6	166998017.0	166998019.0	-	TSS200	True	N_Shore	0.06885520654901875	HYPO_unmethylated	0.0664817131671708	97	0.07461092799999999	40	hypomethylated	-0.0029870031250589	0.2350996408410537
14. FGF Family	CEP43	cg06147366	chr6:166998481-166998483	chr6	166998481.0	166998483.0	+	TSS1500	True	Island	0.05233342255836204	HYPO_unmethylated	0.0505903873246969	97	0.056560283	40	hypomethylated	-0.0009624249590823	0.679048466310018
