probe_id	tumor_mean_beta	normal_mean_beta	delta_beta	tumor_n	normal_n	p_value	fdr	abs_delta_beta	direction	gene	chrom	chromStart	chromEnd	strand
cg00029246	0.28679307226330536	0.7328829421210534	-0.44608986985774807	421	97	1.6307581503742147e-169	1.4383286886300573e-166	0.44608986985774807	hypomethylated	DGKI	chr7	137538670	137538672	-
cg00025347	0.47566085088820687	0.9028468967713031	-0.4271860458830963	420	97	2.872810091050838e-160	1.2669092501534194e-157	0.4271860458830963	hypomethylated	SLC20A2	chr8	42502473	42502475	-
cg00020799	0.3597574845628897	0.782565873922761	-0.4228083893598713	421	97	1.6257884240117943e-118	2.048493414254861e-116	0.4228083893598713	hypomethylated	AC123567.2,PLXNC1	chr12	94171315	94171317	+
cg00003965	0.4875176929292225	0.8680101374989933	-0.38049244456977077	420	97	5.719012664708583e-133	1.0088338340545942e-130	0.38049244456977077	hypomethylated	RETNLB	chr3	108758030	108758032	+
cg00017842	0.40397749151016926	0.7697172656501692	-0.3657397741399999	421	97	1.795146681622825e-145	3.9582984329783293e-143	0.3657397741399999	hypomethylated	LINC01956	chr2	118770844	118770846	+
cg00030466	0.6241708062323709	0.9775710744956105	-0.35340026826323967	421	97	9.672601691010112e-109	9.47914965718991e-107	0.35340026826323967	hypomethylated	PRDM16	chr1	3231326	3231328	+
cg00003529	0.47745490131332435	0.8145224974327481	-0.3370675961194237	417	97	1.0065989041410566e-110	1.1097752918155148e-108	0.3370675961194237	hypomethylated	ANKUB1	chr3	149792327	149792329	+
cg00033909	0.30992061256343484	0.6395691716393759	-0.32964855907594104	234	43	2.540434366807156e-32	1.5347007613177478e-31	0.32964855907594104	hypomethylated	AC060834.2,PER3P1	chr7	9635271	9635273	-
cg00024471	0.28416178288765587	0.5821554832851764	-0.29799370039752054	421	97	3.577169348759572e-68	7.695276501477909e-67	0.29799370039752054	hypomethylated	TPRG1	chr3	188974757	188974759	-
cg00023673	0.6215336090595309	0.9063865425660438	-0.28485293350651286	421	97	4.207020698503016e-99	2.4737281707197733e-97	0.28485293350651286	hypomethylated	LINC02188,LINC02189	chr16	86722025	86722027	-
cg00005215	0.6317446943642436	0.9019285837809244	-0.2701838894166808	345	96	1.1998477134081193e-67	2.51968019815705e-66	0.2701838894166808	hypomethylated	SERPINB12	chr18	63556143	63556145	+
cg00014260	0.4305413035485637	0.7006853241281411	-0.2701440205795774	421	97	1.3206857210987064e-105	1.058949823644599e-103	0.2701440205795774	hypomethylated	PRSS51,PRSS55	chr8	10525560	10525562	-
cg00030588	0.41436901681496807	0.6844510737153673	-0.2700820569003992	421	97	6.473791870678742e-90	2.595402013608477e-88	0.2700820569003992	hypomethylated	AC106745.1,LINC02181	chr16	87067204	87067206	-
cg00023726	0.47323321387881323	0.7288956789626289	-0.2556624650838156	420	97	5.013863214786722e-99	2.7638920971511805e-97	0.2556624650838156	hypomethylated		chr1	2923369	2923371	-
cg00028056	0.5416952504898412	0.7937757119365122	-0.25208046144667096	313	87	1.2941385487252358e-54	1.6785738234936146e-53	0.25208046144667096	hypomethylated	CHPF,TMEM198	chr2	219542448	219542450	-
cg00032490	0.6567414717240767	0.9087182122307855	-0.2519767405067088	220	74	4.14941882990297e-31	2.4077548736673814e-30	0.2519767405067088	hypomethylated		chr12	130917803	130917805	+
cg00035630	0.4839562678682631	0.7343673706054688	-0.2504111027372056	414	97	5.40960921487677e-53	6.535993599344262e-52	0.2504111027372056	hypomethylated	DEPDC7	chr11	33015117	33015119	+
cg00033703	0.6450787014431424	0.8929514280507262	-0.24787272660758386	180	71	1.4043970428603066e-35	9.175394013354003e-35	0.24787272660758386	hypomethylated		chr15	63274055	63274057	+
cg00016127	0.6560195596654171	0.9032606931076836	-0.2472411334422665	421	97	1.132620992187125e-71	2.7749214308584564e-70	0.2472411334422665	hypomethylated	OR5M11	chr11	56543194	56543196	-
cg00037681	0.6091434533516186	0.8536380885802594	-0.2444946352286408	418	97	6.064717349328217e-71	1.4076528163440756e-69	0.2444946352286408	hypomethylated	PCED1B,PCED1B-AS1	chr12	47216587	47216589	-
cg00014333	0.42102558173022225	0.6592907856420144	-0.23826520391179212	412	97	9.555659375061281e-62	1.560757697926676e-60	0.23826520391179212	hypomethylated	LZTS1	chr8	20272511	20272513	+
cg00019838	0.6761685499504431	0.9059665203094482	-0.22979797035900518	335	96	5.832090571544182e-59	8.718481159494862e-58	0.22979797035900518	hypomethylated	RBFOX1	chr16	6521081	6521083	+
cg00027995	0.6691881483354365	0.89872710237798	-0.22953895404254354	421	97	4.32778232203227e-87	1.5904600033468592e-85	0.22953895404254354	hypomethylated	FSIP1,THBS1	chr15	39595891	39595893	-
cg00019877	0.6685824360247179	0.8839519540059197	-0.21536951798120185	421	97	8.108687796545459e-79	2.466159529845895e-77	0.21536951798120185	hypomethylated	ZNF883	chr9	113011457	113011459	+
cg00025405	0.4759472192324822	0.681616085091817	-0.20566886585933486	421	97	4.7178118411598014e-70	1.0402775109757361e-68	0.20566886585933486	hypomethylated		chr5	2135748	2135750	+
cg00028598	0.7646603823277148	0.9639488298868396	-0.19928844755912478	419	97	3.9440544581112635e-49	3.998455209257626e-48	0.19928844755912478	hypomethylated	GABRA5,GABRB3	chr15	26883485	26883487	-
cg00022900	0.6641327630905878	0.8596653102599469	-0.19553254716935908	420	97	3.575913415230534e-55	4.852239434205125e-54	0.19553254716935908	hypomethylated		chr8	93131304	93131306	+
cg00009553	0.6928413527005804	0.8861443431107039	-0.19330299041012344	393	97	1.058533086277591e-49	1.0983837436433357e-48	0.19330299041012344	hypomethylated	CDH8	chr16	61820179	61820181	-
cg00028515	0.6305378893492057	0.823370235482442	-0.1928323461332363	421	97	8.569005015508017e-71	1.9379134419687362e-69	0.1928323461332363	hypomethylated		chr3	187830967	187830969	-
cg00012698	0.39348248914415085	0.5853386318560728	-0.19185614271192197	421	97	4.716412810626467e-23	2.0292078531573385e-22	0.19185614271192197	hypomethylated	AVEN	chr15	33866565	33866567	+
cg00038857	0.7121291097005208	0.9038768344455295	-0.19174772474500867	300	90	3.6811560512187347e-51	4.0584745464686546e-50	0.19174772474500867	hypomethylated	CCL8	chr17	34318733	34318735	+
cg00005166	0.5453957693917411	0.7322053417717058	-0.18680957237996476	420	97	9.084769328435051e-41	7.154255846142602e-40	0.18680957237996476	hypomethylated	AJ003147.2,OR1F2P	chr16	3214441	3214443	-
cg00022871	0.6379682309837069	0.8160854221619281	-0.17811719117822122	421	97	8.075817460005401e-60	1.2496264911797832e-58	0.17811719117822122	hypomethylated	CRHR1,LINC02210-CRHR1;MAPT-AS1	chr17	45806991	45806993	+
cg00012529	0.6850553317760911	0.8619311617821762	-0.1768758300060851	421	97	1.1785081492059253e-24	5.442116165443068e-24	0.1768758300060851	hypomethylated	GALNT9	chr12	132320310	132320312	+
cg00033834	0.5381275820335696	0.7147908948131443	-0.1766633127795747	421	97	2.9541986195166507e-46	2.6861888478491606e-45	0.1766633127795747	hypomethylated	KNDC1	chr10	133205339	133205341	-
cg00019495	0.2285587374218286	0.40364035380255314	-0.17508161638072453	421	97	7.742235999276275e-52	8.75468224533548e-51	0.17508161638072453	hypomethylated	HOPX	chr4	56681358	56681360	+
cg00018229	0.18533203777394783	0.36029367348582475	-0.17496163571187692	421	97	3.9218969051991275e-59	5.963988052389018e-58	0.17496163571187692	hypomethylated	ARV1,TTC13	chr1	230977672	230977674	+
cg00021933	0.5783772955597721	0.7479418725082555	-0.16956457694848337	421	97	5.941094605813756e-56	8.317532448139258e-55	0.16956457694848337	hypomethylated		chr1	85616632	85616634	+
cg00019366	0.7800321239190543	0.9494758684610584	-0.16944374454200406	421	97	4.100558894999999e-42	3.380086864850466e-41	0.16944374454200406	hypomethylated	AC026336.3	chr12	130138820	130138822	+
cg00015343	0.7188212560078311	0.8863990233116543	-0.16757776730382323	421	97	1.3281494300270653e-57	1.9523796621397861e-56	0.16757776730382323	hypomethylated	TSPAN18	chr11	44764715	44764717	+
cg00028507	0.3503990626391775	0.5175252304863684	-0.16712616784719092	421	97	5.2476096859159986e-45	4.62839174297791e-44	0.16712616784719092	hypomethylated		chr1	3001541	3001543	+
