panel_rank	panel_role	source_run	probe_id	gene	chrom	delta_beta	abs_delta_beta	fdr	direction	tumor_n	normal_n
1	general_tumor_marker	tumor_vs_normal	cg03161803	AL009179.2	chr6	0.6332914641175624	0.6332914641175624	4.055490783188614e-196	hypermethylated	537	47
2	general_tumor_marker	tumor_vs_normal	cg00002719	CCDC181	chr1	0.4860957547429346	0.4860957547429346	5.672999448855815e-249	hypermethylated	791	97
3	general_tumor_marker	tumor_vs_normal	cg08604097	NXPH1	chr7	0.4970736922139556	0.4970736922139556	2.5092923808600487e-231	hypermethylated	782	97
4	general_tumor_marker	tumor_vs_normal	cg02534163	ENPP2	chr8	0.5203699412587921	0.5203699412587921	1.7364113005857863e-219	hypermethylated	785	97
5	general_tumor_marker	tumor_vs_normal	cg27555582	ABCC9	chr12	0.4927232770906324	0.4927232770906324	7.674335219235818e-230	hypermethylated	788	97
6	general_tumor_marker	tumor_vs_normal	cg13879483	USP44	chr12	0.5534298073529028	0.5534298073529028	5.487418930522902e-203	hypermethylated	786	97
7	general_tumor_marker	tumor_vs_normal	cg14979301	AC008875.2,AC008875.3	chr5	0.5403949407225881	0.5403949407225881	8.513763021280643e-194	hypermethylated	716	65
8	general_tumor_marker	tumor_vs_normal	cg02027945	AC090707.2	chr11	0.5050515357022057	0.5050515357022057	3.1720094657754955e-206	hypermethylated	758	87
9	general_tumor_marker	tumor_vs_normal	cg07790615	RYR2	chr1	0.4959186449137536	0.4959186449137536	1.0274671552059151e-205	hypermethylated	791	97
10	general_tumor_marker	tumor_vs_normal	cg00106345	AC004079.1,AC004079.2;AC004079.4;AC004079.5;HOTAIRM1	chr7	0.494495165203239	0.494495165203239	6.038395537088524e-206	hypermethylated	785	97
11	general_tumor_marker	tumor_vs_normal	cg09170112		chr12	-0.4980111235984636	0.4980111235984636	3.297982456813208e-201	hypomethylated	779	95
12	general_tumor_marker	tumor_vs_normal	cg05422029	AL021808.1	chr6	0.4828664114660314	0.4828664114660314	1.2203714618995858e-203	hypermethylated	786	97
13	basal_skewed_marker	basal_vs_non_basal	cg04557423	CASC8	chr8	0.4712311410090356	0.4712311410090356	1.1222810370908581e-201	hypermethylated	137	643
14	basal_skewed_marker	basal_vs_non_basal	cg12911556	SNX10	chr7	0.4799314951580277	0.4799314951580277	5.177904336329724e-192	hypermethylated	137	643
15	basal_skewed_marker	basal_vs_non_basal	cg03441279	BCL9	chr1	0.5664191545445394	0.5664191545445394	1.2721875996818364e-160	hypermethylated	136	593
16	basal_skewed_marker	basal_vs_non_basal	cg23440816	CAPN2	chr1	0.5852297374443303	0.5852297374443303	3.119614794770308e-140	hypermethylated	137	643
17	basal_skewed_marker	basal_vs_non_basal	cg13985135	YY1AP1	chr1	0.4776277314117166	0.4776277314117166	5.534783084844835e-170	hypermethylated	137	603
18	basal_skewed_marker	basal_vs_non_basal	cg03228065	E4F1	chr16	0.5292244748684566	0.5292244748684566	3.092995208283131e-131	hypermethylated	137	643
19	basal_skewed_marker	basal_vs_non_basal	cg26607528		chr2	0.4681585969050293	0.4681585969050293	9.582577220509997e-147	hypermethylated	137	643
20	basal_skewed_marker	basal_vs_non_basal	cg20035127	AC036214.4	chr8	0.5005135935958216	0.5005135935958216	2.973598626272232e-135	hypermethylated	137	626
