category	gene	probe_id	locus	chrom	chromStart	chromEnd	strand	functional_region	is_promoter	cgi_relation	healthy_beta	healthy_state	tcga_normal_beta	tcga_normal_n	gse_normal_beta	gse_normal_n	tumor_direction	tumor_delta_beta	fdr
01. Telomere Maintenance	C9orf78	cg02802055	chr9:129834814-129834816	chr9	129834814.0	129834816.0	-	5UTR_1stExon	True	N_Shore	0.03318107032815346	HYPO_unmethylated	0.0360485745459487	97	0.0262273726	40	hypomethylated	-0.0019649658149429	0.1087292305526285
01. Telomere Maintenance	C9orf78	cg14248370	chr9:129834940-129834942	chr9	129834940.0	129834942.0	+	5UTR_1stExon	True	Island	0.025466420658841034	HYPO_unmethylated	0.0221684544356827	97	0.03346398875	40	hypermethylated	0.0005551570415192	0.3871261636006269
01. Telomere Maintenance	C9orf78	cg05952643	chr9:129835124-129835126	chr9	129835124.0	129835126.0	+	5UTR_1stExon	True	Island	0.11900010140202655	HYPO_unmethylated	0.1166430896090478	97	0.124715855	40	hypermethylated	0.000703775612791	0.8387829765121735
01. Telomere Maintenance	C9orf78	cg23300897	chr9:129835905-129835907	chr9	129835905.0	129835907.0	-	TSS200	True	Island	0.07482528205819455	HYPO_unmethylated	0.0722257476492026	97	0.081129153	40	hypomethylated	-0.004350515676979	0.0811380043801627
01. Telomere Maintenance	C9orf78	cg13529314	chr9:129835978-129835980	chr9	129835978.0	129835980.0	-	TSS200	True	Island	0.029133394164780644	HYPO_unmethylated	0.028509980624484	97	0.030645172000000005	40	hypomethylated	-0.0001547667792105	0.9054508163501688
01. Telomere Maintenance	C9orf78	cg13367936	chr9:129836030-129836032	chr9	129836030.0	129836032.0	+	TSS200	True	Island	0.05957753074093109	HYPO_unmethylated	0.0563099015619336	97	0.0675015315	40	hypomethylated	-0.0073545315716005	0.0136008651655659
01. Telomere Maintenance	C9orf78	cg17509612	chr9:129836494-129836496	chr9	129836494.0	129836496.0	-	TSS1500	True	S_Shore	0.22068476038136198	HYPO_unmethylated	0.2292064784728374	97	0.19948971794871795	39	hypermethylated	0.0173351198797225	0.0105216882960333
01. Telomere Maintenance	C9orf78	cg24475171	chr9:129836606-129836608	chr9	129836606.0	129836608.0	+	TSS1500	True	S_Shore	0.2986382966893106	HYPO_unmethylated	0.3141002458395417	97	0.26114307000000003	40	hypermethylated	0.1483368208185651	4.504164461260173e-55
01. Telomere Maintenance	C9orf78	cg14059835	chr9:129836637-129836639	chr9	129836637.0	129836639.0	+	TSS1500	True	S_Shore	0.3667846685965402	intermediate	0.3856391906738281	94	0.32134043589743594	39	hypermethylated	0.1975567224995255	1.8883115311938673e-43
01. Telomere Maintenance	CXCL12	cg08979862	chr10:44384679-44384681	chr10	44384679.0	44384681.0	-	5UTR_1stExon	True	Island	0.0682445841075947	HYPO_unmethylated	0.0547370763169121	97	0.10100029049999999	40	hypermethylated	0.0426375612530892	3.4738091492741917e-22
01. Telomere Maintenance	CXCL12	cg25721625	chr10:44384787-44384789	chr10	44384787.0	44384789.0	+	5UTR_1stExon	True	Island	0.09625872481718172	HYPO_unmethylated	0.0926607269601723	97	0.10520759128205129	39	hypermethylated	0.0356870243534338	1.9496490384742838e-11
01. Telomere Maintenance	CXCL12	cg06048524	chr10:44385093-44385095	chr10	44385093.0	44385095.0	+	TSS200	True	Island	0.017072889386078063	HYPO_unmethylated	0.0171790295040484	97	0.0168154996	40	hypermethylated	0.0550064241592337	1.0005587784204957e-19
01. Telomere Maintenance	CXCL12	cg17267805	chr10:44385096-44385098	chr10	44385096.0	44385098.0	+	5UTR_1stExon	True	Island	0.01953946499200032	HYPO_unmethylated	0.0186813737928252	97	0.021620336150000002	40	hypermethylated	0.0638343475825352	4.799760464462073e-22
01. Telomere Maintenance	CXCL12	cg23407507	chr10:44385110-44385112	chr10	44385110.0	44385112.0	+	TSS200	True	Island	0.016188150886837685	HYPO_unmethylated	0.0203761255618223	97	0.0060323123	40	hypermethylated	0.0232860843167061	1.4857847239789392e-14
01. Telomere Maintenance	CXCL12	cg26267854	chr10:44385113-44385115	chr10	44385113.0	44385115.0	+	TSS200	True	Island	0.022507175886123405	HYPO_unmethylated	0.0186635452447478	97	0.032583721081081075	37	hypermethylated	0.0536454110509938	2.6126712495050353e-22
01. Telomere Maintenance	CXCL12	cg00353773	chr10:44385259-44385261	chr10	44385259.0	44385261.0	-	TSS200	True	Island	0.061848268878040145	HYPO_unmethylated	0.0472228158380567	97	0.0973149925	40	hypermethylated	0.1708414260173379	1.1273523092297402e-74
01. Telomere Maintenance	CXCL12	cg26718433	chr10:44385281-44385283	chr10	44385281.0	44385283.0	-	TSS200	True	Island	0.09199567243242472	HYPO_unmethylated	0.0841937507550741	97	0.11091533249999999	40	hypermethylated	0.1676834661097035	1.2049857930059357e-57
01. Telomere Maintenance	CXCL12	cg10927719	chr10:44385370-44385372	chr10	44385370.0	44385372.0	-	TSS1500	True	Island	0.023568989637778568	HYPO_unmethylated	0.0186404776327388	97	0.035520631250000004	40	hypermethylated	0.0721442631769561	1.0705503480803178e-33
01. Telomere Maintenance	CXCL12	cg18618334	chr10:44385605-44385607	chr10	44385605.0	44385607.0	+	TSS1500	True	Island	0.25479673324464663	HYPO_unmethylated	0.2543755954073876	97	0.25581799250000004	40	hypermethylated	0.1700907752246248	7.025156264750385e-66
01. Telomere Maintenance	CXCL12	cg00499822	chr10:44386102-44386104	chr10	44386102.0	44386104.0	-	5UTR_1stExon	True	Island	0.4090430815258611	intermediate	0.4206202398870409	97	0.3809684725	40	hypermethylated	0.1510255040412342	5.558854190580789e-32
01. Telomere Maintenance	CXCL12	cg09348985	chr10:44386301-44386303	chr10	44386301.0	44386303.0	+	5UTR_1stExon	True	Island	0.4685100739607094	intermediate	0.4879041848723421	97	0.42147935499999994	40	hypermethylated	0.1626453167227511	9.327731594860535e-44
01. Telomere Maintenance	CXCL12	cg11267527	chr10:44386485-44386487	chr10	44386485.0	44386487.0	+	5UTR_1stExon	True	Island	0.4476280235112768	intermediate	0.4718084826911847	97	0.38899041	40	hypermethylated	0.1263301842454461	3.64240022164547e-39
01. Telomere Maintenance	CXCL12	cg00695712	chr10:44386686-44386688	chr10	44386686.0	44386688.0	+	TSS200	True	Island	0.02414185033605195	HYPO_unmethylated	0.0172096884127744	97	0.040952343	40	hypermethylated	0.0069870014485376	8.576305222771473e-06
01. Telomere Maintenance	CXCL12	cg16187804	chr10:44386891-44386893	chr10	44386891.0	44386893.0	-	TSS1500	True	Island	0.07187889039046459	HYPO_unmethylated	0.0641774344690067	97	0.090554921	40	hypermethylated	0.0248986016780035	3.0753696632122537e-11
01. Telomere Maintenance	CXCL12	cg25247887	chr10:44387150-44387152	chr10	44387150.0	44387152.0	-	TSS1500	True	S_Shore	0.685144315	intermediate		0	0.685144315	40	hypomethylated		
01. Telomere Maintenance	CXCL12	cg10725441	chr10:44370287-44370289	chr10	44370287.0	44370289.0	-	gene_body	False	OpenSea	0.833202405	HYPER_methylated		0	0.833202405	40	hypomethylated		
01. Telomere Maintenance	CXCL12	cg25154236	chr10:44375923-44375925	chr10	44375923.0	44375925.0	+	gene_body	False	OpenSea	0.8003317435789233	HYPER_methylated	0.8405296089722938	97	0.70285192	40	hypomethylated	-0.1183401891812855	5.415724050597309e-52
01. Telomere Maintenance	CXCL12	cg12750431	chr10:44377588-44377590	chr10	44377588.0	44377590.0	-	gene_body	False	OpenSea	0.9006003143782789	HYPER_methylated	0.9349798615445796	97	0.8172299124999999	40	hypomethylated	-0.0698839923669167	3.080066697213618e-42
01. Telomere Maintenance	CXCL12	cg12793525	chr10:44380540-44380542	chr10	44380540.0	44380542.0	-	gene_body	False	N_Shelf	0.7126487557937956	HYPER_methylated	0.7485653592139175	97	0.6255509925	40	hypermethylated	0.0062851995625521	0.4825597825354485
01. Telomere Maintenance	CXCL12	cg06671614	chr10:44380713-44380715	chr10	44380713.0	44380715.0	+	gene_body	False	N_Shelf	0.9121198799277201	HYPER_methylated	0.9334053747432748	97	0.8605025550000001	40	hypomethylated	-0.0186585812271521	2.342806251142453e-06
01. Telomere Maintenance	CXCL12	cg18489289	chr10:44380843-44380845	chr10	44380843.0	44380845.0	+	gene_body	False	N_Shelf	0.8905364612140558	HYPER_methylated	0.9074922726478104	81	0.8543938105263158	38	hypermethylated	0.0146991804331133	6.275425183052133e-06
01. Telomere Maintenance	CXCL12	cg19959917	chr10:44382924-44382926	chr10	44382924.0	44382926.0	+	gene_body	False	N_Shore	0.6124806323249316	intermediate	0.6465086002939755	97	0.52996281	40	hypermethylated	0.0963498234526664	2.0259763314426818e-13
01. Telomere Maintenance	CXCL12	cg07001963	chr10:44384016-44384018	chr10	44384016.0	44384018.0	+	gene_body	False	N_Shore	0.13229077792635507	HYPO_unmethylated	0.1379623118135118	97	0.11853730825	40	hypermethylated	0.0068547945274776	0.3878504268284689
01. Telomere Maintenance	ICAM1	cg10375456	chr19:10269899-10269901	chr19	10269899.0	10269901.0	+	TSS1500	True	Island	0.06864471362092618	HYPO_unmethylated	0.0593748289285246	97	0.091124184	40	hypermethylated	0.0181366124626015	9.591503586136508e-11
01. Telomere Maintenance	ICAM1	cg02497902	chr19:10270133-10270135	chr19	10270133.0	10270135.0	+	TSS1500	True	Island	0.06992646621892995	HYPO_unmethylated	0.0710782758968392	97	0.06713332775	40	hypermethylated	0.0617079118550175	2.6031277577249877e-21
01. Telomere Maintenance	ICAM1	cg13720472	chr19:10270386-10270388	chr19	10270386.0	10270388.0	+	TSS1500	True	Island	0.10509259880515437	HYPO_unmethylated	0.1053856033639809	97	0.10438206275000002	40	hypermethylated	0.0074887134435115	0.0290120707335817
01. Telomere Maintenance	ICAM1	cg26549174	chr19:10270678-10270680	chr19	10270678.0	10270680.0	+	TSS1500	True	Island	0.26028507877526935	HYPO_unmethylated	0.2607542411568238	97	0.25914735999999994	40	hypermethylated	0.0656392532681168	3.910091772717191e-11
