gene	direction	n_significant_probes	n_hyper_probes	n_hypo_probes	probe_ids
A1BG	hypermethylated	2	2	0	cg03630821,cg25623524
A1BG-AS1	hypermethylated	2	2	0	cg03630821,cg25623524
A2M	hypermethylated	1	1	0	cg08300930
AATF	hypermethylated	1	1	0	cg11262262
ABCB5	hypermethylated	1	1	0	cg15087860
ABCC9	hypermethylated	9	9	0	cg00181125,cg06951626,cg07780543,cg08530237,cg14556896,cg18556676,cg21485303,cg26334627,cg27555582
ABL1	hypermethylated	3	3	0	cg08951958,cg10228162,cg13670057
AC000035.1	hypermethylated	1	1	0	cg20256245
AC000403.1	hypermethylated	2	2	0	cg00931644,cg25968569
AC002116.2	hypermethylated	1	1	0	cg22719241
AC002407.1	hypermethylated	1	1	0	cg20086286
AC002456.1	hypermethylated	1	1	0	cg17206555
AC002472.1	hypermethylated	7	7	0	cg02114946,cg04054731,cg05684406,cg13286281,cg23644624,cg24333469,cg27645955
AC003006.1	hypermethylated	18	18	0	cg01268824,cg03142586,cg03215105,cg03234186,cg08048222,cg08668790,cg11294513,cg11977686,cg12074025,cg12506930,cg19246110,cg21305471,cg21790626,cg24016939,cg26465391,cg26705688,cg27049766,cg27324426
AC003973.1	hypermethylated	1	1	0	cg22620746
AC003986.1	hypermethylated	14	14	0	cg00376022,cg02179455,cg02503874,cg05328547,cg07270153,cg08638184,cg08814405,cg10043037,cg10477621,cg11241627,cg23054426,cg23536473,cg24624901,cg25691167
AC003986.2	hypermethylated	4	4	0	cg11973479,cg24496841,cg25228422,cg27621129
AC004079.1	hypermethylated	6	6	0	cg00106345,cg08657654,cg17485838,cg17881200,cg18751141,cg26264232
AC004079.2	hypermethylated	7	7	0	cg00106345,cg07278425,cg08657654,cg17485838,cg17881200,cg18751141,cg26264232
AC004079.4	hypermethylated	4	4	0	cg00106345,cg07278425,cg17485838,cg18751141
AC004079.5	hypermethylated	6	6	0	cg00106345,cg08657654,cg17485838,cg17881200,cg18751141,cg26264232
AC004080.1	hypermethylated	3	3	0	cg06544111,cg08637618,cg15564098
AC004080.10	hypermethylated	3	3	0	cg04521510,cg10979436,cg20672981
AC004080.12	hypermethylated	1	1	0	cg10767141
AC004080.14	hypermethylated	1	1	0	cg10767141
AC004080.2	hypermethylated	1	1	0	cg11706983
AC004080.4	hypermethylated	2	2	0	cg08934785,cg26511321
AC004080.5	hypermethylated	1	1	0	cg19816811
AC004080.6	hypermethylated	23	23	0	cg00562553,cg04321618,cg05287480,cg06888121,cg06942814,cg07317062,cg08657492,cg09343092,cg11015251,cg11532431,cg14042889,cg14359292,cg14974749,cg16651126,cg19142026,cg19701577,cg19816811,cg21097354,cg22997113,cg24040595,cg25952581,cg26402660,cg27313941
AC004080.7	hypermethylated	1	1	0	cg10767141
AC004080.8	hypermethylated	1	1	0	cg10767141
AC004147.2	hypermethylated	1	1	0	cg24613080
AC004147.4	hypermethylated	1	1	0	cg24613080
AC004241.1	hypermethylated	1	1	0	cg06222162
AC004408.2	hypermethylated	2	2	0	cg15790037,cg20555674
AC004522.5	hypermethylated	3	3	0	cg07693238,cg14163444,cg22531904
AC004596.1	hypermethylated	2	2	0	cg08499158,cg10308265
AC004774.2	hypermethylated	2	2	0	cg25430192,cg25707676
AC004803.1	hypermethylated	1	1	0	cg13333954
AC004828.2	hypermethylated	1	1	0	cg05111779
AC004837.1	hypermethylated	5	5	0	cg05858889,cg06890747,cg12457909,cg21101743,cg27071152
AC004837.3	hypermethylated	5	5	0	cg05858889,cg06890747,cg12457909,cg21101743,cg27071152
AC005041.4	hypermethylated	2	2	0	cg03292743,cg13888593
AC005042.1	hypermethylated	1	1	0	cg16705395
AC005162.2	hypermethylated	1	1	0	cg11728747
AC005224.1	hypermethylated	1	1	0	cg23280506
AC005258.1	hypermethylated	1	1	0	cg07498239
AC005520.2	hypermethylated	1	1	0	cg13158272
AC005586.1	hypermethylated	3	3	0	cg17279839,cg27455017,cg27494647
AC005597.1	hypermethylated	8	8	0	cg00003305,cg03706436,cg04388989,cg05026135,cg05525743,cg17802600,cg24059119,cg24708471
AC005606.2	hypermethylated	2	2	0	cg04514123,cg05915293
AC005609.1	hypermethylated	5	5	0	cg00275741,cg02051771,cg11268983,cg19876814,cg26556719
AC005609.5	hypermethylated	23	23	0	cg00707406,cg00748875,cg01089834,cg02004851,cg02047300,cg03758467,cg03897860,cg06282446,cg07459170,cg08288811,cg09820378,cg11095383,cg11429969,cg11560197,cg12150457,cg16607685,cg16987900,cg17777676,cg19777540,cg21619814,cg22459739,cg26282566,cg27604145
AC005618.2	hypermethylated	1	1	0	cg00808170
AC005622.1	hypermethylated	2	2	0	cg08669447,cg09489306
AC005726.1	hypermethylated	1	1	0	cg13568106
AC005746.2	hypermethylated	1	1	0	cg04245057
AC005775.1	hypermethylated	1	1	0	cg13777292
AC005786.1	hypermethylated	1	1	0	cg07937803
AC005786.4	hypermethylated	1	1	0	cg07937803
AC005837.4	hypermethylated	2	2	0	cg12472603,cg14042121
AC006033.1	hypermethylated	2	2	0	cg06132400,cg15181598
AC006058.2	hypermethylated	1	1	0	cg14858267
AC006063.4	hypermethylated	1	1	0	cg04891086
AC006116.8	hypermethylated	1	1	0	cg18471660
AC006207.1	hypermethylated	1	1	0	cg17904739
AC006230.1	hypermethylated	4	4	0	cg01089498,cg14820199,cg24029517,cg24431872
AC006348.1	hypermethylated	1	1	0	cg08202754
AC006450.2	hypermethylated	2	2	0	cg14071579,cg14425564
AC006487.1	hypermethylated	1	1	0	cg18052139
AC006487.2	hypermethylated	1	1	0	cg18052139
AC006511.4	hypermethylated	1	1	0	cg17509039
AC007040.2	hypermethylated	4	4	0	cg04751811,cg06288697,cg15165122,cg22697962
AC007099.1	hypermethylated	1	1	0	cg24405470
AC007216.1	hypermethylated	1	1	0	cg08957564
AC007222.2	hypermethylated	3	3	0	cg00590139,cg07027430,cg27282264
AC007223.1	hypermethylated	2	2	0	cg04671611,cg07849944
AC007326.1	hypermethylated	1	1	0	cg06148736
AC007405.1	hypermethylated	4	4	0	cg00858840,cg00860808,cg07813142,cg21829923
AC007405.2	hypermethylated	1	1	0	cg03443455
AC007541.1	hypermethylated	3	3	0	cg08817693,cg10082647,cg14573817
AC007601.1	hypermethylated	1	1	0	cg04635642
AC007603.3	hypermethylated	1	1	0	cg09621708
AC007780.1	hypermethylated	1	1	0	cg07425204
AC007938.5	hypermethylated	3	3	0	cg01793704,cg08077673,cg09059945
AC008011.2	hypermethylated	1	1	0	cg23926670
AC008060.3	hypermethylated	8	8	0	cg00732845,cg01597641,cg04149039,cg06597462,cg07081770,cg11469391,cg16987754,cg20183619
AC008063.1	hypermethylated	1	1	0	cg22143064
AC008127.1	hypermethylated	1	1	0	cg12096363
AC008397.2	hypermethylated	1	1	0	cg15215348
AC008481.3	hypermethylated	1	1	0	cg17478228
AC008525.1	hypermethylated	8	8	0	cg01764252,cg04970570,cg08850461,cg13902110,cg14659193,cg15422005,cg23337620,cg25443851
AC008543.1	hypermethylated	12	12	0	cg00777011,cg00965023,cg02274869,cg04598224,cg05950877,cg10123421,cg10608596,cg15209566,cg21771200,cg24159514,cg25394203,cg26590664
AC008555.2	hypermethylated	2	2	0	cg15695738,cg26346108
AC008567.2	hypermethylated	9	9	0	cg04062391,cg05221167,cg10638780,cg15222651,cg16646743,cg18452695,cg18568589,cg19254119,cg19544372
AC008581.2	hypermethylated	2	2	0	cg03163459,cg08410996
AC008649.1	hypermethylated	2	2	0	cg05258935,cg07501988
AC008695.1	hypermethylated	1	1	0	cg17817047
AC008758.1	hypermethylated	6	6	0	cg08204783,cg08411068,cg19926444,cg21298174,cg22637867,cg23989004
AC008763.3	hypermethylated	1	1	0	cg24699296
AC008763.4	hypermethylated	2	2	0	cg05842480,cg09772661
AC008808.1	hypermethylated	5	5	0	cg03847373,cg04087742,cg12440258,cg15473084,cg18063733
AC008875.2	hypermethylated	6	6	0	cg04223424,cg14979301,cg18161950,cg18323912,cg23052568,cg24676817
AC008892.1	hypermethylated	3	3	0	cg05511755,cg16375820,cg24729879
AC008945.2	hypermethylated	2	2	0	cg08626131,cg25310824
AC008966.3	hypermethylated	1	1	0	cg08446038
AC008969.1	hypermethylated	1	1	0	cg09577391
AC009061.2	hypermethylated	1	1	0	cg08830672
AC009084.1	hypermethylated	1	1	0	cg07284994
AC009226.1	hypermethylated	1	1	0	cg22543026
AC009487.2	hypermethylated	8	8	0	cg01419831,cg01983682,cg03457195,cg09019936,cg10945079,cg16653620,cg23161999,cg27404023
AC009531.1	hypermethylated	1	1	0	cg08732352
AC009630.1	hypermethylated	1	1	0	cg18918321
AC009630.4	hypermethylated	1	1	0	cg18918321
AC009686.1	hypermethylated	1	1	0	cg13009608
AC009779.3	hypermethylated	1	1	0	cg21156320
AC009779.4	hypermethylated	1	1	0	cg20737382
AC009951.6	hypermethylated	1	1	0	cg16405026
AC009961.3	hypermethylated	2	2	0	cg03432176,cg09643312
AC010210.1	hypermethylated	4	4	0	cg14654533,cg14709292,cg18413131,cg19962116
AC010226.1	hypermethylated	1	1	0	cg15395441
AC010280.1	hypermethylated	1	1	0	cg09862193
AC010326.2	hypermethylated	1	1	0	cg22510337
AC010327.2	hypermethylated	2	2	0	cg18417954,cg18838701
AC010327.4	hypermethylated	1	1	0	cg18417954
AC010332.3	hypermethylated	8	8	0	cg11909748,cg12665460,cg13461241,cg14582763,cg21553182,cg21657577,cg25763393,cg26928418
AC010401.1	hypermethylated	1	1	0	cg08296903
AC010420.1	hypermethylated	1	1	0	cg22961212
AC010422.3	hypermethylated	6	6	0	cg00422699,cg12063490,cg17737967,cg18339718,cg18530645,cg21535253
AC010422.6	hypermethylated	1	1	0	cg24932585
AC010457.1	hypermethylated	2	2	0	cg08615354,cg25224048
AC010478.1	hypermethylated	9	9	0	cg04022561,cg04068980,cg05501996,cg10536898,cg14879760,cg21410991,cg22115076,cg25339054,cg26277754
AC010542.4	hypermethylated	1	1	0	cg03448915
AC010615.4	hypermethylated	6	6	0	cg01527159,cg07800665,cg08173515,cg18399075,cg19211077,cg21651328
AC010624.1	hypermethylated	2	2	0	cg22531183,cg26257814
AC010624.3	hypermethylated	4	4	0	cg13425960,cg22531183,cg25533993,cg26257814
AC010655.2	hypermethylated	1	1	0	cg23516002
AC010655.4	hypermethylated	1	1	0	cg23516002
AC010729.1	hypermethylated	1	1	0	cg10858103
AC010894.2	hypermethylated	1	1	0	cg13651986
AC010907.1	hypermethylated	2	2	0	cg11857704,cg23578346
AC010931.2	hypermethylated	1	1	0	cg15480336
AC010997.3	hypermethylated	3	3	0	cg13997975,cg14533595,cg19950139
AC011239.2	hypermethylated	5	5	0	cg02338778,cg14067761,cg14377922,cg17419888,cg26109017
AC011396.2	hypermethylated	14	14	0	cg01142710,cg01598250,cg03319497,cg04701505,cg11012061,cg15161394,cg16289929,cg18032969,cg18274480,cg19819837,cg20755170,cg22203547,cg23174616,cg26836696
AC011447.3	hypermethylated	5	5	0	cg02427230,cg03570035,cg08471835,cg15748470,cg24749688
AC011448.1	hypermethylated	3	3	0	cg10172584,cg12861170,cg15839431
AC011450.1	hypermethylated	3	3	0	cg02189760,cg20644754,cg26289436
AC011481.3	hypermethylated	1	1	0	cg13496662
AC011484.1	hypermethylated	1	1	0	cg18709349
AC011495.3	hypermethylated	1	1	0	cg21723184
AC011530.1	hypermethylated	3	3	0	cg01098959,cg08332594,cg21548220
AC011603.2	hypermethylated	1	1	0	cg10481202
AC011603.3	hypermethylated	2	2	0	cg20260607,cg25950278
AC011676.1	hypermethylated	1	1	0	cg26101485
AC011676.2	hypermethylated	1	1	0	cg26101485
AC011700.1	hypermethylated	1	1	0	cg01019971
AC011815.2	hypermethylated	2	2	0	cg00487232,cg16657538
AC012101.2	hypermethylated	2	2	0	cg12975230,cg16171281
AC012313.10	hypermethylated	2	2	0	cg03630821,cg25623524
AC012313.3	hypermethylated	2	2	0	cg03630821,cg25623524
AC012313.8	hypermethylated	8	8	0	cg03735888,cg07878486,cg11618529,cg12042659,cg13877915,cg16929496,cg19776201,cg24366702
AC012354.1	hypermethylated	2	2	0	cg18855104,cg22103909
AC012354.5	hypermethylated	1	1	0	cg22663372
AC012354.7	hypermethylated	5	5	0	cg02155398,cg03714619,cg22663372,cg23325963,cg24981593
AC012354.9	hypermethylated	7	7	0	cg02442509,cg10963518,cg14168530,cg17470067,cg17980283,cg18969232,cg19025113
AC012442.2	hypermethylated	1	1	0	cg19864468
AC012470.1	hypermethylated	1	1	0	cg23524195
AC012485.1	hypermethylated	2	2	0	cg06732439,cg21272465
