gene	direction	n_significant_probes	n_hyper_probes	n_hypo_probes	probe_ids
ABCC9	hypermethylated	3	3	0	cg06951626,cg07780543,cg14556896
AC003006.1	hypermethylated	8	8	0	cg01268824,cg08048222,cg08668790,cg11294513,cg12074025,cg12506930,cg21790626,cg27049766
AC003986.1	hypermethylated	3	3	0	cg23536473,cg24624901,cg25691167
AC004079.1	hypermethylated	2	2	0	cg00106345,cg17485838
AC004079.2	hypermethylated	2	2	0	cg00106345,cg17485838
AC004079.4	hypermethylated	2	2	0	cg00106345,cg17485838
AC004079.5	hypermethylated	2	2	0	cg00106345,cg17485838
AC004080.1	hypermethylated	1	1	0	cg15564098
AC004837.1	hypermethylated	1	1	0	cg27071152
AC004837.3	hypermethylated	1	1	0	cg27071152
AC005586.1	hypermethylated	1	1	0	cg27494647
AC005609.1	hypermethylated	1	1	0	cg02051771
AC005609.5	hypermethylated	4	4	0	cg02004851,cg06282446,cg11095383,cg16987900
AC006115.2	hypermethylated	1	1	0	cg06585566
AC007040.2	hypermethylated	1	1	0	cg04751811
AC008014.1	hypermethylated	1	1	0	cg11146691
AC008060.2	hypermethylated	1	1	0	cg01198033
AC008060.3	hypermethylated	1	1	0	cg20183619
AC008397.2	hypermethylated	1	1	0	cg15215348
AC008525.1	hypermethylated	3	3	0	cg01764252,cg04970570,cg08850461
AC008567.2	hypermethylated	1	1	0	cg19254119
AC008758.1	hypermethylated	2	2	0	cg08411068,cg22637867
AC008875.2	hypermethylated	2	2	0	cg14979301,cg24676817
AC008875.3	hypermethylated	1	1	0	cg14979301
AC008945.2	hypermethylated	1	1	0	cg08626131
AC009403.2	hypermethylated	1	1	0	cg01198033
AC009487.2	hypermethylated	2	2	0	cg01419831,cg23161999
AC010327.2	hypermethylated	1	1	0	cg18417954
AC010327.4	hypermethylated	1	1	0	cg18417954
AC010332.3	hypermethylated	1	1	0	cg26928418
AC010422.6	hypermethylated	1	1	0	cg24932585
AC010907.1	hypermethylated	1	1	0	cg11857704
AC011239.2	hypermethylated	2	2	0	cg02338778,cg14067761
AC012349.1	hypermethylated	2	2	0	cg04127342,cg04612444
AC012354.7	hypermethylated	1	1	0	cg03714619
AC012574.1	hypermethylated	2	2	0	cg09618933,cg14428146
AC012574.2	hypermethylated	1	1	0	cg09618933
AC022154.1	hypermethylated	1	1	0	cg11376305
AC025048.1	hypermethylated	2	2	0	cg20370678,cg21158087
AC068787.4	hypermethylated	2	2	0	cg00812438,cg04569082
AC069368.1	hypermethylated	1	1	0	cg03051384
AC072026.2	hypermethylated	1	1	0	cg18423935
AC074099.1	hypermethylated	2	2	0	cg02683759,cg20998319
AC087564.1	hypermethylated	1	1	0	cg01851378
AC090340.1	hypermethylated	1	1	0	cg15222899
AC090386.1	hypermethylated	1	1	0	cg05649108
AC091179.3	hypermethylated	3	3	0	cg12374721,cg20945566,cg27170782
AC091179.4	hypermethylated	3	3	0	cg12374721,cg20945566,cg27170782
AC092335.1	hypermethylated	2	2	0	cg16150752,cg17712694
AC092574.2	hypermethylated	2	2	0	cg06594404,cg08668316
AC092675.1	hypermethylated	1	1	0	cg21488538
AC092675.2	hypermethylated	1	1	0	cg21488538
AC092805.1	hypermethylated	3	3	0	cg12656020,cg24884703,cg26568372
AC092809.3	hypermethylated	1	1	0	cg17239057
AC092957.1	hypermethylated	2	2	0	cg02253760,cg25637894
AC099522.1	hypermethylated	1	1	0	cg09142313
AC099786.1	hypermethylated	1	1	0	cg26688527
AC103702.2	hypermethylated	1	1	0	cg22471726
AC116317.2	hypermethylated	1	1	0	cg06424065
AC122707.1	hypermethylated	1	1	0	cg27615388
AC123768.4	hypermethylated	1	1	0	cg12134633
AC138647.1	hypermethylated	1	1	0	cg18343437
AC243773.1	hypermethylated	2	2	0	cg19760241,cg20950167
AC244517.10	hypermethylated	4	4	0	cg11286063,cg17514558,cg18661205,cg22732749
AC244517.11	hypermethylated	6	6	0	cg09178190,cg11286063,cg17514558,cg18661205,cg22732749,cg25026992
AC244517.2	hypermethylated	3	3	0	cg07129523,cg09178190,cg25026992
AC245100.1	hypermethylated	1	1	0	cg25200152
AC245100.5	hypermethylated	1	1	0	cg25200152
ADGRL4	hypermethylated	3	3	0	cg04360793,cg15084543,cg26422458
AF106564.1	hypermethylated	1	1	0	cg23290344
AF186192.1	hypermethylated	1	1	0	cg20661138
AF186192.2	hypermethylated	1	1	0	cg20661138
AFF1	hypermethylated	2	2	0	cg13943333,cg19320820
AGGF1P3	hypermethylated	1	1	0	cg04572206
AKAP13	hypermethylated	1	1	0	cg25947619
AL009179.2	hypermethylated	7	7	0	cg01461847,cg02925601,cg03161803,cg10903903,cg13163930,cg14558529,cg27641532
AL021808.1	hypermethylated	3	3	0	cg01518607,cg05422029,cg09513990
AL035078.4	hypermethylated	7	7	0	cg03405909,cg03692563,cg07329360,cg08364561,cg12500879,cg13502741,cg20512711
AL035448.1	hypermethylated	1	1	0	cg20981848
AL049651.2	hypermethylated	1	1	0	cg07676859
AL049692.2	hypermethylated	2	2	0	cg06845853,cg25247290
AL049692.4	hypermethylated	2	2	0	cg06845853,cg25247290
AL049777.1	hypermethylated	1	1	0	cg21195256
AL049840.5	hypermethylated	1	1	0	cg18984103
AL079303.1	hypermethylated	1	1	0	cg13023870
AL096814.2	hypermethylated	1	1	0	cg19653212
AL121758.1	hypermethylated	1	1	0	cg01235820
AL132857.1	hypermethylated	4	4	0	cg04224064,cg13023870,cg13980454,cg23906738
AL138688.1	hypermethylated	1	1	0	cg10939579
AL138954.1	hypermethylated	1	1	0	cg21893663
AL161781.2	hypermethylated	1	1	0	cg13482308
AL353604.1	hypermethylated	1	1	0	cg01765111
AL355481.1	hypermethylated	3	3	0	cg16727923,cg18789918,cg21448057
AL355835.1	hypermethylated	1	1	0	cg05057720
AL358613.3	hypermethylated	1	1	0	cg17538572
AL390294.1	hypermethylated	1	1	0	cg00407546
AL445209.1	hypermethylated	3	3	0	cg13438893,cg24221648,cg26132774
AL445288.1	hypermethylated	2	2	0	cg04413320,cg26444528
AL513542.1	hypermethylated	1	1	0	cg19103219
AL662884.4	hypermethylated	4	4	0	cg12387154,cg12602633,cg13035743,cg17218813
ALOX5	hypermethylated	1	1	0	cg07355189
ALX1	hypermethylated	1	1	0	cg13916459
ANO7L1	hypermethylated	1	1	0	cg16680438
ANTXR2	hypermethylated	1	1	0	cg15555527
AP001636.3	hypermethylated	2	2	0	cg03131724,cg12635602
ATP6V1B1	hypermethylated	1	1	0	cg04751811
ATXN8OS	hypermethylated	1	1	0	cg20523861
BANK1	hypermethylated	1	1	0	cg27064287
BTBD3	hypermethylated	1	1	0	cg20981848
BX248415.1	hypermethylated	1	1	0	cg00564737
C10orf53	hypermethylated	1	1	0	cg09233392
C14orf39	hypermethylated	4	4	0	cg13019491,cg13539545,cg21026830,cg23989821
C1QTNF4	hypermethylated	1	1	0	cg18356785
C1orf94	hypermethylated	1	1	0	cg16348470
CACNA2D2	hypermethylated	1	1	0	cg09451427
CACNG7	hypermethylated	1	1	0	cg08393317
CACNG8	hypermethylated	1	1	0	cg17780246
CALCB	hypermethylated	1	1	0	cg24304093
CALN1	hypermethylated	1	1	0	cg17239236
CAPZB	hypermethylated	1	1	0	cg11962640
CBLN4	hypermethylated	1	1	0	cg27563985
CCDC181	hypermethylated	2	2	0	cg16136262,cg25464921
CCDC184	hypermethylated	1	1	0	cg15959252
CDH9	hypermethylated	2	2	0	cg11155432,cg12864235
CDK15	hypermethylated	1	1	0	cg17851604
CDX2	hypermethylated	1	1	0	cg07984133
CELF4	hypermethylated	1	1	0	cg05649108
CERKL	hypermethylated	1	1	0	cg22976218
CFTR	hypermethylated	3	3	0	cg00735923,cg09626894,cg21461649
CIDEA	hypermethylated	2	2	0	cg07204280,cg16727201
CLEC14A	hypermethylated	1	1	0	cg05057720
CLIC6	hypermethylated	1	1	0	cg17935217
CMSS1	hypermethylated	1	1	0	cg15963552
CNGA3	hypermethylated	1	1	0	cg21488538
CNMD	hypermethylated	1	1	0	cg08567279
CNPY1	hypermethylated	1	1	0	cg01198033
CNRIP1	hypermethylated	1	1	0	cg22400703
COL11A1	hypermethylated	1	1	0	cg03520644
COX4I2	hypermethylated	1	1	0	cg12033622
COX7A1	hypermethylated	2	2	0	cg09307985,cg24335895
CPAMD8	hypermethylated	1	1	0	cg09874289
CPT2	hypermethylated	1	1	0	cg13863396
CRYGD	hypermethylated	1	1	0	cg22399133
CSGALNACT1	hypermethylated	2	2	0	cg06386478,cg15232539
CUX1	hypermethylated	2	2	0	cg06173663,cg06471596
CYP26A1	hypermethylated	1	1	0	cg17538572
CYP2C23P	hypermethylated	1	1	0	cg03679755
DAW1	hypermethylated	1	1	0	cg00063174
DCAF12L1	hypermethylated	1	1	0	cg02261899
DCDC2C	hypermethylated	1	1	0	cg11857704
DEGS1	hypermethylated	1	1	0	cg17239057
DLEU1	hypermethylated	2	2	0	cg17241776,cg20170533
DLEU7	hypermethylated	2	2	0	cg17241776,cg20170533
DLGAP1	hypermethylated	1	1	0	cg15673034
DLK1	hypermethylated	1	1	0	cg10528576
DNAAF3	hypermethylated	1	1	0	cg18417954
DNALI1	hypermethylated	1	1	0	cg14830003
DPP6	hypermethylated	3	3	0	cg03532926,cg14523847,cg27032232
DPYS	hypermethylated	2	2	0	cg16419441,cg16783744
DRGX	hypermethylated	1	1	0	cg04425920
DST	hypermethylated	2	2	0	cg01358444,cg06311422
DZIP1	hypermethylated	2	2	0	cg11337289,cg22991101
EIF3I	hypermethylated	1	1	0	cg02830936
EOMES	hypermethylated	3	3	0	cg15540820,cg16971668,cg22383888
EPHA10	hypermethylated	1	1	0	cg21306240
ERAP1	hypermethylated	1	1	0	cg08618451
EVX1	hypermethylated	1	1	0	cg15564098
EVX1-AS	hypermethylated	1	1	0	cg15564098
EVX2	hypermethylated	1	1	0	cg14118515
EXOC1L	hypermethylated	1	1	0	cg16606320
FAM198B-AS1	hypermethylated	1	1	0	cg24170465
FERD3L	hypermethylated	2	2	0	cg23536473,cg25691167
FEZF2	hypermethylated	2	2	0	cg12378187,cg20072171
FGF5	hypermethylated	1	1	0	cg14349667
FILIP1L	hypermethylated	1	1	0	cg15963552
FMN2	hypermethylated	2	2	0	cg06400704,cg15031661
FNDC3B	hypermethylated	1	1	0	cg00589541
FOXA1	hypermethylated	1	1	0	cg00955911
FOXA2	hypermethylated	1	1	0	cg16963144
FOXE3	hypermethylated	1	1	0	cg22796507
FSD1	hypermethylated	1	1	0	cg26354493
GABRA1	hypermethylated	1	1	0	cg26597242
GAL3ST3	hypermethylated	2	2	0	cg14780632,cg24960947
GALNTL6	hypermethylated	1	1	0	cg09772954
GALR1	hypermethylated	1	1	0	cg03502002
GASK1B	hypermethylated	1	1	0	cg24170465
GATA3	hypermethylated	1	1	0	cg00407546
GATA3-AS1	hypermethylated	1	1	0	cg00407546
GFI1	hypermethylated	1	1	0	cg09935388
GHSR	hypermethylated	3	3	0	cg04851268,cg10109500,cg14768785
GJA3	hypermethylated	1	1	0	cg00963378
GJB2	hypermethylated	1	1	0	cg10939579
GLYATL1	hypermethylated	2	2	0	cg03131724,cg12635602
GPR37L1	hypermethylated	1	1	0	cg17219660
GRM1	hypermethylated	1	1	0	cg08958294
GUCA1A	hypermethylated	1	1	0	cg19653212
