probe_id	group_a_mean_beta	group_b_mean_beta	delta_beta	group_a_n	group_b_n	p_value	abs_delta_beta	direction	fdr	significant
cg14979301	0.6701882352941172	0.09115128205128208	0.5790369532428351	85	39	1.1482907396749108e-50	0.5790369532428351	hypermethylated	3.15435466188698e-47	True
cg14416371	0.48405517241379303	0.024702564102564103	0.4593526083112289	87	39	2.026733794650278e-48	0.4593526083112289	hypermethylated	2.783718866952157e-45	True
cg23107916	0.4985872093023256	0.957574358974359	-0.45898714967203347	86	39	1.01773401622653e-47	0.45898714967203347	hypomethylated	9.319051141914259e-45	True
cg03161803	0.7885	0.12351025641025642	0.6649897435897436	85	39	9.321614385146465e-46	0.6649897435897436	hypermethylated	6.401618678999335e-43	True
cg20197130	0.28456781609195403	0.845669230769231	-0.5611014146772769	87	39	5.255906893871511e-45	0.5611014146772769	hypomethylated	2.8875952474930086e-42	True
cg06958563	0.7551735632183909	0.1669128205128205	0.5882607427055704	87	39	1.7146665544788546e-44	0.5882607427055704	hypermethylated	7.850315041922356e-42	True
cg10940462	0.5426872093023255	0.05956153846153846	0.48312567084078706	86	39	8.442679271323929e-44	0.48312567084078706	hypermethylated	3.313148565475262e-41	True
cg14958969	0.4787977011494252	0.9366025641025642	-0.45780486295313894	87	39	1.093180073965896e-43	0.45780486295313894	hypomethylated	3.7537070789803957e-41	True
cg18661205	0.7524390804597697	0.19365641025641026	0.5587826702033595	87	39	6.517955590112179e-43	0.5587826702033595	hypermethylated	1.946278087061601e-40	True
cg24886257	0.545409195402299	0.06545641025641025	0.4799527851458888	87	39	7.445774266570897e-43	0.4799527851458888	hypermethylated	1.946278087061601e-40	True
cg11286063	0.6338471264367819	0.18332307692307692	0.45052404951370495	87	39	7.793614473126179e-43	0.45052404951370495	hypermethylated	1.946278087061601e-40	True
cg10649130	0.4593137931034484	0.8981666666666671	-0.4388528735632187	87	39	1.548845105623954e-42	0.4388528735632187	hypomethylated	3.5455645876241682e-40	True
cg11785980	0.541794252873563	0.9601205128205128	-0.41832625994694983	87	39	7.003651161027829e-42	0.41832625994694983	hypomethylated	1.4799253645648806e-39	True
cg27555582	0.5625126436781609	0.0647128205128205	0.4977998231653404	87	39	3.018179089084007e-41	0.4977998231653404	hypermethylated	5.922098541224119e-39	True
