probe_id	tumor_mean_beta	normal_mean_beta	delta_beta	tumor_n	normal_n	p_value	fdr	abs_delta_beta	direction	gene	chrom	chromStart	chromEnd	strand
cg00002719	0.534981625663413	0.03390066648266979	0.5010809591807432	421	97	4.83391042221768e-152	1.421169664131998e-149	0.5010809591807432	hypermethylated	CCDC181	chr1	169427467	169427469	-
cg00004421	0.7883068772613026	0.3316279649734497	0.45667891228785285	61	6	1.989081109818719e-05	3.724776090998111e-05	0.45667891228785285	hypermethylated	AC016876.2,EIF4A1;SENP3;SENP3-EIF4A1	chr17	7571760	7571762	+
cg00029246	0.28679307226330536	0.7328829421210534	-0.44608986985774807	421	97	1.6307581503742147e-169	1.4383286886300573e-166	0.44608986985774807	hypomethylated	DGKI	chr7	137538670	137538672	-
cg00025347	0.47566085088820687	0.9028468967713031	-0.4271860458830963	420	97	2.872810091050838e-160	1.2669092501534194e-157	0.4271860458830963	hypomethylated	SLC20A2	chr8	42502473	42502475	-
cg00020799	0.3597574845628897	0.782565873922761	-0.4228083893598713	421	97	1.6257884240117943e-118	2.048493414254861e-116	0.4228083893598713	hypomethylated	AC123567.2,PLXNC1	chr12	94171315	94171317	+
cg00003965	0.4875176929292225	0.8680101374989933	-0.38049244456977077	420	97	5.719012664708583e-133	1.0088338340545942e-130	0.38049244456977077	hypomethylated	RETNLB	chr3	108758030	108758032	+
cg00039441	0.42132488622235004	0.046366357311760024	0.37495852891059	421	97	1.54822397217117e-100	1.050410418042286e-98	0.37495852891059	hypermethylated	HOXD13	chr2	176092744	176092746	+
cg00017489	0.6069693716930585	0.23396809204764987	0.37300127964540863	409	92	1.5496433150190632e-124	2.2779756730780227e-122	0.37300127964540863	hypermethylated	DPP6	chr7	153886232	153886234	+
cg00017842	0.40397749151016926	0.7697172656501692	-0.3657397741399999	421	97	1.795146681622825e-145	3.9582984329783293e-143	0.3657397741399999	hypomethylated	LINC01956	chr2	118770844	118770846	+
cg00030466	0.6241708062323709	0.9775710744956105	-0.35340026826323967	421	97	9.672601691010112e-109	9.47914965718991e-107	0.35340026826323967	hypomethylated	PRDM16	chr1	3231326	3231328	+
cg00001583	0.4353392684827791	0.08593921071475315	0.34940005776802596	421	97	5.2313055003846606e-107	4.614011451339271e-105	0.34940005776802596	hypermethylated	NR5A2	chr1	200042657	200042659	+
cg00003529	0.47745490131332435	0.8145224974327481	-0.3370675961194237	417	97	1.0065989041410566e-110	1.1097752918155148e-108	0.3370675961194237	hypomethylated	ANKUB1	chr3	149792327	149792329	+
cg00033909	0.30992061256343484	0.6395691716393759	-0.32964855907594104	234	43	2.540434366807156e-32	1.5347007613177478e-31	0.32964855907594104	hypomethylated	AC060834.2,PER3P1	chr7	9635271	9635273	-
