probe	CASE_01	CASE_02	CASE_03	CASE_04	CASE_05	CASE_06	CONT_01	CONT_02	CONT_03	CONT_04	CONT_05	CONT_06
cg33496448	0.30953016253117394	0.2973278391075288	0.3631794638852012	0.278171263067575	0.29385729571325037	0.33221116985318283	0.39680047926730083	0.34636800746113866	0.2483649711449581	0.3427408139738638	0.3233512683124455	0.33837103428754484
cg85117952	0.9168260526533657	0.955695880758921	0.9045702225594175	0.8717539816525843	0.949475126319546	0.8759609428418347	0.9307523070985306	0.9602892526248188	0.943777729937457	0.8467347363624883	0.9069627459494796	0.999
cg04198681	0.46755544897438817	0.44221799239710724	0.3826756313267096	0.427438559740462	0.45596654017716537	0.465770685372911	0.40678088566237075	0.4790503698434373	0.5265859058686102	0.49258266356557073	0.4263564920945297	0.3939101540080566
cg85040691	0.3473741640744784	0.36835854681106217	0.42538412453071667	0.403020769873475	0.3826513719398189	0.5047407222193755	0.3400699846676032	0.40667550471681574	0.32963786296457087	0.47153674927882305	0.3139964209684044	0.2912016378071209
cg78552311	0.5282030045914528	0.6757730864003142	0.5899611010767413	0.6591684571917609	0.6406346077969416	0.589381632065041	0.5694837862883747	0.7064988291340761	0.6400066526103615	0.5647651683386127	0.6877044170792371	0.6854812342588121
cg22331017	0.27406832080990456	0.16216157601127393	0.32203565176596555	0.22553521255555525	0.21219301311896993	0.2977552103302048	0.28400990705546336	0.29380225404651256	0.20682555653656803	0.26951821584866464	0.2643474738232076	0.31496403176704524
cg14418961	0.31297182686357505	0.24527541652870563	0.26672301121396413	0.28427332311960724	0.31807107254681943	0.3500089144441441	0.30721327686010635	0.2383410822939248	0.31595536210833425	0.29194325531383375	0.31611753267354054	0.21289777078249114
cg61690095	0.4999067638132275	0.5022234045782887	0.4622411551480339	0.4500061785926115	0.43496148253393807	0.5811012110021465	0.5339071523837312	0.4631977640469455	0.557342374115331	0.46942572050421805	0.5531730182798398	0.46688048595726817
cg11060215	0.2592519679877242	0.1954502766526166	0.2576068662257268	0.28604980955231973	0.23141323044931125	0.18755805833757977	0.18381461008973887	0.14221260985519688	0.21441852928387983	0.22080743958818588	0.27238160201138156	0.25059044603961383
cg47097144	0.5224718428451991	0.49369057476191136	0.5157335592985057	0.4679008836806515	0.5220880945644039	0.4739234224708091	0.4150175125571674	0.4629642364768185	0.472095715545519	0.4899142671331688	0.4676520282440956	0.4023981725146235
