gene	direction	n_significant_probes	n_hyper_probes	n_hypo_probes	probe_ids
ABCC9	hypermethylated	1	1	0	cg27555582
ABR	hypermethylated	1	1	0	cg06237543
AC003006.1	hypermethylated	1	1	0	cg01268824
AC003986.1	hypermethylated	2	2	0	cg24624901,cg25691167
AC004079.1	hypermethylated	2	2	0	cg00106345,cg17485838
AC004079.2	hypermethylated	2	2	0	cg00106345,cg17485838
AC004079.4	hypermethylated	2	2	0	cg00106345,cg17485838
AC004079.5	hypermethylated	2	2	0	cg00106345,cg17485838
AC004080.1	hypermethylated	1	1	0	cg15564098
AC004080.3	hypermethylated	1	1	0	cg12600174
AC004147.2	hypermethylated	1	1	0	cg24613080
AC004147.4	hypermethylated	1	1	0	cg24613080
AC004828.2	hypermethylated	1	1	0	cg05111779
AC004837.1	hypermethylated	1	1	0	cg27071152
AC004837.3	hypermethylated	1	1	0	cg27071152
AC005229.4	hypermethylated	1	1	0	cg03789645
AC005520.2	hypermethylated	1	1	0	cg13158272
AC005586.1	hypermethylated	1	1	0	cg27494647
AC005622.1	hypermethylated	1	1	0	cg09489306
AC005888.1	hypermethylated	1	1	0	cg18235050
AC006058.2	hypermethylated	1	1	0	cg14858267
AC006115.2	hypermethylated	1	1	0	cg06585566
AC007368.1	hypermethylated	1	1	0	cg18235050
AC008014.1	hypermethylated	1	1	0	cg11146691
AC008397.2	hypermethylated	1	1	0	cg15215348
AC008525.1	hypermethylated	1	1	0	cg01764252
AC008567.2	hypermethylated	1	1	0	cg19254119
AC008758.1	hypermethylated	1	1	0	cg22637867
AC008875.2	hypermethylated	3	3	0	cg04223424,cg14979301,cg24676817
AC008875.3	hypermethylated	2	2	0	cg04223424,cg14979301
AC009487.2	hypermethylated	1	1	0	cg23161999
AC009531.1	hypermethylated	1	1	0	cg08732352
AC009570.2	hypermethylated	1	1	0	cg17075352
AC010327.2	hypermethylated	1	1	0	cg18417954
AC010327.4	hypermethylated	1	1	0	cg18417954
AC010907.1	hypermethylated	1	1	0	cg11857704
AC010931.2	hypermethylated	1	1	0	cg15480336
AC011239.2	hypermethylated	1	1	0	cg02338778
AC011246.1	hypermethylated	1	1	0	cg04178787
AC011815.2	hypermethylated	1	1	0	cg00487232
AC012508.1	hypermethylated	1	1	0	cg22830113
AC012508.2	hypermethylated	1	1	0	cg22830113
AC012508.3	hypermethylated	1	1	0	cg22830113
AC012574.1	hypermethylated	1	1	0	cg09618933
AC012574.2	hypermethylated	1	1	0	cg09618933
