probe_id	tumor_mean_beta	normal_mean_beta	delta_beta	tumor_n	normal_n	p_value	fdr	abs_delta_beta	direction	gene	chrom	chromStart	chromEnd	strand
cg00002719	0.534981625663413	0.03390066648266979	0.5010809591807432	421	97	4.83391042221768e-152	1.421169664131998e-149	0.5010809591807432	hypermethylated	CCDC181	chr1	169427467	169427469	-
cg00004421	0.7883068772613026	0.3316279649734497	0.45667891228785285	61	6	1.989081109818719e-05	3.724776090998111e-05	0.45667891228785285	hypermethylated	AC016876.2,EIF4A1;SENP3;SENP3-EIF4A1	chr17	7571760	7571762	+
cg00039441	0.42132488622235004	0.046366357311760024	0.37495852891059	421	97	1.54822397217117e-100	1.050410418042286e-98	0.37495852891059	hypermethylated	HOXD13	chr2	176092744	176092746	+
cg00017489	0.6069693716930585	0.23396809204764987	0.37300127964540863	409	92	1.5496433150190632e-124	2.2779756730780227e-122	0.37300127964540863	hypermethylated	DPP6	chr7	153886232	153886234	+
cg00001583	0.4353392684827791	0.08593921071475315	0.34940005776802596	421	97	5.2313055003846606e-107	4.614011451339271e-105	0.34940005776802596	hypermethylated	NR5A2	chr1	200042657	200042659	+
cg00035316	0.5612430027553014	0.2386330280107321	0.32260997474456926	420	97	6.299038433876347e-72	1.6340446760820403e-70	0.32260997474456926	hypermethylated	HOXD-AS2,HOXD8	chr2	176128288	176128290	-
cg00005112	0.7225979693994953	0.40453932457363484	0.31805864482586044	421	97	3.253561924486775e-104	2.3913680144977797e-102	0.31805864482586044	hypermethylated	WWP2	chr16	69924936	69924938	-
cg00013655	0.6685270144615645	0.3549468300559304	0.31358018440563407	324	77	2.0252428910250823e-24	9.255255077119806e-24	0.31358018440563407	hypermethylated	PIGQ	chr16	579014	579016	+
cg00014830	0.5361902594849502	0.22278797503599188	0.31340228444895835	421	97	6.285229261641532e-98	3.2609248286869593e-96	0.31340228444895835	hypermethylated		chr17	79791933	79791935	-
cg00024086	0.5219300693684122	0.20978841093397632	0.3121416584344359	421	97	1.7899664470488828e-93	7.893752031485573e-92	0.3121416584344359	hypermethylated		chr7	157021796	157021798	-
cg00016934	0.40900999236843083	0.09738433483949642	0.3116256575289344	421	97	1.0077789908774978e-63	1.8911937658594746e-62	0.3116256575289344	hypermethylated	BCOR	chrX	40176707	40176709	-
cg00027650	0.7801459527784779	0.4736479590920841	0.30649799368639374	248	34	1.5767090596778273e-16	5.11271099498472e-16	0.30649799368639374	hypermethylated	TCF12	chr15	57218376	57218378	-
cg00024516	0.5574300685532335	0.254781419580633	0.3026486489726005	403	88	9.910845719149338e-72	2.497533121225633e-70	0.3026486489726005	hypermethylated		chr4	122585038	122585040	-
cg00040312	0.6386789231073289	0.34920364065268605	0.2894752824546428	420	97	1.351579860890251e-27	6.971306650907611e-27	0.2894752824546428	hypermethylated	AC012531.2,AC012531.3;HOXC4	chr12	54030894	54030896	-
