probe_id	tumor_mean_beta	normal_mean_beta	delta_beta	tumor_n	normal_n	p_value	fdr	abs_delta_beta	direction	gene	chrom	chromStart	chromEnd	strand
cg03161803	0.8446153723675272	0.13499032690169963	0.7096250454658275	115	47	6.197051437640351e-96	5.219293055912332e-91	0.7096250454658275	hypermethylated	AL009179.2	chr6	27681340.0	27681342.0	-
cg13851368	0.8768478499518501	0.18986843526363373	0.6869794146882163	9	1			0.6869794146882163	hypermethylated		chrY	11954166.0	11954168.0	+
cg26081875	0.26028525829315186	0.9441091418266296	-0.6838238835334778	5	1			0.6838238835334778	hypomethylated	LINC00243	chr6	30828629.0	30828631.0	-
cg05280527	0.12703651121292991	0.8035027980804443	-0.6764662868675144	87	8	5.230159412753159e-11	2.478760281432345e-10	0.6764662868675144	hypomethylated	NRXN3	chr14	79862106.0	79862108.0	+
cg00795900	0.8683798653738839	0.2091495543718338	0.6592303110020501	7	1			0.6592303110020501	hypermethylated	ABCA17P,ABCA3	chr16	2342199.0	2342201.0	+
cg20197130	0.18198889355326808	0.8399233818054199	-0.6579344882521518	43	6	7.913890174445358e-29	2.1338367302156863e-27	0.6579344882521518	hypomethylated	LINC00944	chr12	126772170.0	126772172.0	+
cg10903903	0.7399559581980986	0.08525116910639498	0.6547047890917036	136	97	1.948429632531188e-80	1.0129693222035074e-76	0.6547047890917036	hypermethylated	AL009179.2	chr6	27680063.0	27680065.0	+
cg17326769	0.8151644682272886	0.16682984147753036	0.6483346267497583	39	7	1.0650817883773295e-17	9.975820059856932e-17	0.6483346267497583	hypermethylated	HCK	chr20	32051901.0	32051903.0	+
cg12528452	0.13227911293506622	0.7768727938334147	-0.6445936808983485	1	3			0.6445936808983485	hypomethylated	AC132217.2,IGF2;INS-IGF2	chr11	2132843.0	2132845.0	+
cg15219228	0.7337389201143362	0.1078770037778874	0.6258619163364487	137	97	2.1774719579398173e-85	1.7979556738823422e-81	0.6258619163364487	hypermethylated	TULP1	chr6	35511850.0	35511852.0	-
cg20150982	0.8414201140403748	0.22208508849143982	0.6193350255489349	2	2	0.02954980363601496	0.044394706201849085	0.6193350255489349	hypermethylated	MIR100HG	chr11	122440949.0	122440951.0	+
cg16144314	0.23925411701202393	0.8530742526054382	-0.6138201355934143	2	1			0.6138201355934143	hypomethylated	ADARB2,ADARB2-AS1	chr10	1526563.0	1526565.0	+
cg11286063	0.792746992672191	0.1816297968228658	0.6111171958493251	34	3	3.8032528617154047e-22	5.482274306325172e-21	0.6111171958493251	hypermethylated	AC244517.10,AC244517.11;PCDHB18P	chr5	141234286.0	141234288.0	+
cg15232539	0.7092881530295801	0.10095497013367329	0.6083331828959069	131	97	2.167666455666354e-67	2.2935381628445074e-64	0.6083331828959069	hypermethylated	CSGALNACT1	chr8	19602160.0	19602162.0	-
cg24046017	0.3274768970630787	0.9283811431570151	-0.6009042460939364	135	97	1.9065306221927403e-54	5.391947728960423e-52	0.6009042460939364	hypomethylated	OSGIN2,RNU6-925P	chr8	89901036.0	89901038.0	-
cg00098144	0.8097670745849609	0.2094533642133077	0.6003137103716532	25	12	1.2303082862449983e-18	1.2643589153157075e-17	0.6003137103716532	hypermethylated		chr4	13523610.0	13523612.0	+
cg18661205	0.792401011397199	0.19608582769121444	0.5963151837059846	41	7	7.96793110172519e-27	1.7834503211324528e-25	0.5963151837059846	hypermethylated	AC244517.10,AC244517.11;PCDHB18P	chr5	141234311.0	141234313.0	+
cg16865446	0.7107680406027693	0.11835764495419784	0.5924103956485715	123	71	4.192382799591058e-56	1.3825047087851135e-53	0.5924103956485715	hypermethylated	PAX6	chr11	31800753.0	31800755.0	-
cg26029734	0.7832612124356356	0.19761796792348227	0.5856432445121533	22	3	6.682732387835204e-13	3.8621196697687134e-12	0.5856432445121533	hypermethylated	PAX6	chr11	31797831.0	31797833.0	+
cg13294849	0.6924202247902199	0.11077851834504501	0.5816417064451749	135	92	4.821314395407194e-54	1.3073461212906108e-51	0.5816417064451749	hypermethylated	SOX2-OT	chr3	181723782.0	181723784.0	-
cg14780632	0.6978359918524749	0.11693553334658909	0.5809004585058858	137	97	9.755254560329355e-69	1.201182749460484e-65	0.5809004585058858	hypermethylated	GAL3ST3	chr11	66049049.0	66049051.0	-
cg07792478	0.6957263250420563	0.11944227120310989	0.5762840538389464	137	97	2.215005171674654e-71	3.776368594530709e-68	0.5762840538389464	hypermethylated	MIR124-2,MIR124-2HG	chr8	64377926.0	64377928.0	-
cg27500148	0.33283308822743213	0.9088503650783264	-0.5760172768508942	137	97	2.6249757675651955e-54	7.364464826483324e-52	0.5760172768508942	hypomethylated	AC110749.1,RPL23	chr17	38855237.0	38855239.0	+
cg26192520	0.2507667541503906	0.8254666924476624	-0.5746999382972717	34	1			0.5746999382972717	hypomethylated	YWHAZ	chr8	100948161.0	100948163.0	+
cg00334063	0.7484283447265625	0.1737780791062575	0.574650265620305	135	65	4.991593556302684e-76	1.5570481141393924e-72	0.574650265620305	hypermethylated	ZIC4	chr3	147388222.0	147388224.0	+
cg27260772	0.7045767728020164	0.13012514409330703	0.5744516287087094	136	97	3.460013558793642e-50	6.407430825669083e-48	0.5744516287087094	hypermethylated	TFAP2B	chr6	50823488.0	50823490.0	-
cg22740796	0.26440162358321545	0.8368992138934391	-0.5724975903102236	127	93	1.3046500332362529e-54	3.752749181326173e-52	0.5724975903102236	hypomethylated		chr10	130663016.0	130663018.0	+
cg14534279	0.35510693849438296	0.9274103223663015	-0.5723033838719185	137	97	1.3290739442691614e-75	3.9977689838937913e-72	0.5723033838719185	hypomethylated		chr10	3287773.0	3287775.0	-
cg00177787	0.31604669389933565	0.8880067805653995	-0.5719600866660639	137	97	5.237346391349008e-85	4.1613286343535323e-81	0.5719600866660639	hypomethylated		chr10	3288287.0	3288289.0	+
cg17219660	0.8760309149749088	0.3053015679428258	0.570729347032083	137	97	2.7080432277832604e-89	4.5615471667801465e-85	0.570729347032083	hypermethylated	GPR37L1	chr1	202122751.0	202122753.0	+
cg03692651	0.6831821582935474	0.11254509915126844	0.570637059142279	135	89	3.812559695687883e-54	1.0479835678921802e-51	0.570637059142279	hypermethylated		chr19	22261790.0	22261792.0	+
cg17034390	0.7272327172495153	0.16057689902708702	0.5666558182224283	137	97	4.2584601452040166e-76	1.3585487956113702e-72	0.5666558182224283	hypermethylated		chr6	30127548.0	30127550.0	+
cg25708982	0.25715863364083424	0.8223344362699069	-0.5651758026290726	35	13	2.8362613394000094e-16	2.3068678877761032e-15	0.5651758026290726	hypomethylated		chr13	112241116.0	112241118.0	+
cg27466845	0.8285646226671007	0.26608693231012404	0.5624776903569767	135	97	2.2870898532405675e-73	5.0425062575287365e-70	0.5624776903569767	hypermethylated	NRXN2	chr11	64630261.0	64630263.0	-
cg07489502	0.6585597668663931	0.09818071064196135	0.5603790562244317	118	95	8.869859771419244e-63	5.69389560701544e-60	0.5603790562244317	hypermethylated	PCDHGA1,PCDHGA10;PCDHGA11;PCDHGA12;PCDHGA2;PCDHGA3;PCDHGA4;PCDHGA5;PCDHGA6;PCDHGA7;PCDHGA8;PCDHGA9;PCDHGB1;PCDHGB2;PCDHGB3;PCDHGB4;PCDHGB5;PCDHGB6;PCDHGB7	chr5	141432074.0	141432076.0	-
cg13219007	0.3188140630722046	0.8786910772323608	-0.5598770141601562	10	1			0.5598770141601562	hypomethylated	UCP2	chr11	73980223.0	73980225.0	+
cg22399133	0.7606527822989004	0.20335947529653484	0.5572933070023656	135	89	2.1814500357223046e-52	5.011634511691519e-50	0.5572933070023656	hypermethylated	CRYGD	chr2	208124523.0	208124525.0	+
cg01518607	0.7282153297873104	0.17116610209147134	0.5570492276958391	136	81	1.9620002009209968e-64	1.5215835480847915e-61	0.5570492276958391	hypermethylated	AL021808.1	chr6	27268111.0	27268113.0	-
cg08364561	0.7065468112917712	0.1503191190896575	0.5562276922021137	137	97	1.0598363132396498e-69	1.4976803010223563e-66	0.5562276922021137	hypermethylated	AL035078.4,PAUPAR	chr11	31825296.0	31825298.0	-
cg11213690	0.682847795695284	0.12675501636623107	0.5560927793290529	137	97	4.795814164907752e-89	6.731900329328228e-85	0.5560927793290529	hypermethylated		chr7	149415310.0	149415312.0	-
