probe_id	group_a_mean_beta	group_b_mean_beta	delta_beta	group_a_n	group_b_n	p_value	abs_delta_beta	direction	fdr	significant	gene	chrom	chromStart	chromEnd	strand	functional_region	is_promoter	dist_to_tss	cgi_relation	cgi_id	annotation_source	predicted_expression_effect	mechanics_basis
cg14979301	0.6701882352941172	0.09115128205128208	0.5790369532428351	85	39	1.1482907396749108e-50	0.5790369532428351	hypermethylated	3.15435466188698e-47	True	AC008875.2,AC008875.3	chr5	42994020	42994022	+	TSS1500	True	-744.0	N_Shore		published_manifest	silencing	promoter_hypermethylation
cg14416371	0.48405517241379303	0.024702564102564103	0.4593526083112289	87	39	2.026733794650278e-48	0.4593526083112289	hypermethylated	2.783718866952157e-45	True	AC068205.1,AC068205.2;MIR129-2	chr11	43581296	43581298	+	gene_body	False	34439.0	OpenSea		imputed_from_region_mix	ambiguous	outside_promoter
cg23107916	0.4985872093023256	0.957574358974359	-0.45898714967203347	86	39	1.01773401622653e-47	0.45898714967203347	hypomethylated	9.319051141914259e-45	True		chr13	111901657	111901659	-	TSS1500	True	-235.0	S_Shore		imputed_from_region_mix	activation	promoter_hypomethylation
cg03161803	0.7885	0.12351025641025642	0.6649897435897436	85	39	9.321614385146465e-46	0.6649897435897436	hypermethylated	6.401618678999335e-43	True	AL009179.2	chr6	27681340	27681342	-	TSS1500	True	-785.0	S_Shore		published_manifest	silencing	promoter_hypermethylation
cg20197130	0.28456781609195403	0.845669230769231	-0.5611014146772769	87	39	5.255906893871511e-45	0.5611014146772769	hypomethylated	2.8875952474930086e-42	True	LINC00944	chr12	126772170	126772172	+	gene_body	False	7384.0	S_Shore		imputed_from_region_mix	ambiguous	outside_promoter
cg06958563	0.7551735632183909	0.1669128205128205	0.5882607427055704	87	39	1.7146665544788546e-44	0.5882607427055704	hypermethylated	7.850315041922356e-42	True	LINC00461,MEF2C-AS2	chr5	88685093	88685095	+	intergenic	False	35308.0	Island		imputed_from_region_mix	ambiguous	outside_promoter
cg10940462	0.5426872093023255	0.05956153846153846	0.48312567084078706	86	39	8.442679271323929e-44	0.48312567084078706	hypermethylated	3.313148565475262e-41	True	NRXN2	chr11	64711542	64711544	-	intergenic	False	21185.0	OpenSea		imputed_from_region_mix	ambiguous	outside_promoter
cg14958969	0.4787977011494252	0.9366025641025642	-0.45780486295313894	87	39	1.093180073965896e-43	0.45780486295313894	hypomethylated	3.7537070789803957e-41	True	MYT1L	chr2	1939041	1939043	+	gene_body	False	34595.0	Island		imputed_from_region_mix	ambiguous	outside_promoter
cg18661205	0.7524390804597697	0.19365641025641026	0.5587826702033595	87	39	6.517955590112179e-43	0.5587826702033595	hypermethylated	1.946278087061601e-40	True	AC244517.10,AC244517.11;PCDHB18P	chr5	141234311	141234313	+	gene_body	False	34380.0	N_Shore		imputed_from_region_mix	ambiguous	outside_promoter
cg24886257	0.545409195402299	0.06545641025641025	0.4799527851458888	87	39	7.445774266570897e-43	0.4799527851458888	hypermethylated	1.946278087061601e-40	True	ZNF350-AS1	chr19	51949193	51949195	+	intergenic	False	5897.0	N_Shore		imputed_from_region_mix	ambiguous	outside_promoter
cg11286063	0.6338471264367819	0.18332307692307692	0.45052404951370495	87	39	7.793614473126179e-43	0.45052404951370495	hypermethylated	1.946278087061601e-40	True	AC244517.10,AC244517.11;PCDHB18P	chr5	141234286	141234288	+	gene_body	False	39702.0	S_Shore		imputed_from_region_mix	ambiguous	outside_promoter
cg10649130	0.4593137931034484	0.8981666666666671	-0.4388528735632187	87	39	1.548845105623954e-42	0.4388528735632187	hypomethylated	3.5455645876241682e-40	True		chr11	9661093	9661095	+	TSS1500	True	-794.0	OpenSea		imputed_from_region_mix	activation	promoter_hypomethylation
cg11785980	0.541794252873563	0.9601205128205128	-0.41832625994694983	87	39	7.003651161027829e-42	0.41832625994694983	hypomethylated	1.4799253645648806e-39	True	RIMBP2	chr12	130638433	130638435	+	TSS200	True	-210.0	Island		imputed_from_region_mix	activation	promoter_hypomethylation
cg27555582	0.5625126436781609	0.0647128205128205	0.4977998231653404	87	39	3.018179089084007e-41	0.4977998231653404	hypermethylated	5.922098541224119e-39	True	ABCC9	chr12	21941074	21941076	+	5UTR_1stExon	True	159.0	Island		published_manifest	silencing	promoter_hypermethylation
cg00266983	0.7115218390804601	0.15136153846153844	0.5601603006189216	87	39	3.263978979748165e-41	0.5601603006189216	hypermethylated	5.97743350491214e-39	True		chr7	1237884	1237886	+	gene_body	False	15693.0	Island		imputed_from_region_mix	ambiguous	outside_promoter
cg25708982	0.3102441860465116	0.8438052631578947	-0.5335610771113831	86	38	6.501245080121989e-41	0.5335610771113831	hypomethylated	1.116182514693444e-38	True		chr13	112241116	112241118	+	TSS1500	True	-1240.0	OpenSea		imputed_from_region_mix	activation	promoter_hypomethylation
cg11157172	0.4556116279069765	0.9355948717948718	-0.47998324388789526	86	39	2.137337276706165e-40	0.47998324388789526	hypomethylated	3.3615037994070634e-38	True	PRDM16	chr1	3293852	3293854	+	gene_body	False	49721.0	OpenSea		published_manifest	ambiguous	outside_promoter
cg06594404	0.5400977011494253	0.07061794871794873	0.4694797524314766	87	39	2.2026599340854436e-40	0.4694797524314766	hypermethylated	3.3615037994070634e-38	True	AC092574.2	chr4	386606	386608	+	gene_body	False	37078.0	S_Shore		imputed_from_region_mix	ambiguous	outside_promoter
cg08604097	0.585743023255814	0.07021794871794872	0.5155250745378652	86	39	4.0548365491790165e-40	0.5155250745378652	hypermethylated	5.862440000313031e-38	True	NXPH1	chr7	8441234	8441236	+	gene_body	False	6040.0	N_Shore		published_manifest	ambiguous	outside_promoter
cg00777546	0.5446344827586206	0.9483205128205129	-0.4036860300618923	87	39	6.227193703755619e-40	0.4036860300618923	hypomethylated	8.553050552108343e-38	True		chr6	230931	230933	-	5UTR_1stExon	False	32017.0	OpenSea		imputed_from_region_mix	ambiguous	outside_promoter
cg26132774	0.5422172413793105	0.057012820512820514	0.48520442086648996	87	39	1.0998648336229227e-39	0.48520442086648996	hypermethylated	1.4387279514105567e-37	True	AL445209.1,OBI1-AS1	chr13	78596010	78596012	+	gene_body	False	19274.0	Island		imputed_from_region_mix	ambiguous	outside_promoter
cg08387538	0.37473488372093045	0.9136487179487179	-0.5389138342277875	86	39	1.696842191082198e-39	0.5389138342277875	hypomethylated	2.1187388631376354e-37	True	DLGAP2,DLGAP2-AS1	chr8	1579828	1579830	+	gene_body	False	31185.0	OpenSea		published_manifest	ambiguous	outside_promoter
cg17144184	0.45741046511627914	0.8976897435897436	-0.4402792784734645	86	39	1.9345447432536455e-39	0.4402792784734645	hypomethylated	2.3105193085729407e-37	True	AC103758.1	chr8	142140137	142140139	-	TSS1500	True	-1133.0	OpenSea		imputed_from_region_mix	activation	promoter_hypomethylation
cg05915794	0.45780459770114934	0.9351210526315787	-0.4773164549304294	87	38	2.3820950647407714e-39	0.4773164549304294	hypomethylated	2.7265063095178746e-37	True	RBFOX3	chr17	79131137	79131139	+	gene_body	False	17807.0	OpenSea		imputed_from_region_mix	ambiguous	outside_promoter
cg08860070	0.7538162790697673	0.1625578947368421	0.5912583843329252	86	38	4.729158897411149e-39	0.5912583843329252	hypermethylated	5.196399796475371e-37	True		chr5	141513254	141513256	+	TSS1500	True	-140.0	OpenSea		imputed_from_region_mix	silencing	promoter_hypermethylation
cg02027945	0.5788597701149429	0.06399999999999999	0.514859770114943	87	39	7.120422307237847e-39	0.514859770114943	hypermethylated	7.523000029993217e-37	True	AC090707.2	chr11	20596683	20596685	+	5UTR_1stExon	True	296.0	Island		published_manifest	silencing	promoter_hypermethylation
cg15659132	0.5622000000000001	0.09890769230769232	0.46329230769230784	87	39	7.802228324857702e-39	0.46329230769230784	hypermethylated	7.938044891994114e-37	True		chr6	26577107	26577109	+	5UTR_1stExon	False	23227.0	OpenSea		imputed_from_region_mix	ambiguous	outside_promoter
cg06237543	0.6169241379310344	0.15206666666666666	0.4648574712643677	87	39	8.365243372708005e-39	0.4648574712643677	hypermethylated	8.206901266010317e-37	True	ABR,AC016292.1	chr17	1180529	1180531	-	gene_body	False	30855.0	OpenSea		imputed_from_region_mix	ambiguous	outside_promoter
cg17231999	0.510041379310345	0.0567923076923077	0.4532490716180373	87	39	8.72942277598245e-39	0.4532490716180373	hypermethylated	8.268870470904756e-37	True	LINC00682	chr4	41880546	41880548	-	gene_body	False	16694.0	Island		imputed_from_region_mix	ambiguous	outside_promoter
