probe_id	tumor_mean_beta	normal_mean_beta	delta_beta	tumor_n	normal_n	p_value	fdr	abs_delta_beta	direction	gene	chrom	chromStart	chromEnd	strand	genes_all	gene_nearest	dist_to_tss	functional_region	is_promoter	cgi_relation	cgi_id	predicted_expression_effect	mechanics_basis
cg03161803	0.7682817910192621	0.1349903269016996	0.6332914641175624	537	47	1.8971862352905793e-199	4.055490783188614e-196	0.6332914641175624	hypermethylated	AL009179.2	chr6	27681340.0	27681342.0	-	AL009179.2	AL009179.2	-785.0	TSS1500	True	S_Shore	CGI:chr6:27680014-27680226	silencing	promoter_hypermethylation
cg22740796	0.2444699654783256	0.8368992138934391	-0.5924292484151135	771	93	7.001427285852523e-123	4.7272712041919165e-121	0.5924292484151135	hypomethylated		chr10	130663016.0	130663018.0	+				intergenic	False	OpenSea		ambiguous	non_promoter_or_intergenic
cg13294849	0.690795659083946	0.110778518345045	0.580017140738901	765	92	2.2203633408928147e-126	1.70812219206565e-124	0.580017140738901	hypermethylated	SOX2-OT	chr3	181723782.0	181723784.0	-	SOX2-OT	SOX2-OT	590.0	gene_body	False	N_Shelf	CGI:chr3:181726621-181727212	ambiguous	non_promoter_or_intergenic
cg14088921	0.7541971396640003	0.1914503357627175	0.5627468039012827	502	22	1.1934638810344273e-35	6.044527749623339e-35	0.5627468039012827	hypermethylated	MATN2	chr8	97932707.0	97932709.0	-	MATN2	MATN2	1283.0	gene_body	False	OpenSea		ambiguous	non_promoter_or_intergenic
cg01518607	0.7274270598421392	0.1711661020914713	0.5562609577506679	776	81	3.5955947587609376e-101	1.1335194574343864e-99	0.5562609577506679	hypermethylated	AL021808.1	chr6	27268111.0	27268113.0	-	AL021808.1	AL021808.1	-1.0	TSS200	True	OpenSea		silencing	promoter_hypermethylation
cg22399133	0.7593681502372909	0.2033594752965348	0.556008674940756	777	89	8.61492457261484e-49	6.167321750428609e-48	0.556008674940756	hypermethylated	CRYGD	chr2	208124523.0	208124525.0	+	CRYGD	CRYGD	1.0	5UTR_1stExon	True	Island	CGI:chr2:208124110-208124545	silencing	promoter_hypermethylation
cg13879483	0.6249181927008787	0.0714883853479759	0.5534298073529028	786	97	1.7070244159503136e-206	5.487418930522902e-203	0.5534298073529028	hypermethylated	USP44	chr12	95549130.0	95549132.0	-	USP44	USP44	-286.0	TSS1500	True	Island	CGI:chr12:95548130-95549203	silencing	promoter_hypermethylation
cg14979301	0.6639001515990529	0.1235052108764648	0.5403949407225881	716	65	5.0340928876714627e-197	8.513763021280642e-194	0.5403949407225881	hypermethylated	AC008875.2,AC008875.3	chr5	42994020.0	42994022.0	+	AC008875.2;AC008875.3	AC008875.3	-744.0	TSS1500	True	N_Shore	CGI:chr5:42994524-42994834	silencing	promoter_hypermethylation
cg08387538	0.3506173694624883	0.8908289349268353	-0.5402115654643471	534	63	2.866983273346689e-167	1.1871453236697324e-164	0.5402115654643471	hypomethylated	DLGAP2,DLGAP2-AS1	chr8	1579828.0	1579830.0	+	DLGAP2;DLGAP2-AS1	DLGAP2	31185.0	gene_body	False	OpenSea		ambiguous	non_promoter_or_intergenic
cg25200152	0.7541620283296896	0.2139766791771198	0.5401853491525698	729	58	1.5044927869251637e-33	7.190183004859595e-33	0.5401853491525698	hypermethylated	AC245100.1,AC245100.5;LINC01138	chr1	148318341.0	148318343.0	+	AC245100.1;AC245100.5;LINC01138	AC245100.5	-328.0	TSS1500	True	S_Shore	CGI:chr1:148317536-148317864	silencing	promoter_hypermethylation
