panel_rank	probe_id	tumor_mean_beta	normal_mean_beta	delta_beta	tumor_n	normal_n	p_value	fdr	abs_delta_beta	direction	gene	chrom	chromStart	chromEnd	strand	genes_all	gene_nearest	dist_to_tss	functional_region	is_promoter	cgi_relation	cgi_id	predicted_expression_effect	mechanics_basis	promoter_via_secondary_isoform_only
1	cg17326769	0.8268191997821515	0.1668298414775303	0.6599893583046211	208	7	8.37108657072922e-10	1.8377646375729543e-09	0.6599893583046211	hypermethylated	HCK	chr20	32051901.0	32051903.0	+	HCK	HCK	-295.0	TSS1500	True	N_Shore	CGI:chr20:32052105-32052983	silencing	promoter_hypermethylation	False
2	cg03161803	0.7682817910192621	0.1349903269016996	0.6332914641175624	537	47	1.8971862352905793e-199	4.055490783188614e-196	0.6332914641175624	hypermethylated	AL009179.2	chr6	27681340.0	27681342.0	-	AL009179.2	AL009179.2	-785.0	TSS1500	True	S_Shore	CGI:chr6:27680014-27680226	silencing	promoter_hypermethylation	False
3	cg06958563	0.7455968963965941	0.1631356875101725	0.5824612088864216	89	6	4.2879558526745055e-39	2.379357553521724e-38	0.5824612088864216	hypermethylated	LINC00461,MEF2C-AS2	chr5	88685093.0	88685095.0	+	LINC00461;MEF2C-AS2	LINC00461	-46.0	TSS200	True	Island	CGI:chr5:88685061-88685455	silencing	promoter_hypermethylation	False
4	cg08159989	0.8356150309244792	0.2715441882610321	0.5640708426634471	210	2	1.2104634689345226e-08	2.5187798675585295e-08	0.5640708426634471	hypermethylated	KLHDC8A	chr1	205356942.0	205356944.0	-	KLHDC8A	KLHDC8A	-20.0	TSS200	True	OpenSea		silencing	promoter_hypermethylation	False
5	cg01518607	0.7274270598421392	0.1711661020914713	0.5562609577506679	776	81	3.5955947587609376e-101	1.1335194574343864e-99	0.5562609577506679	hypermethylated	AL021808.1	chr6	27268111.0	27268113.0	-	AL021808.1	AL021808.1	-1.0	TSS200	True	OpenSea		silencing	promoter_hypermethylation	False
6	cg22399133	0.7593681502372909	0.2033594752965348	0.556008674940756	777	89	8.61492457261484e-49	6.167321750428609e-48	0.556008674940756	hypermethylated	CRYGD	chr2	208124523.0	208124525.0	+	CRYGD	CRYGD	1.0	5UTR_1stExon	True	Island	CGI:chr2:208124110-208124545	silencing	promoter_hypermethylation	False
7	cg13879483	0.6249181927008787	0.0714883853479759	0.5534298073529028	786	97	1.7070244159503136e-206	5.487418930522902e-203	0.5534298073529028	hypermethylated	USP44	chr12	95549130.0	95549132.0	-	USP44	USP44	-286.0	TSS1500	True	Island	CGI:chr12:95548130-95549203	silencing	promoter_hypermethylation	False
8	cg18661205	0.7453893259030964	0.1960858276912144	0.549303498211882	218	7	1.676813694409977e-67	1.9588052986428565e-66	0.549303498211882	hypermethylated	AC244517.10,AC244517.11;PCDHB18P	chr5	141234311.0	141234313.0	+	AC244517.10;AC244517.11;PCDHB18P	PCDHB18P	-21.0	TSS200	True	N_Shore	CGI:chr5:141235819-141236781	silencing	promoter_hypermethylation	False
9	cg14979301	0.6639001515990529	0.1235052108764648	0.5403949407225881	716	65	5.0340928876714627e-197	8.513763021280642e-194	0.5403949407225881	hypermethylated	AC008875.2,AC008875.3	chr5	42994020.0	42994022.0	+	AC008875.2;AC008875.3	AC008875.3	-744.0	TSS1500	True	N_Shore	CGI:chr5:42994524-42994834	silencing	promoter_hypermethylation	False
10	cg25200152	0.7541620283296896	0.2139766791771198	0.5401853491525698	729	58	1.5044927869251637e-33	7.190183004859595e-33	0.5401853491525698	hypermethylated	AC245100.1,AC245100.5;LINC01138	chr1	148318341.0	148318343.0	+	AC245100.1;AC245100.5;LINC01138	AC245100.5	-328.0	TSS1500	True	S_Shore	CGI:chr1:148317536-148317864	silencing	promoter_hypermethylation	False
11	cg20197130	0.2887952228975013	0.8399233818054199	-0.5511281589079186	169	6	8.255745429286645e-40	4.669473743128128e-39	0.5511281589079186	hypomethylated	LINC00944	chr12	126772170.0	126772172.0	+	LINC00944	LINC00944	22.0	5UTR_1stExon	True	OpenSea		activation	promoter_hypomethylation	False
12	cg13894852	0.2985889791584701	0.8486618995666504	-0.5500729204081802	139	2	7.289847252701474e-08	1.4603900593574598e-07	0.5500729204081802	hypomethylated	AC091180.5,EIF4EP2	chr17	49424935.0	49424937.0	+	AC091180.5;EIF4EP2	EIF4EP2	-13.0	TSS200	True	OpenSea		activation	promoter_hypomethylation	False
13	cg12041100	0.332563207119326	0.8222450415293375	-0.4896818344100115	79	3	4.2758522812462e-07	8.230734191310943e-07	0.4896818344100115	hypomethylated	RAPGEFL1	chr17	40180935.0	40180937.0	+	RAPGEFL1	RAPGEFL1	-303.0	TSS1500	True	S_Shelf	CGI:chr17:40177606-40178543	activation	promoter_hypomethylation	False
14	cg13782274	0.4298498488859039	0.9181609792807668	-0.4883111303948628	791	97	7.745502565556965e-153	1.6778495717036804e-150	0.4883111303948628	hypomethylated	KCNQ2	chr20	63466327.0	63466329.0	-	KCNQ2	KCNQ2	177.0	5UTR_1stExon	True	Island	CGI:chr20:63465840-63466901	activation	promoter_hypomethylation	False
15	cg15300436	0.24559774771109	0.7203565794846107	-0.4747588317735207	666	58	3.642025656017424e-50	2.7023310582470643e-49	0.4747588317735207	hypomethylated	MYT1L,MYT1L-AS1	chr2	2318015.0	2318017.0	-	MYT1L;MYT1L-AS1	MYT1L-AS1	-1216.0	TSS1500	True	OpenSea		activation	promoter_hypomethylation	False
16	cg04519387	0.3510017207103409	0.8206437428792318	-0.4696420221688908	203	3	3.0269893965687203e-19	9.43654678452081e-19	0.4696420221688908	hypomethylated	OVOL1	chr11	65788966.0	65788968.0	+	OVOL1	OVOL1	-1162.0	TSS1500	True	S_Shore	CGI:chr11:65786278-65788102	activation	promoter_hypomethylation	False
