probe_id	tumor_mean_beta	normal_mean_beta	tumor_mean_m	normal_mean_m	delta_beta	delta_m	tumor_n	normal_n	test_statistic	p_value	fdr	abs_delta_beta	direction	gene	chrom	chromStart	chromEnd	strand	probe_missing_fraction
cg00428457	0.8234605228199678	0.1871576502015394	2.847299	-2.549045	0.6363028726184284	5.396344	136	643	28.838463989587	2.997269065125013e-67	5.345887282197924e-65	0.6363028726184284	hypermethylated		chr2	119130103	119130105	+	0.001282051282051282
cg23440816	0.9262104452091412	0.34098070776481093	3.974559	-1.1061525	0.5852297374443303	5.0807114	137	643	46.087105436686656	9.355484545078648e-144	3.119614794770308e-140	0.5852297374443303	hypermethylated	CAPN2	chr1	223761207	223761209	+	0.0
cg03441279	0.9075269138111788	0.34110775926663944	3.5083482	-1.0959574	0.5664191545445394	4.6043057	136	593	48.893766393895795	1.891008529507177e-164	1.2721875996818364e-160	0.5664191545445394	hypermethylated	BCL9	chr1	147612149	147612151	-	0.06538461538461539
cg17219660	0.8760309149749088	0.3285838110770525	3.4776661	-1.2940955	0.5474471038978563	4.771762	137	641	29.064420650634954	1.7436326136930254e-83	6.416819021165817e-81	0.5474471038978563	hypermethylated	GPR37L1	chr1	202122751	202122753	+	0.002564102564102564
cg08960448	0.9297313272517963	0.3993722016852158	4.911057	-0.63162225	0.5303591255665805	5.5426793	137	643	33.42674995884896	4.023078491655042e-74	9.889320078675965e-72	0.5303591255665805	hypermethylated	AC020663.4,SEPTIN12;SMIM22	chr16	4788656	4788658	+	0.0
cg03228065	0.8943526553411554	0.3651281804726988	3.2783504	-0.8851775	0.5292244748684566	4.163528	137	643	49.257114867012845	1.322788983152399e-134	3.092995208283131e-131	0.5292244748684566	hypermethylated	E4F1	chr16	2226768	2226770	+	0.0
cg05327192	0.8870982706111713	0.36958873030928024	3.192122	-0.8666973	0.517509540301891	4.0588193	137	643	45.78873403290425	4.5631663127083365e-123	7.414821006744508e-120	0.517509540301891	hypermethylated	KLHL35	chr11	75422548	75422550	-	0.0
cg23703633	0.903153245466469	0.39411656856536864	3.630854	-0.7052692	0.5090366769011003	4.336123	137	640	38.193835873561845	4.04509375613004e-101	3.041521858346946e-98	0.5090366769011003	hypermethylated	ANK3	chr10	60375782	60375784	+	0.0038461538461538464
cg20776543	0.9448965030865077	0.439660720469236	4.805335	-0.35784328	0.5052357826172718	5.1631784	137	643	43.28414969585991	2.0560486228488293e-98	1.3905379567062849e-95	0.5052357826172718	hypermethylated	AC073957.3,GET4;SUN1	chr7	881518	881520	+	0.0
cg20035127	0.9169069833128992	0.4163933897170777	3.7497067	-0.57846755	0.5005135935958216	4.328174	137	626	42.50473921830134	1.0856200538713813e-138	2.973598626272232e-135	0.5005135935958216	hypermethylated	AC036214.4	chr8	79907241	79907243	+	0.021794871794871794
cg07222900	0.9009296946281934	0.4007411262666456	3.561601	-0.6307184	0.5001885683615478	4.1923194	137	643	37.40635874101902	3.7123159651405944e-97	2.3965749418660418e-94	0.5001885683615478	hypermethylated	HDAC4	chr2	239358280	239358282	-	0.0
cg20415486	0.8934467065073278	0.3947231494749075	3.5902734	-0.76379716	0.49872355703242033	4.3540707	137	642	29.638691814280158	2.5997386256577566e-92	1.3750680972684214e-89	0.49872355703242033	hypermethylated		chr10	3907013	3907015	+	0.001282051282051282
cg00955911	0.5462771784650148	0.04960254710718039	0.18138288	-4.595944	0.4966746313578344	4.7773266	137	643	23.513915693026547	2.4038104036606474e-51	1.855024049600587e-49	0.4966746313578344	hypermethylated	FOXA1	chr14	37592782	37592784	+	0.0
cg10505610	0.8907822440652287	0.3955946903021117	3.5559123	-0.69072884	0.49518755376311696	4.246641	136	643	30.390283448238534	2.2124334171761102e-82	7.884796049423235e-80	0.49518755376311696	hypermethylated	SH3PXD2B	chr5	172355202	172355204	+	0.001282051282051282
cg09322899	0.9343947807367701	0.4414553249234545	4.244791	-0.3284588	0.49293945581331555	4.57325	137	643	43.33101072337499	1.9743481148909277e-119	2.8250195744975335e-116	0.49293945581331555	hypermethylated	HDAC4	chr2	239358521	239358523	+	0.0
cg14800014	0.8919968987903456	0.3991278712152508	3.4188404	-0.6289674	0.4928690275750948	4.0478077	137	643	36.25866461504191	7.048998173027975e-86	2.8940967648920888e-83	0.4928690275750948	hypermethylated	AC093535.1,GRAMD2B	chr5	126465071	126465073	+	0.0
cg10970143	0.7262520509607652	0.23531960908685956	1.6541102	-1.912261	0.4909324418739056	3.5663712	136	627	26.63392416323683	4.4886293523732367e-63	6.564680344713644e-61	0.4909324418739056	hypermethylated	CFAP45	chr1	159896767	159896769	+	0.021794871794871794
cg12047425	0.8826738343621693	0.3917492381521554	4.0503635	-0.6984559	0.4909245962100139	4.7488194	137	643	25.945349540151287	4.083375524941921e-59	4.787086811143392e-57	0.4909245962100139	hypermethylated	ALPL	chr1	21551082	21551084	-	0.0
cg16373000	0.8749749956339815	0.38845488220499613	3.4369297	-0.72788495	0.4865201134289854	4.1648145	137	643	29.441342226961584	2.6193133433053725e-70	5.377038046416779e-68	0.4865201134289854	hypermethylated	C7orf50,GPR146	chr7	1046583	1046585	-	0.0
cg13723853	0.8851169112825046	0.39927523836933804	3.4578154	-0.5702836	0.48584167291316654	4.028099	137	643	29.20495689735353	3.765503919813557e-75	9.691017138488754e-73	0.48584167291316654	hypermethylated		chr14	68855530	68855532	+	0.0
cg00602115	0.8813109571916343	0.40062231766550166	3.2649903	-0.69240403	0.48068863952613267	3.9573944	137	608	32.574300224587134	3.395627838175484e-94	1.9290737818266533e-91	0.48068863952613267	hypermethylated	DTNA	chr18	34819022	34819024	-	0.04487179487179487
cg12911556	0.9204445720589074	0.44051307690087965	3.6545053	-0.36502638	0.47993149515802774	4.0195317	137	643	57.32634156719075	1.8903818204927137e-196	5.177904336329724e-192	0.47993149515802774	hypermethylated	SNX10	chr7	26364159	26364161	+	0.0
cg20995304	0.850429562756615	0.3708208743656907	2.6918573	-0.8745604	0.47960868839092424	3.5664177	137	642	38.09354991597423	3.555645677111526e-111	3.895677152707526e-108	0.47960868839092424	hypermethylated	HDAC7	chr12	47802383	47802385	-	0.001282051282051282
cg06886374	0.8916499009772912	0.4135420227050781	3.5673077	-0.5556719	0.4781078782722131	4.1229796	134	600	28.98786019349647	3.1348997366151407e-80	1.0179027408124848e-77	0.4781078782722131	hypermethylated	IGFALS,SPSB3	chr16	1794150	1794152	+	0.05897435897435897
cg13985135	0.9347867199974339	0.45715898858571724	4.0592866	-0.2614724	0.47762773141171666	4.320759	137	603	47.96976027975099	5.773352441091853e-174	5.534783084844835e-170	0.47762773141171666	hypermethylated	YY1AP1	chr1	155672035	155672037	+	0.05128205128205128
cg15023858	0.8632231663613423	0.3867863600816184	2.913832	-0.74994963	0.47643680627972396	3.6637816	137	615	33.26966965110777	4.924469977380678e-97	3.1684419911009157e-94	0.47643680627972396	hypermethylated	MITF	chr3	69763282	69763284	-	0.035897435897435895
cg07700920	0.9268050924704893	0.45047335624694823	3.9808195	-0.23712881	0.476331736223541	4.2179484	137	640	35.77511494811555	3.491606984818248e-139	9.63259008687222e-136	0.476331736223541	hypermethylated	USP10	chr16	84747119	84747121	+	0.0038461538461538464
cg02693150	0.9163519354427562	0.441631833968624	3.745423	-0.37649804	0.4747201014741322	4.121921	136	620	38.744799193097585	2.1318984983720762e-128	4.171026780965502e-125	0.4747201014741322	hypermethylated	NDUFAF6	chr8	95027893	95027895	+	0.03076923076923077
cg21386863	0.8282322570355269	0.35461829201800643	2.4820604	-0.95071656	0.4736139650175205	3.432777	137	643	35.84589515293111	1.0683260473576703e-90	5.2997678875329e-88	0.4736139650175205	hypermethylated		chr2	150120507	150120509	+	0.0
cg19755714	0.8757310755112592	0.4021780483258037	3.1165822	-0.64751834	0.47355302718545544	3.7641006	136	626	34.79067482035794	1.859685069003703e-87	8.150117635381932e-85	0.47355302718545544	hypermethylated	MAML3	chr4	139921747	139921749	-	0.023076923076923078
cg19320820	0.7784489638932789	0.3049774922822651	2.0776682	-1.5620836	0.47347147161101377	3.639752	131	608	25.033185728243367	2.3602569072324675e-69	4.617806512619089e-67	0.47347147161101377	hypermethylated	AFF1	chr4	87045173	87045175	-	0.052564102564102565
cg19171161	0.873806640179488	0.40100005619109624	3.0737484	-0.6708665	0.4728065839883917	3.7446148	137	630	35.94971875995441	2.804198139172624e-100	2.056077752632247e-97	0.4728065839883917	hypermethylated		chr17	79829860	79829862	+	0.016666666666666666
cg03190578	0.8992281168916799	0.42666160856398233	3.3392153	-0.4538511	0.4725665083276976	3.7930665	137	643	46.69322593556344	3.539152080006263e-128	6.854354481172129e-125	0.4725665083276976	hypermethylated		chr3	13476396	13476398	-	0.0
cg17463633	0.9028524134280907	0.4309068202972412	3.7952762	-0.41819534	0.47194559313084955	4.2134714	137	640	26.173904740777427	2.154929633426766e-84	8.397896559550766e-82	0.47194559313084955	hypermethylated	AL359924.1	chr1	237861162	237861164	-	0.0038461538461538464
cg04557423	0.9479775533188869	0.47674641230985126	4.3677692	-0.054920275	0.4712311410090356	4.4226894	137	643	48.21899609995793	1.755983170186311e-206	1.1222810370908581e-201	0.4712311410090356	hypermethylated	CASC8	chr8	127482482	127482484	+	0.0
cg25979244	0.8188862487347457	0.3478220795769343	2.3763258	-0.97571856	0.4710641691578114	3.3520443	137	643	36.07481357367258	7.868530060577924e-88	3.52494519960266e-85	0.4710641691578114	hypermethylated	DISC1	chr1	231855968	231855970	-	0.0
cg08435683	0.9278508207223711	0.4571211364079563	3.9397182	-0.1380937	0.4707296843144148	4.0778117	137	641	33.523874178903355	4.1130112816738474e-141	1.2419059442478363e-137	0.4707296843144148	hypermethylated	SLC23A2	chr20	4855691	4855693	-	0.002564102564102564
cg26607528	0.9276143094919024	0.45945571258687307	3.8829048	-0.23306394	0.4681585969050293	4.1159687	137	643	50.19780014118127	2.24901478820015e-150	9.582577220509997e-147	0.4681585969050293	hypermethylated		chr2	69441171	69441173	-	0.0
cg18948877	0.9205920969256918	0.45323314575777524	3.8730235	-0.17026895	0.46735895116791654	4.0432925	131	629	32.03954580212587	1.1331210813992518e-117	1.546331224929724e-114	0.46735895116791654	hypermethylated	LINC01237	chr2	241962586	241962588	-	0.02564102564102564
cg26308909	0.8761375594313128	0.4094883632345168	3.1985598	-0.5733049	0.46664919619679596	3.7718647	137	606	28.073652073552662	1.0226555940997234e-76	2.807149343772477e-74	0.46664919619679596	hypermethylated	AC069288.1,MAD1L1	chr7	2193454	2193456	-	0.047435897435897434
cg10371483	0.8874888733355668	0.4226216094542219	3.272949	-0.5010452	0.4648672638813449	3.7739942	137	641	36.30293149487099	5.789310257139713e-104	4.87919251344093e-101	0.4648672638813449	hypermethylated	ADCY9	chr16	4102043	4102045	+	0.002564102564102564
cg04807036	0.8462138489215043	0.3846784149691996	2.629938	-0.7303304	0.46153543395230473	3.3602684	137	643	40.15778524154737	1.3665151911240758e-101	1.0459460017076656e-98	0.46153543395230473	hypermethylated		chr6	33714010	33714012	-	0.0
cg06411879	0.8278057348989222	0.3663939243156469	2.5649319	-0.87806004	0.4614118105832753	3.442992	137	643	30.2366865084746	1.5164592570383202e-74	3.8007722075538676e-72	0.4614118105832753	hypermethylated	NEBL	chr10	21167109	21167111	-	0.0
cg14181111	0.8462342867886063	0.3869110866801735	2.9627907	-0.7216454	0.45932320010843286	3.684436	137	643	26.5428672659311	8.542435715683406e-64	1.2917099236312427e-61	0.45932320010843286	hypermethylated	AL135926.1	chr1	168804074	168804076	-	0.0
cg25950520	0.920333082658531	0.46104836945956457	3.8700013	-0.17626327	0.4592847131989664	4.0462646	137	643	39.43793055945062	4.658367651543213e-115	5.689009241098496e-112	0.4592847131989664	hypermethylated	RALB	chr2	120279183	120279185	-	0.0
cg18095824	0.8801013361798585	0.4213419401664673	3.1293557	-0.5128562	0.4587593960133912	3.642212	137	627	37.65659038583218	6.678714573572547e-103	5.369168461724189e-100	0.4587593960133912	hypermethylated	FNIP2	chr4	158783140	158783142	-	0.020512820512820513
cg26823144	0.8771316082808223	0.41850185691381914	3.1266222	-0.5021829	0.4586297513670031	3.6288052	137	642	33.50045836103075	1.895683611293137e-95	1.1429869341292304e-92	0.4586297513670031	hypermethylated	WDR64	chr1	241801424	241801426	+	0.001282051282051282
cg11197206	0.9246695059317129	0.46609544836956524	3.730016	-0.19005999	0.4585740575621477	3.920076	135	575	43.25041032218176	2.9877531221481185e-193	7.160729234395382e-189	0.4585740575621477	hypermethylated	EVL	chr14	100038428	100038430	+	0.08974358974358974
cg17939040	0.8976768776222511	0.4391582827024822	3.572288	-0.4203033	0.45851859491976893	3.9925914	135	632	29.917161242172625	1.3225668910527446e-80	4.368355282333222e-78	0.45851859491976893	hypermethylated	ACACA	chr17	37147031	37147033	+	0.016666666666666666
cg19437852	0.8429701867764884	0.38575005457037337	2.8496478	-0.75136465	0.457220132206115	3.6010125	137	642	26.8987774615074	5.042903771130718e-64	7.707482471180819e-62	0.457220132206115	hypermethylated	EPN1	chr19	55684098	55684100	+	0.001282051282051282
cg19870898	0.881563172723255	0.42464393627587965	3.0401528	-0.49247995	0.45691923644737537	3.5326328	137	643	40.72686945103989	2.40380944043215e-146	9.037168724823108e-143	0.45691923644737537	hypermethylated		chr14	103210117	103210119	+	0.0
cg21616051	0.841130817637724	0.38423042653877043	2.7849963	-0.7762052	0.4569003910989536	3.5612016	136	642	28.50017377666598	1.7014569778400012e-69	3.358000045029764e-67	0.4569003910989536	hypermethylated	IDUA,SLC26A1	chr4	993514	993516	+	0.002564102564102564
cg00067884	0.8840944610372947	0.4273507800273865	3.2025604	-0.47254544	0.4567436810099082	3.6751058	137	639	36.97808753837004	7.340487806947298e-105	6.3540952591825906e-102	0.4567436810099082	hypermethylated	AC073167.1,HERC1	chr15	63677998	63678000	-	0.005128205128205128
cg16025492	0.9045861794130645	0.44796961759149007	3.41029	-0.31537804	0.45661656182157445	3.725668	137	643	48.62110318687622	5.158523228271926e-133	1.1368644027980826e-129	0.45661656182157445	hypermethylated		chr5	115429050	115429052	+	0.0
cg14078335	0.8645820896120837	0.4087107055283781	2.9805179	-0.6098779	0.4558713840837056	3.5903957	137	642	33.28350499793867	6.727354861790937e-88	3.020779269561864e-85	0.4558713840837056	hypermethylated	NUMA1,RNU6-72P	chr11	72049244	72049246	-	0.001282051282051282
cg16702815	0.8841964833057709	0.4289611134993022	3.1694045	-0.45482567	0.4552353698064687	3.6242301	137	627	38.45222947913712	3.776480149792746e-108	3.732398503920552e-105	0.4552353698064687	hypermethylated	AGR3	chr7	16880646	16880648	+	0.020512820512820513
cg02477603	0.7192328794159158	0.2646016644467462	1.6785742	-1.6904371	0.45463121496916964	3.3690114	137	643	21.03001725455665	1.9446245101518828e-48	1.2695047761873555e-46	0.45463121496916964	hypermethylated		chr10	123274779	123274781	-	0.0
cg24296761	0.8952569891936588	0.4414248073453295	4.5557528	-0.30858147	0.4538321818483293	4.864334	137	643	24.393789734255716	6.056666782529979e-53	5.1078866676128297e-51	0.4538321818483293	hypermethylated	ARHGEF1	chr19	41904305	41904307	-	0.0
cg25306932	0.7752522378072252	0.3215432649081454	1.9471264	-1.2438623	0.4537089728990798	3.1909885	137	643	32.47596029690578	3.630769681873827e-91	1.8514559583481895e-88	0.4537089728990798	hypermethylated	LYSMD1,SCNM1	chr1	151159780	151159782	+	0.0
cg13096278	0.9115524848882299	0.4592818620601672	3.6842978	-0.23250458	0.45227062282806274	3.9168024	137	643	38.36459514693247	8.992401544732844e-112	1.0024201199884444e-108	0.45227062282806274	hypermethylated	AC005921.2	chr17	50692978	50692980	+	0.0
cg06974428	0.7617757755474452	0.30983333587646483	2.0593736	-1.2548587	0.4519424396709804	3.3142323	137	640	24.06449975264411	3.40066263482771e-55	3.240694585586523e-53	0.4519424396709804	hypermethylated	PIP4K2A	chr10	22683369	22683371	+	0.0038461538461538464
