category	gene	probe_id	locus	chrom	chromStart	chromEnd	strand	functional_region	is_promoter	cgi_relation	healthy_beta	healthy_state	tcga_normal_beta	tcga_normal_n	gse_normal_beta	gse_normal_n	tumor_direction	tumor_delta_beta	fdr
10. FGF21-FGF23-Klotho Axis	FGF21	cg14719352	chr19:48754873-48754875	chr19	48754873.0	48754875.0	+	gene_body	True	S_Shore	0.7155091993720062	HYPER_methylated	0.7382846321027303	97	0.660278775	40	hypomethylated	-0.046581925629516	1.6825493689231626e-14
10. FGF21-FGF23-Klotho Axis	FGF21	cg21107581	chr19:48755547-48755549	chr19	48755547.0	48755549.0	-	5UTR_1stExon	True	S_Shelf	0.4774351395789376	intermediate	0.4965020012609737	97	0.431198	40	hypermethylated	0.0237272949350004	0.000379383290655
10. FGF21-FGF23-Klotho Axis	FGF21	cg21591807	chr19:48755593-48755595	chr19	48755593.0	48755595.0	-	5UTR_1stExon	True	S_Shelf	0.8233351982022696	HYPER_methylated	0.8548343304506282	97	0.7469498025	40	hypomethylated	-0.0177701878255887	0.004063195342228
10. FGF21-FGF23-Klotho Axis	FGF21	cg13881341	chr19:48755957-48755959	chr19	48755957.0	48755959.0	-	TSS200	True	S_Shelf	0.38886250958991503	intermediate	0.4025491537507047	97	0.35567239749999996	40	hypermethylated	0.1118965019659514	2.2653380805083e-33
10. FGF21-FGF23-Klotho Axis	FGF21	cg21967668	chr19:48756007-48756009	chr19	48756007.0	48756009.0	+	TSS200	True	S_Shelf	0.7490254161553377	HYPER_methylated	0.7716586712709407	97	0.6941397725	40	hypermethylated	0.0150208341266968	0.0953579342174573
10. FGF21-FGF23-Klotho Axis	FGF21	cg18550003	chr19:48756026-48756028	chr19	48756026.0	48756028.0	-	TSS200	True	S_Shelf	0.8591720525932367	HYPER_methylated	0.8978496433533344	97	0.765378895	40	hypomethylated	-0.0232420453262378	1.075905140300576e-05
10. FGF21-FGF23-Klotho Axis	FGF21	cg07800524	chr19:48756194-48756196	chr19	48756194.0	48756196.0	-	5UTR_1stExon	True	S_Shelf	0.7732609293268135	HYPER_methylated	0.7944044919358086	97	0.72198779	40	hypomethylated	-0.0563664566165924	3.5002884421402886e-26
10. FGF21-FGF23-Klotho Axis	FGF21	cg03531100	chr19:48756861-48756863	chr19	48756861.0	48756863.0	+	gene_body	True	S_Shelf	0.7726253357534866	HYPER_methylated	0.8317113805700231	81	0.652976095	40	hypomethylated	-0.1972084529932489	3.000263575158019e-56
10. FGF21-FGF23-Klotho Axis	FGF21	cg16155702	chr19:48756952-48756954	chr19	48756952.0	48756954.0	-	gene_body	False	S_Shelf	0.7699765428675297	HYPER_methylated	0.7932671615757894	97	0.7134967925000001	40	hypomethylated	-0.0588935504921136	8.789697445583616e-22
10. FGF21-FGF23-Klotho Axis	FGF21	cg17264470	chr19:48757027-48757029	chr19	48757027.0	48757029.0	+	gene_body	False	S_Shelf	0.8324946776260265	HYPER_methylated	0.8570685632450065	97	0.7729030050000001	40	hypomethylated	-0.0166089060172093	0.014784010876145
