category	gene	probe_id	locus	chrom	chromStart	chromEnd	strand	functional_region	is_promoter	cgi_relation	healthy_beta	healthy_state	tcga_normal_beta	tcga_normal_n	gse_normal_beta	gse_normal_n	tumor_direction	tumor_delta_beta	fdr
08. Mitochondrial Function	AADAT	cg09639094	chr4:170089576-170089578	chr4	170089576.0	170089578.0	+	TSS200	True	N_Shore	0.08591460324883453	HYPO_unmethylated	0.0849779758256735	97	0.08818592475	40	hypermethylated	0.0761229687608862	6.891071151210414e-32
08. Mitochondrial Function	AADAT	cg08247450	chr4:170089947-170089949	chr4	170089947.0	170089949.0	+	5UTR_1stExon	True	Island	0.07008907679404147	HYPO_unmethylated	0.0554712138225122	97	0.10553739449999999	40	hypermethylated	0.056812427737074	2.0062217798845717e-27
08. Mitochondrial Function	AADAT	cg18729308	chr4:170090105-170090107	chr4	170090105.0	170090107.0	-	5UTR_1stExon	True	Island	0.07041505969870905	HYPO_unmethylated	0.0628689343167334	97	0.08871441375	40	hypermethylated	0.0296305973098172	9.534681661892913e-20
08. Mitochondrial Function	AADAT	cg12506971	chr4:170090112-170090114	chr4	170090112.0	170090114.0	-	5UTR_1stExon	True	Island	0.08348055287863182	HYPO_unmethylated	0.0749659489110573	97	0.1041284675	40	hypermethylated	0.0833926286194865	7.358877854967733e-40
08. Mitochondrial Function	AADAT	cg07678449	chr4:170090243-170090245	chr4	170090243.0	170090245.0	-	TSS200	True	Island	0.03959071746433674	HYPO_unmethylated	0.0308284833259189	97	0.060839135249999995	40	hypermethylated	0.0695977480872941	3.373793332317388e-31
08. Mitochondrial Function	AADAT	cg18716979	chr4:170090272-170090274	chr4	170090272.0	170090274.0	+	5UTR_1stExon	True	Island	0.03815831040535361	HYPO_unmethylated	0.0259523145931283	97	0.06775785025	40	hypermethylated	0.0653336513950887	8.250641380819543e-36
08. Mitochondrial Function	AADAT	cg14239811	chr4:170090275-170090277	chr4	170090275.0	170090277.0	+	5UTR_1stExon	True	Island	0.013204536633958312	HYPO_unmethylated	0.0104532487613638	97	0.019876409725	40	hypermethylated	0.0425285510720279	1.7677964365569016e-23
08. Mitochondrial Function	AADAT	cg06339629	chr4:170090345-170090347	chr4	170090345.0	170090347.0	-	5UTR_1stExon	True	Island	0.034367787970950824	HYPO_unmethylated	0.027091227855879	97	0.05201344625	40	hypermethylated	0.0807480743710785	3.232369253159414e-51
08. Mitochondrial Function	AADAT	cg00150882	chr4:170090350-170090352	chr4	170090350.0	170090352.0	-	5UTR_1stExon	True	Island	0.12186969205037135	HYPO_unmethylated	0.1088453568134111	97	0.153453705	40	hypermethylated	0.1272093252852476	3.0292048253196687e-62
08. Mitochondrial Function	AADAT	cg01654582	chr4:170090425-170090427	chr4	170090425.0	170090427.0	+	TSS200	True	S_Shore	0.06391576275723866	HYPO_unmethylated	0.0641177757499144	97	0.06342588125	40	hypermethylated	0.0720151216283054	3.72965079932795e-47
08. Mitochondrial Function	AADAT	cg02602915	chr4:170090463-170090465	chr4	170090463.0	170090465.0	+	TSS200	True	S_Shore	0.1036255339952455	HYPO_unmethylated	0.1026900969829756	97	0.10589396875000001	40	hypermethylated	0.0530349987442239	5.5295964783971394e-33
08. Mitochondrial Function	AADAT	cg24120085	chr4:170091383-170091385	chr4	170091383.0	170091385.0	-	5UTR_1stExon	True	S_Shore	0.8381468825	HYPER_methylated		0	0.8381468825	40	hypomethylated		
08. Mitochondrial Function	AADAT	cg24693803	chr4:170092385-170092387	chr4	170092385.0	170092387.0	+	TSS1500	True	S_Shelf	0.6984304225000001	intermediate		0	0.6984304225000001	40	hypomethylated		
08. Mitochondrial Function	AADAT	cg07465140	chr4:170092519-170092521	chr4	170092519.0	170092521.0	-	TSS1500	True	S_Shelf	0.6599257175	intermediate		0	0.6599257175	40	hypomethylated		
08. Mitochondrial Function	AADAT	cg00309402	chr4:170060815-170060817	chr4	170060815.0	170060817.0	+	gene_body	False	OpenSea	0.847167202891908	HYPER_methylated	0.892655913362798	97	0.73685708	40	hypomethylated	-0.0089495462525984	0.1863022853026516
08. Mitochondrial Function	AADAT	cg25628542	chr4:170074717-170074719	chr4	170074717.0	170074719.0	-	gene_body	False	OpenSea	0.8554938350000001	HYPER_methylated		0	0.8554938350000001	40	hypomethylated		
08. Mitochondrial Function	AARS2	cg10131297	chr6:44298734-44298736	chr6	44298734.0	44298736.0	-	TSS1500	True	S_Shore	0.5786495570850678	intermediate	0.6071463909345803	97	0.509544735	40	hypermethylated	0.1450400720078976	9.185720342032427e-48
08. Mitochondrial Function	AARS2	cg17354807	chr6:44313043-44313045	chr6	44313043.0	44313045.0	-	5UTR_1stExon	True	Island	0.05202116947312279	HYPO_unmethylated	0.0547014462579157	97	0.04552149827	40	hypomethylated	-0.0018443530754111	0.4448748446350712
08. Mitochondrial Function	AARS2	cg02083029	chr6:44313121-44313123	chr6	44313121.0	44313123.0	+	5UTR_1stExon	True	Island	0.06798687358543672	HYPO_unmethylated	0.0628136457856168	97	0.080531951	40	hypermethylated	0.0009535185194805	0.5973669848648752
08. Mitochondrial Function	AARS2	cg01524091	chr6:44313294-44313296	chr6	44313294.0	44313296.0	-	5UTR_1stExon	True	Island	0.08926653710763748	HYPO_unmethylated	0.0751470044716117	97	0.12350640375000002	40	hypermethylated	0.0161583098926226	0.0008284820272696
08. Mitochondrial Function	AARS2	cg21389025	chr6:44313346-44313348	chr6	44313346.0	44313348.0	+	5UTR_1stExon	True	Island	0.010605023963183767	HYPO_unmethylated	0.010331392288208	97	0.011268580775	40	hypermethylated	0.0006949044481108	0.0113855769145327
08. Mitochondrial Function	AARS2	cg19940332	chr6:44313362-44313364	chr6	44313362.0	44313364.0	+	TSS200	True	Island	0.03777924779564625	HYPO_unmethylated	0.0270167699794179	97	0.06387825650000001	40	hypermethylated	0.0023812210225648	0.0037957033019749
08. Mitochondrial Function	AARS2	cg04911280	chr6:44313446-44313448	chr6	44313446.0	44313448.0	+	TSS200	True	Island	0.08055589634692562	HYPO_unmethylated	0.0692481503044207	97	0.1079771805	40	hypomethylated	-0.0325316408965188	3.8399195101814977e-10
08. Mitochondrial Function	AARS2	cg19291355	chr6:44313450-44313452	chr6	44313450.0	44313452.0	+	TSS200	True	Island	0.06436886928738557	HYPO_unmethylated	0.0622136568285755	97	0.06959525949999999	40	hypomethylated	-0.0382896310144853	5.438239228550875e-10
08. Mitochondrial Function	AARS2	cg05917988	chr6:44313459-44313461	chr6	44313459.0	44313461.0	-	TSS200	True	Island	0.1600363203055321	HYPO_unmethylated	0.1598343308438959	97	0.16052614475	40	hypomethylated	-0.0455448047544917	3.0132156705661474e-11
08. Mitochondrial Function	AARS2	cg02118776	chr6:44313484-44313486	chr6	44313484.0	44313486.0	+	TSS200	True	S_Shore	0.04919261617048049	HYPO_unmethylated	0.0392318583026374	97	0.073347454	40	hypomethylated	-0.0113706043496272	2.3679040007749444e-06
08. Mitochondrial Function	AARS2	cg01122755	chr6:44313511-44313513	chr6	44313511.0	44313513.0	-	TSS200	True	S_Shore	0.115433215	HYPO_unmethylated		0	0.115433215	40	hypomethylated		
08. Mitochondrial Function	AARS2	cg22760420	chr6:44313610-44313612	chr6	44313610.0	44313612.0	+	TSS1500	True	S_Shore	0.7013152461225169	HYPER_methylated	0.7593203769640976	89	0.57225383	40	hypermethylated	0.0101344785715579	0.2489927421833705
08. Mitochondrial Function	AARS2	cg00910127	chr6:44314011-44314013	chr6	44314011.0	44314013.0	-	TSS1500	True	S_Shore	0.2367404125992601	HYPO_unmethylated	0.2406522023309137	97	0.22725432250000002	40	hypomethylated	-0.0272532532467343	5.258766978934757e-06
08. Mitochondrial Function	AARS2	cg05920345	chr6:44314411-44314413	chr6	44314411.0	44314413.0	-	TSS1500	True	S_Shore	0.9326226767428432	HYPER_methylated	0.94887401148216	97	0.89321319	40	hypomethylated	-0.090274312485918	5.760928998604121e-59
08. Mitochondrial Function	AARS2	cg10192145	chr6:44300536-44300538	chr6	44300536.0	44300538.0	+	gene_body	False	S_Shelf	0.9185796699211621	HYPER_methylated	0.9389641358680332	97	0.8691473399999999	40	hypomethylated	-0.0083091013241409	0.0009211597946555
08. Mitochondrial Function	AARS2	cg04228998	chr6:44310081-44310083	chr6	44310081.0	44310083.0	-	gene_body	False	N_Shelf	0.8794524680214986	HYPER_methylated	0.9051433445252094	97	0.8171520925	40	hypermethylated	0.0046574200577946	0.4340917788553948
08. Mitochondrial Function	AARS2	cg00115567	chr6:44311623-44311625	chr6	44311623.0	44311625.0	+	gene_body	False	N_Shore	0.8345503994461394	HYPER_methylated	0.8576272394239288	97	0.7785890625	40	hypermethylated	0.0125421867622674	0.0100376304698744
08. Mitochondrial Function	ABAT	cg05075996	chr16:8673175-8673177	chr16	8673175.0	8673177.0	+	TSS1500	True	N_Shore	0.9183157550182482	HYPER_methylated	0.9434499838917526	97	0.8573652500000002	40	hypomethylated	-0.0050578366394612	0.000257290438472
08. Mitochondrial Function	ABAT	cg02564313	chr16:8673848-8673850	chr16	8673848.0	8673850.0	+	TSS1500	True	N_Shore	0.7689444365733348	HYPER_methylated	0.7908668124798647	97	0.715782675	40	hypomethylated	-0.1219439541271071	1.0412576067097655e-41
08. Mitochondrial Function	ABAT	cg03698956	chr16:8674173-8674175	chr16	8674173.0	8674175.0	-	TSS1500	True	N_Shore	0.16727672446127495	HYPO_unmethylated	0.1530070157395195	97	0.20276805128205128	39	hypomethylated	-0.0306144650070359	1.0126201081932536e-05
08. Mitochondrial Function	ABAT	cg20587543	chr16:8674252-8674254	chr16	8674252.0	8674254.0	-	TSS1500	True	N_Shore	0.08107739943496589	HYPO_unmethylated	0.0730075344596941	97	0.100646822	40	hypomethylated	-0.0127825890441056	0.0006243149322428
08. Mitochondrial Function	ABAT	cg16704802	chr16:8674567-8674569	chr16	8674567.0	8674569.0	+	TSS200	True	Island	0.016579005665856007	HYPO_unmethylated	0.0184764776033224	97	0.0119776362175	40	hypomethylated	-0.0010598076102784	0.7986588104684941
08. Mitochondrial Function	ABAT	cg07740911	chr16:8674630-8674632	chr16	8674630.0	8674632.0	+	5UTR_1stExon	True	Island	0.015956721719158923	HYPO_unmethylated	0.0166685335414925	97	0.014230578049999998	40	hypomethylated	-0.0002063220290583	0.926713507828902
08. Mitochondrial Function	ABAT	cg09489090	chr16:8674648-8674650	chr16	8674648.0	8674650.0	+	5UTR_1stExon	True	Island	0.0234453704735348	HYPO_unmethylated	0.0204986542770543	97	0.03059115725	40	hypermethylated	0.0085120316207535	0.0001080255571046
08. Mitochondrial Function	ABAT	cg22217807	chr16:8674760-8674762	chr16	8674760.0	8674762.0	-	5UTR_1stExon	True	Island	0.04767124690983903	HYPO_unmethylated	0.0441995502747211	97	0.05609011125	40	hypomethylated	-0.0003832767819731	0.8247358088880162
08. Mitochondrial Function	ABAT	cg15890111	chr16:8674842-8674844	chr16	8674842.0	8674844.0	+	5UTR_1stExon	True	S_Shore	0.05282907283016897	HYPO_unmethylated	0.0497375124508572	97	0.06032610675	40	hypomethylated	-0.0029517117436827	0.2029289217571948
08. Mitochondrial Function	ABAT	cg07336964	chr16:8712501-8712503	chr16	8712501.0	8712503.0	-	TSS1500	True	OpenSea	0.8267762427071453	HYPER_methylated	0.8572366458853495	97	0.752909765	40	hypermethylated	0.0301198481935458	0.0001898789933768
08. Mitochondrial Function	ABAT	cg01881182	chr16:8712673-8712675	chr16	8712673.0	8712675.0	+	TSS200	True	OpenSea	0.7001107380771264	HYPER_methylated	0.7578986383253529	93	0.56575387	40	hypermethylated	0.0843720703623449	1.2376871983873114e-08
08. Mitochondrial Function	ABAT	cg16586594	chr16:8712711-8712713	chr16	8712711.0	8712713.0	+	TSS200	True	OpenSea	0.5543913812414462	intermediate	0.5881627662894652	97	0.4724957725	40	hypermethylated	0.1552986786279653	8.434943868248786e-14
08. Mitochondrial Function	ABAT	cg26778345	chr16:8712728-8712730	chr16	8712728.0	8712730.0	+	TSS200	True	OpenSea	0.37999469120915547	intermediate	0.3934503535634464	97	0.34736471	40	hypermethylated	0.2369008323859057	2.0429970110385467e-40
08. Mitochondrial Function	ABAT	cg08241330	chr16:8712805-8712807	chr16	8712805.0	8712807.0	+	TSS200	True	OpenSea	0.6228938708111171	intermediate	0.6471571381559077	97	0.5640554475	40	hypermethylated	0.1347182600001052	2.5660159253146276e-16
08. Mitochondrial Function	ABAT	cg08834902	chr16:8712832-8712834	chr16	8712832.0	8712834.0	-	TSS200	True	OpenSea	0.6154287888486542	intermediate	0.6419328512604704	97	0.5511564375	40	hypermethylated	0.118384327844302	1.5988578016709198e-14
08. Mitochondrial Function	ABAT	cg00231389	chr16:8712895-8712897	chr16	8712895.0	8712897.0	-	TSS200	True	OpenSea	0.3341117370477161	intermediate	0.3453516616034753	97	0.30685492	40	hypermethylated	0.2612828521646979	2.9635898629751025e-63
08. Mitochondrial Function	ABAT	cg00220102	chr16:8712898-8712900	chr16	8712898.0	8712900.0	-	TSS200	True	OpenSea	0.5374830216953694	intermediate	0.5515655832192332	97	0.50333281	40	hypermethylated	0.1657280608527485	8.529938291709546e-23
08. Mitochondrial Function	ABAT	cg04332619	chr16:8713108-8713110	chr16	8713108.0	8713110.0	-	5UTR_1stExon	True	OpenSea	0.4791044068708656	intermediate	0.4969119829000886	97	0.43592103499999996	40	hypermethylated	0.1869465871457394	3.259654784201959e-38
08. Mitochondrial Function	ABAT	cg01221157	chr16:8713153-8713155	chr16	8713153.0	8713155.0	+	5UTR_1stExon	True	OpenSea	0.7769108642884637	HYPER_methylated	0.8052438165723663	97	0.7082034549999999	40	hypomethylated	-0.0118004429995549	0.2914026386635968
08. Mitochondrial Function	ABAT	cg10292855	chr16:8713160-8713162	chr16	8713160.0	8713162.0	-	5UTR_1stExon	True	OpenSea	0.5085810998160926	intermediate	0.5250022337608731	97	0.46875985	40	hypermethylated	0.1398810386247543	5.0772001936462575e-25
08. Mitochondrial Function	ABAT	cg05372963	chr16:8713168-8713170	chr16	8713168.0	8713170.0	-	5UTR_1stExon	True	OpenSea	0.7480611956254276	HYPER_methylated	0.7820254453678721	97	0.66569789	40	hypomethylated	-0.0193388521759078	0.042395445809847
